avgReturn0,avgReturn1,avgReturn2,avgReturn3,avgReturn4,avgReturn5,avgReturn6,avgReturn7,avgReturn8,avgReturn9
-62.123579944450654,-140.66973454175968,110.8454361631348,-213.56031192973515,-109.25314435343259,-29.832984004760867,-43.548488051688686,-104.09081571372428,-228.3982024545454,-116.50932505519604
16.851202142863535,-123.34759251570095,115.11260415849416,-256.28364353829124,-103.85625390621612,19.460788577450412,-10.196339059980186,-145.67934328008965,-230.53935489224455,-174.30363446621578
-28.08791609790862,-153.81657743116764,59.219333945494675,-171.10369151778806,-80.78911305050376,32.53822182463441,-25.65423300443999,-109.63155992733705,-248.46598844791396,-180.24342389940364
-13.37344252995793,-139.058106498292,105.85792285852158,-132.72014582691958,-65.86983469987567,-16.767656011993815,-16.8063771619174,-120.28096172533596,-232.1219617004723,-154.55127900633659
11.10035756115407,-121.37433650017972,159.8498836253124,-185.14843015408593,-87.86923096408088,-7.776977499358745,19.98727354064446,-76.82184301753001,-204.74015796200067,-68.57889907196268
29.239047555039143,-136.73052086085508,79.90361103680355,-173.14959579738044,-97.52534183827827,12.892986247759177,-7.7940045029802505,-82.59302019361063,-174.3682463816835,-85.12860248038447
-31.164949926691172,-123.46566047724701,139.11981906954534,-198.88237102824323,-73.45067701159313,10.124807590378929,-8.52249299512615,-90.47366251419334,-198.98740766307253,-140.7736436102297
-38.970659049761274,-156.7751795889142,159.1958238406188,-195.48128586554512,-95.64050066136807,-7.23467222821468,-33.03142939599874,-98.79780117423667,-239.49322374972166,-56.65125839198182
-43.54282829369521,-117.51538553289937,142.27511259630418,-184.07433608968847,-70.2247383455433,7.388149286602861,-27.0811509063284,-89.28810081476676,-208.14616479190383,-164.27936158948572
-88.92452420325593,-117.43588372226525,132.3733601549432,-219.9182578046624,-88.03892796156394,42.74956568417726,3.4674621979180573,-77.48667014986856,-185.2229958991851,-167.5752430012822
-10.084063058074488,-112.64270652139419,138.0579164548913,-147.27602468871032,-96.09910874252373,32.8948272907326,-40.269552183811214,-109.70619174651893,-188.07124172376027,-134.49121809134175
9.48302705830198,-131.88785320921602,156.29999465808112,-186.9804133020967,-106.36559053312654,50.28283370330976,-0.2790239678582524,-93.75588543738161,-192.25589317668366,-72.77172066963182
6.352312940060533,-116.83299521024132,96.46640343868702,-127.93489345625906,-77.51542862978681,19.07662740160866,4.854495742385455,-94.80309579230546,-193.8912855249433,-103.05650088469804
28.963767480559444,-95.06008301093841,100.41335187222205,-164.0646752465561,-101.79817226670423,38.844097727638335,4.013716501242333,-101.46091254053465,-167.24535241727568,-100.29411490553495
9.557012116260147,-119.74155718102269,126.91992599030776,-186.10412236983396,-60.60445868341313,76.62949847288121,3.936016187424892,-74.43286038147657,-155.69313027148655,-71.51405285022948
18.151292343342813,-109.60054693477282,97.21601464593147,-175.67628308048182,-76.69306901464232,35.285474524583115,10.243070018318639,-71.631476428739,-156.7133494237573,-79.3545697755613
-38.2293962496548,-141.80914934658716,135.9537443740181,-152.25557617051038,-79.23334280905055,30.8424830448009,-17.37294983871731,-69.30959470041135,-162.067083181089,-60.47026842215382
-41.741732151785904,-108.97773499640634,164.00335392411185,-125.4118624842331,-62.52905211020602,36.59469787361131,21.886915925164118,-53.33802060277598,-145.42317230401392,-169.04643197549223
-51.31757843810176,-118.49794180866037,157.66056383255525,-139.7735455850715,-51.25136711536855,23.763968224181045,42.485703612217286,-83.7565193065274,-151.25780563583484,-104.19295184590756
-7.929610427581876,-98.51482295899524,147.83728236371678,-145.3132026428397,-59.78382813839079,-10.949793687593994,-1.8948348009530722,-56.83865966779957,-160.03183747840868,-102.28231064923318
-33.91920455410723,-92.33020434033199,183.76039277520314,-150.3593125397511,-69.39032987756241,42.155303430952415,20.767850217039783,-62.18645555741084,-141.12810994776487,-109.14219407916758
18.67203856451536,-116.79969475432436,194.49111120960498,-116.9194341796708,-46.360403045417286,27.680214227691113,44.72268559818038,-72.73590304968947,-173.19987202680045,-119.82148498167201
-3.8397543444556406,-110.60774572473044,222.39680490557456,-137.07317278985508,-27.16794810415732,73.08640844758307,57.297265037687204,-70.02616581879177,-122.20894685180943,-144.69719197014916
89.71434416067666,-86.5607184805594,134.53402488661422,-173.22417666852033,-54.37053149753977,52.15274362162644,69.0481513836909,-35.75699402760159,-150.20316990176,-99.62607077866247
53.48735059572182,-85.73384448048218,163.4381895647184,-124.44701645395749,-82.97336849691246,41.49947889213657,45.391765625790924,-34.740495853241555,-151.23006146577148,-68.97379656152486
82.66605481395054,-98.75853192402211,174.14331000765466,-130.28946379093924,-66.98940351295151,-1.4431769006978656,22.365237530830083,-68.26173634280123,-141.95942889286252,-94.06688410721543
50.58402168533356,-60.771168505959324,193.17522609874266,-102.22590091874046,-68.13643360331446,41.135662780484815,17.413499117832725,-48.35449764211243,-129.84755314173378,-132.87574233144053
98.22365301980085,-58.137956564678746,196.0718105782632,-115.20424929847209,-46.83617156792231,58.28366515173263,-2.045487128032693,-86.60313206277836,-126.74272618854991,-75.18415966885941
65.32396320062736,-65.15594736006324,150.8045651890344,-206.9354343803788,-18.41693077121831,60.56318539542971,62.06102833681836,-43.662031581748984,-151.23530297146584,-16.27875523125276
47.751115858316886,-73.27942004501631,110.77160601294746,-120.86486552814341,-12.908114099872455,62.019889048019174,37.944786501509704,-29.44010934237049,-144.3075932204457,-81.76325118350242
29.067441783451255,-23.7355747140575,81.02203896575533,-93.16985845867235,-54.45094341395537,56.281366691776874,23.01363405343271,-85.21969869894038,-129.81320644117247,-39.69475067044125
52.11445354348945,-50.21602433181797,109.22675879305972,-136.96721477910648,-28.819429812200323,53.10444670833128,72.52132653963784,-2.935804038394471,-135.69074155805484,-124.44945321517525
63.00103722796642,-68.57831639895299,151.40899080304817,-163.6495709617693,-58.85854472772123,78.31227717171814,66.0689564613483,-21.36985144383532,-136.8650449346986,-95.63118561815398
78.96009248649722,-51.99472456024979,196.1553314244593,-137.06636361568212,-62.60610503323614,92.19682770014468,43.828348817234996,-37.62629039977901,-130.31473499439554,-125.06914594428211
45.00874241620872,-3.452633660427873,169.94082480978562,-128.04914391908625,-16.563384920040033,87.2609548668958,76.85875523130187,-40.0471078643229,-160.04162213962735,-15.615280853845798
68.77363877637826,-23.15082702388256,152.6310602958394,-89.80261203817959,2.9351502565985292,55.352737947273994,94.73843900081391,2.255430851275623,-126.53714783677714,-136.41931321625157
98.88378043642149,-27.04089770019166,143.65131116690776,-211.13412061628634,-23.729426619618465,68.85380668620543,84.03244351003875,-38.659746683420856,-133.49109319765043,-139.25771262754213
19.43683098449039,-23.56822026694703,165.92155958694292,-112.97253726248297,17.087044229857817,78.8046523422731,71.55160310559418,-49.87223923158108,-146.1216082728493,-30.603821955500603
30.65186255169073,-19.31160636583202,236.80066633142815,-111.63087199347159,-1.8963216280000292,77.04423046812272,74.17005071795543,-54.858791073303735,-142.77391493446265,-41.37441798729097
18.983793620111236,-35.160538219439196,185.0121474008575,-153.29417957805038,2.0985620171593897,64.5832641216498,81.76804017683693,-61.21005995683642,-103.88926123394982,-62.19496294557834
71.84126463596972,-27.840885895461156,172.7707643106039,-116.66880327087448,24.774468070730837,65.69325216280207,41.70550061415631,-51.50934461382244,-101.68734460653486,-66.24248379794261
107.32939533797517,-45.74240321592907,188.32804160911283,-73.92150745554095,-12.52234333581077,59.534030108814584,115.67664867336431,-9.833248994472997,-83.23989151494368,-70.20213868011263
59.42283731544035,-29.615855381114415,163.0789320541625,-68.59552987833175,-53.06084706500187,66.32413977677973,49.285962148232116,-22.694906269783974,-107.70742706581945,-91.48939657004908
93.85428893738502,-2.4442286968771016,183.9368496630847,-42.40339259562618,1.8642458685113676,88.23843707394813,66.02768883875149,-6.872469021087824,-98.94966593533435,-52.63255533657727
12.426311279324237,-23.870134270229073,164.34023935318237,-130.2815743185572,-24.31529918994793,93.40046476507186,83.99770121850717,2.6335256437685537,-135.6305634136944,-34.562236950024094
41.1217418001152,-9.022867411871617,139.96865559599937,-66.75225821478979,-15.969704354393908,75.73380403090948,49.120717708767124,-0.8082514261483724,-135.0307635717236,-61.71214228794399
84.4038166230954,-17.120343046665415,147.06547472349348,-30.790335233839937,-37.44832864284524,79.2746213102309,93.95975989651112,-7.579678173590975,-112.88618730299123,-61.52195693419599
61.902635620292656,-27.188690885873353,181.61239159539068,-50.90306135924563,-22.179622298889168,72.81364334251202,64.90487979646409,0.8578868136283142,-107.87297434313342,3.1097607331348733
68.15181985591254,-6.1036715575810545,109.60793822687009,-58.22301342098871,10.312458489407177,82.87200717700624,51.38402888130303,-14.403042867630212,-136.1125425240343,-142.44470032933825
83.67555295211861,27.72843943055605,189.24956682822136,1.6058471426194716,2.636789904664173,93.02550590034346,65.17465132864396,7.92981173200668,-84.4969339824786,-130.5302904903462
139.14501656901732,-14.795961904389829,164.16298042519793,-55.10984409799695,0.8316674571445273,76.6836736668175,99.79366905146132,4.218117515318476,-111.85674346401755,-150.12876838625255
113.62291997643077,14.318941118397339,210.01977599276145,-33.22898328406931,-1.2384875086187186,132.90177296470037,90.68446785243499,7.287074293325492,-89.23530438631164,-182.25687070744084
82.62802947242155,-11.82592152425849,223.7366340345801,-48.80023936870551,-14.121852299256279,115.56269877737766,115.49139796131861,-31.27282578920552,-137.2282847466643,18.20250620547641
155.63665949744194,-8.701712357047349,146.53040656373764,-63.29559571445489,-11.80610557014889,113.83568915311749,82.54155461649164,18.67598501690687,-98.89859429170501,-78.60002982944394
68.59603018920662,-18.195034045881727,120.01505931362829,-75.50744504727341,17.845827699242452,92.03870363556778,144.3305071181611,-21.062622452020147,-116.53526748749492,-80.78490274876063
57.681983569887876,7.841213837723522,192.9457259688537,-41.07400749864589,23.019976088356326,117.80305326529951,106.25198104305031,30.71260200112444,-77.17451869098265,-108.8122995266762
74.70825871071168,14.994837112482992,123.37330544012607,-38.122393627124985,18.8969997908798,105.73364460110962,99.83650573456246,-18.08418352206539,-90.94901489530253,-0.3860227215757696
165.70540540921982,1.7544614728306758,138.50026442067204,-76.02477701948632,-21.692561899567487,155.5694305774185,160.81420045360176,-15.767153643672286,-133.24020354522744,-116.90615472070473
143.64480468212744,20.966694106769815,185.92006047149735,-25.824374202153155,-7.085780718437703,112.52646232460852,127.65959439570571,43.99116424898476,-109.75905216993796,-33.511259385539624
185.23501962898308,15.56415237676156,135.7833421319823,-83.00343293515847,5.54407447518551,149.77608713246465,112.5045099166578,6.29639015568755,-91.31727166064141,-91.09322581797807
81.4921692862661,1.5889879617298888,196.14085208989286,26.030004777636037,16.783582068823918,149.30072278910043,171.69917144460646,-11.66701163270994,-83.49601888562812,-73.79827158705893
101.64892896882661,11.333076157446891,182.74825562895867,-56.343709318680396,27.253733293273314,147.30662323025854,103.82353660670536,-11.974990769757163,-142.86217244414686,-59.146018352024505
122.42105909609322,12.312050871615673,228.755025910351,-108.93802276756367,8.170156929868876,140.29472166934426,168.98432131307976,16.422690837828654,-101.17134900272725,-29.321831066208173
94.43925823950129,13.425625241192705,189.91547063253856,5.10474863484757,8.41751848701977,160.43331644030508,117.80778187260667,21.975951579950863,-83.91345614346501,-93.85120769355083
106.71035934994471,-15.311331075555104,114.54345858754333,-14.593819641781915,7.0518959583123975,173.3165732432837,132.89917516356383,-12.36698588285618,-86.52501429964629,-133.44715987071595
86.61337323436743,9.291446355101352,252.44243756784348,-33.14678291001552,32.4006723910792,111.97260326868816,124.69491518201446,2.741650362386412,-35.76043035088154,-74.45241691952769
18.20504589339624,13.021096992210472,174.87240226470607,-80.56019392241762,-4.079502679134775,129.76769103127663,134.47796990432587,15.042287445941641,-78.29283488185263,-93.60602313721711
74.36868258992735,-8.159661093480096,220.7956512104861,-48.029196627350046,57.94384774907278,132.59496436718734,148.08499553598685,-4.2453251360832756,-10.497264680827788,-102.51790504270907
136.82524610387512,-1.011319552127895,200.3173896033181,-57.19563507810716,44.596778746426615,106.83917884320381,144.8355755288286,6.640343331171851,-74.79187685655138,-82.58699290361888
120.9050948414599,27.719108534337938,210.9385852685952,-26.078513568232665,71.56338903331925,185.6605000441453,150.95824397840127,-1.9673874020481776,-50.31197947976046,-64.68504809605149
182.76581487040048,32.407081878235275,167.9275536680996,-12.503491415443051,4.2702381047515585,203.08677558069414,176.88929220777413,12.480376808172716,-99.32986704688888,-61.35192464450749
156.36696843014406,35.55026951832249,152.6315333302305,-24.26312420907213,86.64679813729104,87.89203947010198,133.52262528477473,52.37524095553058,-84.50975182547431,40.45035243847252
61.41618753901637,24.08711276443837,158.82912903835313,-60.34498965430136,37.11616835188502,195.15899423691366,165.07158503978147,46.49511781767582,-75.64733767305836,-57.58838743930451
67.53532578605143,28.63629228602439,153.4985618314447,-7.407881621146424,13.82292460354339,107.98001362668883,121.60882862076684,3.703801915914417,-57.90618273812253,-86.87848324217602
37.72965202083045,49.82949370907821,210.40578764037264,-53.14120902702551,38.011741287815944,133.66028047606864,142.6213014081343,37.15217985292594,-73.79954380758026,-56.035665186042635
83.7844449798561,5.589239707703664,218.44771238344933,-23.519922090170066,19.942436335847948,228.68263826085763,102.03990520863752,17.138224917984104,-65.80132586029517,-119.39187069294911
