rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4
"[  39.94190426  419.85320044  109.86210019  829.74112061   19.96703302
  219.8739067   239.80449126   29.94996062    9.98027719   79.92787338]","[ 349.90397824   99.88699837   49.94032391  169.90922999  339.94612337
   69.95973847   89.94548043  309.86487753  109.85065405   19.97190511]","[ 209.80281359   89.92036417  179.91154094   99.86434148   29.95071892
  119.89124663  149.8359737    29.95200071  119.85351659  269.83674043]","[  49.95874329  629.72909475  749.69223405  129.90107004    9.98549211
    0.           59.96324851   79.94619886  359.75963523   69.94351292]","[ 199.95586528   99.92450765   39.96148993   29.97764856  169.88337842
   59.96293299   29.96934571   79.95254749   49.96137734   69.95797223]"
"[ 349.80157007  309.84255123  489.72880062   69.9488746   489.83916713
  189.9275878   559.81470522    0.          429.81160058    9.9802772 ]","[ 349.83228799  119.89306124  139.9206992   289.88946293  119.93318805
   39.97394591  199.93053822    9.98518911  109.95857963   99.85424203]","[  49.93835815   99.91115362   59.92219171  349.87233662   99.9282339
  139.95051164  399.83094382  289.85450665  219.81585979   39.95692165]","[ 189.85577545  329.73608355  279.85857812  289.78801347   19.97183297
   49.93428385   49.94388275   59.94577689  379.73136489  389.8452531 ]","[  79.94839797   39.98412458  299.89359479   19.9744435    69.9341373
  129.95851749  109.93294612  179.91828365  279.93100872  159.91905875]"
"[  89.90912688  169.84360978  269.88677744  479.77841825    9.9802772
  579.77482033   89.90912688  169.84360978  269.88677744  159.87280753]","[ 149.86539151   19.968466    209.92822771  269.93060497  149.77238922
   39.9464163   129.94094951  379.88743424  139.90919022    9.97979556]","[  99.91617516  109.87335117  289.80387615  229.80910003  389.89302521
   29.95436757   49.9288467   159.92250845   29.96996646  349.85011607]","[  79.88145336   39.95204257   49.97280551  309.76228944  699.63570691
   59.94773182   89.94673631  279.71913708   69.90856652  259.90867858]","[  59.95234579  139.95325523  129.93358399  109.96457983   19.9743162
    9.98431515  139.94076641   49.93389906  149.94440307   49.980202  ]"
"[ 579.72497316  119.93990391  359.82188524    9.98025993  179.77247187
   19.96349382  369.87603109  329.72018761  679.61678592  389.78212666]","[  49.94634857   89.88211223  139.91800944  109.91291298  129.88905762
  169.90687786   99.91174619   29.96150293   19.97583584  129.91971091]","[ 639.75818817  649.77909431  179.82137793  309.66479382  109.86250305
   49.92620074  169.85760531  279.87415285  179.84411069  219.74445709]","[  29.96061476  669.72497387   49.94083414  359.91655855   39.95081148
   29.97634437   79.92468191  219.87741016  579.68500268  329.75984894]","[  19.96301815  149.94777506    9.98592424   69.95637843  109.95311485
   39.95215603  249.91369637    9.99093169  179.94771803  149.81392412]"
"[  99.86535251  649.64154703   59.92986321   19.97312261  359.75464245
  169.92633258  329.87511973  279.85414515  249.92591522  679.59111857]","[  79.93541792  309.82501814  249.856817    109.93740391   79.93354194
  279.88144432  139.92559371   49.96705444   49.96501059  269.84334809]","[ 189.76342827  149.82483258    9.9823787   179.9054547   109.90584241
  299.89632418  139.87702017  159.86945949  169.81428687  169.86366173]","[ 389.61943805   29.95192613  149.94206251  539.66913882    9.98332631
   59.95197047  399.67059312   89.91512769   49.94427948  129.95047864]","[  59.95299153  149.85363732   69.90928837  169.90439379   49.95992963
  199.81451033  169.8473822   549.79304778   89.88937471   19.98855854]"
"[ 459.73355604  289.76655058  409.79192368  189.85146453   59.96430238
  179.82267951  229.91730913  299.79418162   49.94955163   89.85110894]","[ 279.90361259  239.87465376  119.86461373  289.87873661  129.89307356
   59.9496647   189.93054016  109.89639591   89.90871422  139.85916826]","[ 199.81294892  229.70200729  399.78225087   59.9386428   449.7594902
  119.89008862  189.7341796    29.95982521  389.87453376  169.87880886]","[  29.95943081   49.92525514    9.98452521  209.79680365  379.77469893
  459.75155448  539.7916657     9.98059361  119.88650947  469.7415012 ]","[ 159.87402835  369.83017876   99.8460803    69.87729684  509.84922825
   29.9728184    69.97245126  119.93341211   79.97012293  129.88211786]"
"[ 439.79694398  419.67282597    9.97944126  609.83637191  559.64355699
  609.4800745   489.80440023  119.86285656  209.71106078   89.9258603 ]","[   9.98281544    0.          329.8581951   109.93491777  169.94382478
   99.91140886  389.91297919   89.861143    339.92032619    9.98692203]","[ 409.86212426  249.84289325  339.86965447  299.89108367   69.90270299
  159.8311727   609.51397581   19.96567545  629.79866391  289.93151378]","[ 209.91286     309.87807881   19.97667347  219.92253671  349.8596725
  429.72503132  419.82881849  519.80771251    0.           19.98218218]","[  99.95092413   19.97875714  189.87968151  209.76217106   99.84663938
   99.89209329  459.91025056  149.93749798  249.82929335  259.75802037]"
"[   9.98024765  209.92321792  909.74471021  479.7755032   359.79088231
  209.88579835  149.84206923  229.90631039  849.62512023  479.69063433]","[ 309.87663828  159.91972736  349.9032071   229.85018529  359.86971633
   59.92718628  109.86194214  119.89211412  209.82437182  239.87418757]","[ 529.69734981  169.84197932  449.74645999    0.          539.63814031
  199.92767301  449.8107823    89.87154537  539.80097546  139.948662  ]","[  479.78843815   479.81996609  1089.53977817   339.69581643   549.89117639
   669.75388009   139.88600732    39.95646406  1089.76301025   809.79128169]","[ 129.87193123  129.91207289  269.86387987  279.85482594  139.90621874
   69.92493021   89.95218116  179.8585016    29.95690373  329.85852521]"
"[ 109.91662986  119.90373889  849.58944575  499.70818593   49.94929914
  329.68540404   89.90498571  509.83376472  819.65245343  479.65762077]","[ 149.78667229  239.89126801  269.78888092   99.88940018  179.75072825
  249.7539991   219.91105096  699.81550516    9.98480021  169.87940292]","[  59.91516381  209.94507703  779.61768909  819.62914542  579.7972098
  719.75484407   29.96419364  219.80311382   49.94148496  239.82507005]","[  499.65260437   539.81435406   769.76857755   279.83373218  1619.36445883
    69.8952927    249.87909689   429.8821012    939.53594288   239.87266156]","[ 129.86872028  179.93204982  149.87476431  249.86050093  149.80038509
   99.89885248   29.96231044  349.86983253   49.96001048  219.93513841]"
"[ 639.82485179  149.84743529  529.80169855   99.88682831  689.73476995
  509.70296898  459.78145852  419.7708697   309.8696446    59.91925598]","[ 549.8610953   349.86170315  159.82998096  279.87830942   99.8960049
  389.8033312   159.92787337  119.88868092  379.92743929  199.92406995]","[ 679.83612212  409.70886624  879.58890446  679.71636426  589.7627905
  479.7705582   639.72599379  319.79273602  859.51349284  369.66276478]","[ 649.79153038  219.90507152  859.67133483   19.96549335  679.72558008
  449.79350176  569.75206879   99.87482635  849.72796755  479.79714129]","[ 419.82755773  449.82701382   49.96497793   19.96798341    9.98428417
  139.80565115  119.85341908  169.86996462  239.87593342   59.91046911]"
