variancceSgd0,variancceSgd1,variancceSgd2,variancceSgd3,variancceSgd4
7814658.5213186145,29765726.109121557,9770349.197027313,28138788.55161893,5389633.395869441
8138242.795716614,9404359.578111101,73151509.17206596,11026500.933065973,4699725.523926074
12634932.923456963,6756523.055296129,16132644.504813958,16907273.339204557,7713505.769822396
9528672.555505734,8282287.336122992,22114019.737201326,39531708.89844558,10135599.54450077
28475116.27322777,8888965.375643643,14552982.35625322,9245974.482954916,7546368.905350657
8563223.263134142,4859984.590941086,14303763.067138815,6538659.553082934,6820966.978409314
41047778.3566712,14338767.845778126,21723530.900068335,9814683.66976203,6229247.561764166
3899083.1331343977,8917217.504307177,10499848.799594969,2709473.0592594477,10690081.314107105
12335242.370287782,21595140.13397771,8811360.669462416,3718107.4820094733,15703552.7006494
9974986.065257113,10209478.867234714,8186733.907002283,4175271.943697057,10023085.83578772
4615986.009252452,29392051.738457456,6858662.378107323,34213662.06136684,18027032.758422166
11301842.06882622,30073205.891038164,10006582.322159916,13093690.90239087,6797943.838147506
13187422.604132675,5111837.431596523,11042604.16455052,1055525.8675070824,18244932.03455191
14326312.468661482,21344718.705857515,18896808.252153102,7558188.264347816,19452933.855559804
6286382.38888889,1376839.0804484463,10121822.961320639,818825.7073847802,15847273.613460425
10649919.209168922,20957950.03712526,8255928.716037055,2305471.3156898404,6213585.073455468
21654326.987843562,560831.2862852071,10229355.51673758,1395931.9452711553,14734428.608565554
8611320.508970613,377369.7461526067,28964879.95073051,18456411.143825307,10017813.092106104
8069744.433840353,1834316.6834417712,12269404.49223296,1604054.2021943938,7087147.5153744435
6975139.7613587715,12521460.367893891,7984418.927912121,26610385.653571814,9242835.048373805
41970654.596008725,4141580.737266628,479681.72252806526,379082.39283345616,17782970.062251486
2707259.430983659,361164.02981390024,12637511.970055848,1349720.481457619,28273014.31841813
4706705.666099697,1011535.2966860139,1759423.5046638446,2723357.0080324765,8206689.803394052
11832319.933249922,12331947.442529837,1183091.3333099575,2050155.1329080474,8005536.421212423
602477.7542896392,2382251.4206612078,1162823.5475194785,5063284.660094378,3032777.996499954
6740216.958351074,1337025.4146117894,1344458.1486008596,7181682.707870889,7503172.761490374
1144672.9529049878,2544382.531430121,3123111.2404727843,1193829.3837030875,5899012.103962493
1944628.602340434,4228941.385418678,18074446.433934048,17059761.708913215,1230622.953629762
11858377.342588894,1837886.7162167015,138681.3032924728,606915.0184362557,40688498.91497043
1697795.9319503622,7179538.504521652,6591787.894793678,3414948.5651947204,9533743.944684675
338041.48045637115,576238.7052429968,8973532.456804197,1245335.4545683789,4101112.3059639586
100643.3546070139,5320793.658793351,115868.48262398734,854015.40828078,2225528.4355878616
197120.00265445744,8055713.21054885,21829474.88081788,1637564.3160590618,12877354.616897453
11913121.89884641,250301.70613207758,47164238.17123113,1136042.9704317376,1753724.3179652537
181952.86138949875,3490971.03084299,257058.90187067183,20439663.801061105,4701536.644963743
2545935.5065809265,1748785.9056284227,540037.3554259051,604001.9330972668,2798031.213817604
1250615.5012435727,1062331.1260346877,73609.22169321726,1464577.5739994352,4603572.975611948
583088.0599602428,1577986.6568922014,93813.39281908856,1212878.2873333308,36520018.64214454
1326688.8078301004,142612.6501860172,61831740.16764866,2039482.6110765329,3957094.598286444
80213.94801492876,3543751.5461922246,315737.91088242794,721765.0545784768,3011990.788800786
116551.05106364859,2680827.364176888,101032.20492004917,4419443.4635377405,6185360.361631564
9408689.260634717,3010660.934756629,5853359.229329279,3127612.831593582,4832480.987430938
40451.13029136527,2951297.972185531,7297813.169874597,15535650.725738326,5615070.444337808
29552.6757422119,528685.0785396309,81421335.20620936,45566673.674314685,4414351.626712607
465028.33377660124,217278.8081060175,4165684.83816908,7876868.798007312,2306621.601271027
