nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4
8.0,3.0,1.0,1,13.0
4.0,1.0,5.0,2,6.0
12.0,4.0,49.0,4,2.0
1.0,6.0,3.0,2,11.0
6.0,4.0,12.0,3,1.0
1.0,8.0,11.0,1,5.0
1.0,1.0,2.0,1,2.0
14.0,1.0,39.0,1,4.0
1.0,2.0,12.0,1,1.0
7.0,37.0,1.0,1,1.0
1.0,4.0,28.0,6,1.0
4.0,1.0,10.0,1,3.0
5.0,40.0,1.0,4,2.0
1.0,49.0,21.0,1,3.0
2.0,4.0,22.0,2,2.0
2.0,1.0,9.0,2,1.0
1.0,2.0,2.0,4,49.0
3.0,4.0,49.0,21,1.0
49.0,1.0,2.0,3,2.0
1.0,2.0,3.0,1,1.0
4.0,1.0,1.0,1,2.0
1.0,1.0,7.0,17,1.0
3.0,2.0,2.0,1,1.0
1.0,1.0,1.0,2,5.0
5.0,6.0,4.0,3,1.0
4.0,1.0,13.0,2,4.0
7.0,2.0,2.0,8,16.0
9.0,5.0,4.0,1,1.0
3.0,2.0,1.0,2,2.0
1.0,27.0,46.0,1,1.0
1.0,1.0,4.0,13,2.0
5.0,6.0,1.0,1,11.0
1.0,5.0,5.0,1,4.0
4.0,4.0,3.0,2,1.0
3.0,2.0,2.0,1,1.0
2.0,7.0,1.0,3,3.0
10.0,1.0,1.0,3,2.0
1.0,21.0,2.0,3,1.0
13.0,2.0,1.0,1,3.0
49.0,1.0,1.0,3,12.0
2.0,1.0,27.0,4,1.0
1.0,2.0,5.0,1,1.0
8.0,1.0,10.0,1,2.0
1.0,8.0,26.0,1,1.0
1.0,2.0,6.0,1,4.0
2.0,6.0,3.0,4,5.0
1.0,1.0,1.0,3,1.0
1.0,1.0,2.0,6,2.0
1.0,38.0,3.0,3,1.0
4.0,1.0,6.0,1,1.0
5.0,14.0,49.0,3,1.0
1.0,18.0,3.0,1,5.0
1.0,10.0,2.0,37,18.0
3.0,49.0,5.0,1,2.0
3.0,2.0,1.0,5,1.0
3.0,1.0,3.0,6,1.0
4.0,2.0,1.0,3,2.0
1.0,21.0,3.0,1,19.0
3.0,1.0,2.0,1,12.0
1.0,49.0,10.0,12,1.0
1.0,11.0,1.0,1,7.0
2.0,3.0,5.0,2,1.0
1.0,1.0,1.0,1,11.0
1.0,13.0,1.0,9,3.0
3.0,49.0,1.0,24,8.0
8.0,4.0,6.0,49,1.0
1.0,30.0,8.0,2,1.0
1.0,30.0,1.0,1,4.0
2.0,7.0,5.0,1,2.0
2.0,37.0,1.0,2,2.0
1.0,2.0,4.0,1,1.0
1.0,1.0,1.0,4,2.0
3.0,2.0,2.0,3,3.0
6.0,11.0,1.0,1,12.0
1.0,4.0,1.0,4,8.0
8.0,1.0,1.0,7,1.0
1.0,1.0,1.0,1,2.0
9.0,1.0,2.0,1,22.0
1.0,2.0,2.0,3,1.0
1.0,5.0,3.0,2,6.0
1.0,49.0,6.0,1,2.0
1.0,9.0,2.0,2,4.0
1.0,1.0,1.0,3,1.0
5.0,7.0,3.0,1,1.0
1.0,9.0,3.0,3,49.0
1.0,6.0,1.0,3,1.0
1.0,1.0,20.0,3,1.0
1.0,19.0,1.0,17,4.0
1.0,1.0,2.0,2,5.0
1.0,1.0,1.0,7,16.0
3.0,2.0,1.0,4,1.0
1.0,6.0,2.0,2,10.0
1.0,1.0,1.0,2,2.0
2.0,2.0,6.0,14,1.0
2.0,2.0,2.0,6,5.0
5.0,1.0,6.0,2,2.0
3.0,1.0,1.0,2,1.0
12.0,3.0,1.0,1,49.0
2.0,6.0,3.0,19,1.0
1.0,1.0,1.0,1,4.0
2.0,49.0,3.0,1,1.0
1.0,1.0,3.0,2,1.0
1.0,1.0,1.0,1,1.0
4.0,1.0,6.0,4,1.0
1.0,4.0,6.0,1,5.0
40.0,1.0,4.0,4,1.0
1.0,32.0,5.0,5,49.0
5.0,8.0,1.0,1,5.0
1.0,30.0,4.0,3,1.0
1.0,1.0,6.0,2,1.0
2.0,1.0,12.0,6,1.0
1.0,2.0,1.0,11,3.0
22.0,1.0,8.0,1,2.0
49.0,1.0,2.0,1,2.0
4.0,39.0,2.0,6,5.0
5.0,4.0,2.0,8,5.0
3.0,2.0,6.0,1,1.0
6.0,1.0,11.0,4,2.0
46.0,5.0,17.0,7,8.0
2.0,2.0,3.0,1,1.0
49.0,6.0,10.0,7,3.0
4.0,21.0,6.0,3,3.0
1.0,1.0,19.0,1,4.0
1.0,3.0,2.0,3,2.0
6.0,10.0,1.0,11,7.0
1.0,1.0,49.0,2,2.0
3.0,1.0,1.0,1,9.0
2.0,1.0,3.0,2,6.0
4.0,3.0,15.0,1,3.0
13.0,49.0,1.0,3,1.0
1.0,49.0,6.0,3,8.0
11.0,4.0,1.0,4,9.0
6.0,1.0,3.0,1,1.0
4.0,3.0,1.0,49,1.0
7.0,4.0,1.0,8,2.0
14.0,23.0,3.0,1,8.0
1.0,6.0,1.0,49,4.0
11.0,1.0,16.0,1,1.0
1.0,49.0,49.0,3,11.0
4.0,1.0,25.0,5,4.0
1.0,2.0,3.0,1,1.0
3.0,14.0,3.0,4,1.0
12.0,3.0,10.0,7,1.0
6.0,2.0,1.0,8,1.0
1.0,8.0,1.0,5,1.0
1.0,6.0,5.0,2,1.0
5.0,1.0,1.0,4,1.0
1.0,1.0,2.0,2,7.0
1.0,9.0,16.0,1,24.0
2.0,3.0,2.0,1,26.0
23.0,49.0,4.0,1,3.0
34.0,7.0,20.0,1,8.0
49.0,6.0,1.0,3,5.0
1.0,3.0,4.0,1,11.0
1.0,5.0,1.0,2,1.0
2.0,49.0,21.0,1,1.0
2.0,5.0,1.0,2,1.0
14.0,2.0,9.0,2,1.0
49.0,2.0,10.0,1,8.0
1.0,14.0,1.0,2,1.0
1.0,7.0,6.0,8,7.0
2.0,2.0,16.0,1,1.0
2.0,26.0,1.0,1,1.0
2.0,4.0,5.0,6,5.0
1.0,7.0,4.0,1,1.0
3.0,1.0,15.0,49,19.0
2.0,3.0,3.0,49,1.0
35.0,2.0,2.0,49,2.0
7.0,3.0,2.0,21,49.0
4.0,1.0,30.0,1,2.0
1.0,3.0,5.0,1,49.0
8.0,33.0,1.0,1,1.0
5.0,19.0,1.0,2,2.0
10.0,9.0,1.0,1,6.0
1.0,6.0,1.0,1,5.0
9.0,1.0,5.0,1,8.0
2.0,1.0,1.0,13,8.0
2.0,1.0,9.0,4,3.0
2.0,2.0,1.0,3,9.0
2.0,18.0,1.0,1,1.0
3.0,5.0,1.0,49,3.0
14.0,1.0,4.0,3,14.0
22.0,2.0,6.0,1,9.0
2.0,1.0,3.0,2,13.0
1.0,2.0,3.0,1,1.0
1.0,4.0,14.0,1,3.0
1.0,17.0,3.0,1,1.0
1.0,13.0,3.0,1,6.0
1.0,4.0,19.0,1,7.0
49.0,6.0,2.0,3,5.0
1.0,1.0,6.0,2,4.0
1.0,3.0,13.0,1,8.0
2.0,10.0,10.0,2,5.0
9.0,1.0,5.0,5,1.0
6.0,28.0,1.0,3,1.0
1.0,1.0,7.0,1,49.0
6.0,6.0,1.0,17,1.0
3.0,1.0,3.0,1,14.0
8.0,1.0,1.0,4,8.0
13.0,1.0,15.0,1,7.0
2.0,20.0,1.0,5,1.0
6.0,4.0,49.0,1,1.0
3.0,4.0,5.0,1,1.0
6.0,3.0,3.0,4,3.0
1.0,17.0,4.0,1,1.0
2.0,1.0,4.0,1,4.0
13.0,7.0,5.0,1,21.0
5.0,7.0,49.0,2,2.0
1.0,1.0,16.0,4,1.0
2.0,1.0,2.0,3,3.0
4.0,2.0,4.0,1,1.0
2.0,1.0,14.0,1,12.0
13.0,0.0,1.0,1,3.0
1.0,,49.0,8,3.0
1.0,,14.0,4,3.0
1.0,,1.0,4,3.0
1.0,,1.0,1,1.0
1.0,,1.0,7,2.0
1.0,,5.0,7,48.0
8.0,,3.0,19,2.0
33.0,,1.0,8,2.0
3.0,,1.0,49,2.0
2.0,,16.0,7,3.0
49.0,,6.0,4,7.0
2.0,,1.0,5,6.0
1.0,,1.0,1,2.0
15.0,,2.0,1,3.0
12.0,,1.0,1,1.0
7.0,,1.0,4,2.0
6.0,,,1,3.0
6.0,,,10,1.0
1.0,,,1,4.0
1.0,,,1,8.0
7.0,,,1,1.0
6.0,,,1,1.0
,,,12,9.0
,,,1,6.0
,,,3,4.0
,,,13,2.0
,,,9,10.0
,,,1,2.0
,,,23,2.0
,,,5,1.0
,,,1,2.0
,,,1,4.0
,,,32,1.0
,,,3,2.0
,,,3,5.0
,,,2,1.0
,,,5,
