rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4
"[ 299.86556267  109.86162354   69.9289628    29.96875096   29.95416485
  429.8043256    99.90818179  279.76948112  249.79335328  169.87645153
  659.55283832  179.91798039  219.78204626]","[ 169.79217257  319.90358387   59.9432131     0.           89.94234146
   19.96931775   29.96337786   29.96711791  199.75021496  109.91826367
   19.98198184   99.93856788  219.89006521]","[  79.9611715   359.86651841   49.93745576  349.86223557   69.93179306
  339.8976806   209.89265861   69.93734759  309.87271869  139.9523776
  119.90001812  199.85774123   89.86222861]","[ 119.93619725  199.92993507   69.96718261  179.94440695  109.89689188
  379.84138095  399.82697791   79.91093895  129.84751376  309.67548036
   89.87052792   59.9668313   399.6719489 ]","[  89.89363112  149.85022108  449.72056508  729.62220472  159.81722639
   69.90702282   69.93521632   49.9250538   229.84204016   59.92916666
  199.87761543  579.50705805]"
"[  59.9206794    69.92538761   99.90455981  159.90291879  109.92173496
  519.73309478  309.84241628  129.93765914  139.89583285  159.84003878
  429.74711689  259.86539544  169.91345212]","[ 169.93359654  159.82920173   59.97043249    0.          139.92217909
  159.92652172  109.87042514   29.95986742   29.95113853  199.87681786
   89.94056718  129.94028192   29.96787037]","[ 509.73775551  559.8006485   129.89646173  249.87635139  379.86095029
   29.96426936   49.91990943   39.9529545   379.8393639   259.81811517
  109.85598703  129.95340454  349.75681808]","[  99.84634682  849.68360662   39.95565846   39.9545712   439.77917928
    0.          529.83042419  369.72484221  869.80737498  369.90149118
  299.85269075  259.86738418  479.78246577]","[   59.90827849   109.86345388    39.9756233    509.83239608   439.86197754
  1039.65331048    59.93194832    59.94192181   159.88423065   219.8199388
    59.89867826   119.90369262   539.81193986]"
"[  39.946845     79.96033898  179.90173011  399.76822303  269.92926882
   99.89018346  409.73603785  129.94542708  179.90753713  209.93930772
  159.90398337   39.94235484    9.98306631]","[ 149.95154601   69.92240506  349.9067541    59.93465308  339.87373385
   49.96699371  129.89238688   99.8773564    99.94353685   59.96597695
  359.82431765   59.91691807]","[ 159.95352795    9.98017072  129.90402552  129.95703439   89.97262182
  169.79365207    9.97966897   29.96274214  109.84913587   19.96706261
   89.91613953  349.8630666   449.81587774]","[ 649.76490645  249.81276832  109.84637623   49.93719921  109.89978351
  309.76196136  299.83379324  399.73598734  419.82119237  179.91350998
  349.87952379  369.83852207  569.59418075]","[ 209.87718995  109.87312532  259.95318254  219.88396688  189.88037042
  459.82526099  629.82425522  259.75016277    0.          269.77071337
   29.94472908   39.9394923    79.8834114 ]"
"[ 179.92081796  119.90120661    9.98240904  169.88918821  229.81305274
  429.72281075   79.88782494  279.84653639  399.83998455  169.84233123
   89.93113273   89.90188328   89.93541192]","[ 199.88103507   39.96120668  299.77245145   79.92809998   39.96578655
   19.96541879   49.95701488   19.98189386   79.9493375   119.90256405
  119.86528571  209.8067607   579.78111159]","[  19.9845296    59.95618169  109.92292286  169.94977044  359.62317889
  479.78627841   19.98186289   19.98188057  509.77009513   89.930644
   79.88515248  209.81915284  189.95349929]","[   19.97484271    39.97174371   269.7815558    119.89506707   109.89319212
   349.64940391   439.73436054   139.8820379      9.98592343  1049.64764675
   359.83500576    79.92503654   459.76635172]","[  19.96366162   49.92699053  119.8601186    69.9441992    39.92489971
  279.91011305  859.75228161  109.90817713   49.92380011   59.95910508
   19.9771601   359.7834264   509.76311388]"
"[ 259.89148057   79.96158028  159.85733712   39.96033619  359.79319345
   59.89972806  109.89640289  169.8661587    89.93396975   89.90730002
  359.74224805  679.65698443  529.82411008]","[ 259.90263688  149.90521476   89.95007554  109.82869779  199.92183337
   89.93596049  169.94806491    9.98846659  189.8685955   129.85441283
   99.93673071   99.86659758  309.89425323]","[  39.94796277   89.89562463  119.96925322   89.89791368   39.97004563
  159.8758155   479.78073016  219.83930765   89.9158206   529.81226992
  429.7717609   479.8743886 ]","[ 319.84575816    9.98306118  129.94243488  139.86118645  239.95832716
  489.72101896  399.67029916   29.96521111    9.98279768  149.94714367
    9.9802786   189.94864256  399.77804339]","[ 629.44221429  619.8179823   199.82014838  319.85572056    9.98024683
  199.85674715  309.81944936    9.98221262  329.84211344   99.87115182
  299.91119002  449.74728716   79.94352239]"
"[ 499.84924219   79.96171293  169.84226551   49.91928181  189.85640082
  409.83318615  559.72921188  199.75991723  329.84450421  229.90285747
  119.93857369  329.80508612  719.75411921]","[  19.96528755   79.94234712    9.9798775    29.95101303  119.86711075
  129.97155849  129.93900391  149.81484202   49.92507566  389.78274519
   19.98098544  249.87885187  149.82575255]","[ 239.88322906   69.93904012  399.83148233   19.96622465  149.90674531
  659.69415831  599.71781557   89.94780785  149.89680377    0.
  199.80838073   49.93035487  259.83938795]","[    9.98219369   379.68728191   979.66690962  1089.47722388   109.87002447
   649.72095011   109.8900132     29.96590402    39.95706146  1149.54619089
   609.70086941    59.93251947    49.90648483]","[ 219.94938707  409.8785248   229.81509359  159.92000585  219.84512134
  119.94484164   69.92618607   29.96797339  529.76244323  339.84811643
  499.75587042  379.69477575  679.77594109]"
"[ 569.69083689  399.86135112  689.71157691  389.89319507   59.95161809
  419.76643503  379.73186331  469.75851374  239.87911082  559.81685503
   69.94239159  179.79545855  199.87522658]","[ 269.87777864   49.9162093   539.58964482   79.97933897  169.88947858
   59.94877013  109.92718606   39.93893803  229.90070821   29.96480333
  539.7714698   209.90938547  279.8819998 ]","[ 529.84271367    9.98198987  109.86406326  199.90516128   79.945945
  179.88264268   59.96410103   89.95281268   39.95978952   99.90181808
  579.71556431]","[ 429.86264461  269.81620773   39.92501487  619.71440953   79.87212411
  319.87742032   19.97631125  199.86688995  379.61816024  529.67997501
  509.62338658  139.95301103  949.52982241]","[ 259.65847681  399.73711068  469.76845822  359.64205849   19.96798783
  219.90641875  499.79819147  259.77148215  619.85075275  379.78179585
  339.71515074   19.96458972   49.94258424]"
"[ 329.66509936   59.921279    369.78293846  139.83224869   89.89624931
   59.9431516    79.91521514  399.69923444  419.84977776   39.95004403
  259.75069258    0.          529.75607708]","[  39.95728559  229.83516411  259.77581079    9.98857553   89.93144087
  389.82439187  809.69161264  219.91279548   59.96875322  749.5709527
   69.89256062  279.86018227  229.76700258]","[  59.94017897   19.96527497   79.9563535     0.          309.78969234
   99.91133945  719.63464704   89.89702714  269.86038952  409.83497129
  639.75630772  129.82825951  209.93108438]","[ 379.90376334    0.          119.91094912  659.71889027  409.8702862
  239.87503873   59.90617484  399.87305286  329.87306378    9.9879644
  789.57673538  659.6721861   229.90620071]","[ 399.91044329   19.97718189  469.79298223  339.75474239  329.92720003
  499.8274593    29.95010626   99.91229536  359.75191418  509.71569475
    0.          379.78752624  789.59197156]"
"[  79.93583198  469.70723831    0.          859.55731456  109.86304815
  729.72949397  169.92397282  259.81166795  219.83970175  409.68915449
  199.84455834  429.89207044  489.78900606]","[ 159.88261096  459.84910589   19.97488578   59.92229495  189.93345459
  159.83077407  179.88990091  229.82593372  219.88040641   89.94889191
   69.90653735  239.85695422  419.90301187]","[  49.93826138  499.72400002  179.93185964   39.98258106  159.92812941
  339.81443546  499.72790668  419.68270997  359.81006136   79.945646
    9.9823841    19.96781487  189.78335506]","[  549.79311122  1019.56749568   119.85059877   439.74589305   149.89348211
   419.75451758     9.98406221     9.9868326     29.95187377   239.90955767
   449.86678459    69.96054617    69.96957254]","[ 319.83824133  289.80802565  119.8786156   149.84966429  439.69261666
  839.78386252   39.95488163  749.81962401   19.96073     439.67558974
  489.75983762  419.70753525  689.78135848]"
"[  39.9420269     9.98339285  689.63217382  789.67133607  579.82480012
  889.61357932   29.95564421    0.          779.57729074   89.90129883
  529.80505969  549.74105714  429.89098195]","[ 509.71634455  109.95243131  109.87039351  109.96141166  319.75643459
  379.82692412  579.77466583  269.84232252  269.86824662  189.94698586
   69.95206792  369.83333953  209.8459014 ]","[  119.94052477   319.80535225   309.82819574   509.69474717   469.81039248
   229.91731413   449.76658629    19.96394887   219.89380333  1009.77989567
   629.84370655   329.81319782    69.94501126]","[ 559.86870032  749.59946805  519.77756997  359.80349005  429.72587173
  659.84891189  119.93425955  629.68335853  509.72745604  269.87483364
  209.84804184  729.67007895   79.9172252 ]","[ 1019.66667       29.94990238   709.77319025   699.74792014   379.65420703
   579.85879128   439.72650451   459.8056953    379.81399867   679.66160419
    19.97451306   179.77389319   369.62113561]"
