variancceSgd0,variancceSgd1,variancceSgd2,variancceSgd3,variancceSgd4
3775725.229793773,6581463.1646451205,7405154.649753662,15381413.930456724,11451791.32547073
26563661.19759789,21936557.32640567,11193361.72040586,14046575.426884213,12296776.302320804
21436273.62998137,10400040.326156255,9108876.688208237,36602253.130282454,36621473.132278755
21215958.106980726,11529398.6910313,17440756.039085798,33592422.4228231,13692155.718705405
11162059.272681963,9739780.222412417,12352433.270465221,40609136.67866459,40791941.393739276
10219685.935025595,21048036.23348165,18096954.6114741,21841027.52321926,20715905.183328237
22957015.771172725,15665632.045184564,23666524.179427885,22931124.956820864,15102948.401057811
9878907.351413343,15369919.14038034,19024757.123780422,26480556.30662009,19193446.872088462
24087343.061565347,19685108.853017997,22294388.8069003,16171757.02957742,15737747.065938123
15470228.77606064,14226431.351028746,24321892.135323793,43656201.065921746,17444629.574886326
15350031.609213922,13110533.383105697,40621767.0514495,30683871.696909476,9404711.566468127
8886667.299484476,28573550.242437396,20608620.68082794,45541445.01433923,29520594.79096201
10165194.369989846,43141404.694580846,30125470.82425242,17514585.55561854,31020114.434375796
9692781.532138772,42879501.19890464,68209894.16026981,20810971.479182526,10034944.030858086
8435086.018755067,24415161.063951973,20699362.22474696,28099375.261074148,14333346.09753904
3208552.246723065,19855256.252628986,57508978.276071414,15231489.62928621,21171923.04609026
12426179.448220558,19307452.042397883,54786920.276004136,19286989.82050417,21662637.73935527
8792211.527397064,32545424.95486674,23241627.24556659,29115944.463626057,32939315.67638699
4889434.842708368,14920041.9094779,21533291.82781806,44536399.58646977,17051408.28740841
12833978.686501363,45729763.660006255,18125832.132049825,31376797.622205824,14426046.893997341
10695184.654737763,33119148.380628876,56087172.6171935,35920043.39991589,26321614.63593501
8426262.738062693,45289934.20978219,49712677.17028713,13471807.660248801,32612296.780666184
16359617.021015283,40832594.03708213,20191602.977396145,56435613.5668824,24569413.110477615
10724686.33048445,31043870.657639917,44563806.95623532,80104032.34987938,21765110.24489639
6708397.917183527,81808324.2405064,53115152.74232703,77173817.26330502,36879072.799929336
8741289.8356639,29342689.970337965,67262258.79874524,43386523.55861347,51514998.35323916
7943838.400322389,50435558.27322483,52924340.20104804,66447138.96485019,54455596.7800319
11255438.87565095,46450371.98348704,82964482.88893244,55269186.67679609,39887658.443269335
23982784.70523853,65910742.06972742,89602312.79283129,54058834.57098036,33807399.83589611
