varianceSvrg0,varianceSvrg1,varianceSvrg2
1357137.3603439704,285816.28161595267,1118817.329902397
1320240.274834119,320958.55659613304,988924.0690923026
1306277.445583248,243091.034639803,999006.9078584065
1180434.6103363642,178373.51681090862,830593.1042936799
1025254.4082411604,251556.91696775722,801298.1655167863
1201875.7020817464,304760.20637546515,900427.2047613722
1305707.6807091248,275419.68159071356,1027804.1572335968
1082677.729566263,307121.85901117837,994682.1983685932
991784.5827504672,288977.48697054957,844068.888020753
1437241.3294693273,340875.77380659553,1125455.1944006782
1218744.8369319362,282886.5593610982,855962.0979476296
1319587.2937713703,269540.6504834121,911699.2522613299
1203937.2654391632,317088.84846960555,817185.572139398
1183322.5016122935,351478.79767765553,814519.2496087726
999734.699436371,295675.5040340671,792326.6662954885
1023105.1440495487,204967.2485385493,618139.0887480469
890777.6296202063,276574.7683638192,724645.5103204635
998925.3380995066,291493.6777475192,754233.1086239517
818016.8232237685,221696.85790070627,853359.11484716
699866.3798958547,275151.55211756716,736936.1541124064
668213.7328022422,307847.57649243134,692703.3377221578
843418.1986466676,262676.40616244945,630470.5784441313
673003.672245992,235897.23959141847,715218.632802337
505985.829744096,209590.981050483,841989.4432527733
358173.08358274365,212115.7565099176,597561.2156352673
399140.41712817247,196558.93462971353,553547.4576981307
347106.30818562413,182116.54080312193,525728.5995856036
321980.6775982246,193502.68003969078,452045.2403069553
300000.2086585779,164723.49898066724,526414.8884908864
344517.4805946321,185835.0571733907,501997.1181730048
342640.14290950634,186016.02255527445,652670.7454461617
334613.5962042471,179700.84628312316,546567.7264825155
218300.20540254193,202910.68040373572,549761.3868220213
344803.4061079848,141097.76987790246,467035.53662397526
442414.5919475755,135291.38610459713,633672.6146718239
450195.38497944915,150995.04182391148,436524.7593063391
530918.4736306126,172147.9317700927,515227.71768462996
586837.1092826874,171234.5911490813,482466.93266181037
671524.9033496184,171246.40211108956,765430.131190948
580914.1203608282,123673.19510580062,555177.4942510653
768091.6539136698,145950.49468891427,477340.43635378266
762325.0697989559,125159.87415965379,470541.02630059596
578134.3865555564,158503.3747985337,442204.9533472484
734172.36754039,183352.7800406324,472415.3717679791
1077597.342870826,156225.01766178454,425273.28934961197
756753.9585870991,135972.89768151636,499867.0597358241
791357.4419501729,144587.081186358,411745.84471926535
1310130.3194252495,148262.07665386226,397281.7462857159
1018508.764227789,143639.8704589256,509414.2476371263
1010415.9256511559,156278.306267512,558368.5948410834
1029095.9822460052,105459.5629538073,641465.2476149892
1156746.8868637844,146490.16200955736,564564.0836675329
1098836.1438241287,92022.11458572024,525053.981496789
1236480.0988985132,150061.5404388915,409996.33780409803
869250.7525153966,368341.5896974525,502751.61084681127
1241721.2169057718,99918.96884127021,620219.0433585863
1230166.1361116315,127214.02797105518,944133.7159398659
1106582.4769600863,113786.68702597554,625892.9207832337
1107977.7193375574,144171.56284190295,433051.80816220643
1317703.0711007551,136663.72722950246,615633.0262748925
1027944.5231544211,114052.64321810429,406520.14487821347
1098818.8838113935,101629.77296348044,827243.6904440756
1086388.2460750183,127427.12794372615,595819.6667605811
825751.2332559263,141478.9350316566,421209.93996496085
1184600.1993986126,102891.81306979363,495276.36684060015
1188901.5642813353,99467.93236042999,523102.26826504123
976677.1775727927,89854.77863657013,719567.755457789
1193915.1886218276,113869.0365103277,598899.3371074252
983335.0296365294,104914.36449636988,736409.776249697
684614.7999096613,120405.22211927272,601161.0870610345
942406.036001571,90375.52818793744,484621.02663269255
1146020.2852390204,131053.05033308748,610167.8411190497
874511.2613652296,140258.65121947252,418264.2463870477
1244252.655973901,147842.8388482163,446676.4413837547
795214.1159139243,109107.59650651267,587662.2877417294
999327.8168322721,134669.41596026742,535356.8814865005
813045.7658944173,97829.74696092495,608949.2479773666
1003690.6957795091,69300.00787093709,622622.7056301448
764910.8256624942,98168.12698105385,555898.8384171829
816465.5543890235,96871.99933389087,542076.2962373303
904717.8528926352,87391.10839701077,724326.1910085904
