variancceSgd0,variancceSgd1,variancceSgd2,variancceSgd3,variancceSgd4
858070.3711936276,494577.56945871015,1319894.8227004628,835345.8149548363,667894.3186143729
1507512.196803633,450026.36032867624,1110429.0019460947,702410.6488546529,1113017.334503463
1788222.2497549418,665978.037262714,902286.2361263456,676106.4106700039,1697415.3743238002
2320601.485100139,278426.8257877775,1514951.4822333516,1059139.4841247336,1538192.484085314
3595111.3123234026,625702.1180285364,843187.8009829129,780652.3598348673,868847.0922295307
3070024.7938665827,778820.4450112897,3585146.2438840666,963733.4318798236,719969.6747173457
2825759.6108835917,757210.3155495622,1522003.8468594728,510130.1792960372,2259130.2380465255
2877417.7399564646,1539240.1223598132,1596006.034853484,816503.940905375,1478424.255991936
2777227.89489609,935255.5089207292,1367104.390150925,498054.38403750176,2116089.625244365
1958593.297042022,1145229.3621986106,2522756.0921872538,1112672.220366857,1851338.5785401664
4002643.6594317094,926043.3764200278,3789775.5998172956,1218174.4719390958,2482338.6288405675
4804845.001087667,934989.826234363,847196.9558216745,3997602.173665489,2135904.063872485
3079628.5073139872,1274965.9795473763,2167131.8847961347,2893020.2454278,2700762.460792619
3384860.16159592,687300.2204135581,2622012.965391237,2737656.60851045,1652998.1102088795
2093631.2954482606,1149053.8001404996,5117329.466319876,4079202.281595343,3229572.54667344
1704023.370563594,813986.1239176004,2974563.3395090345,3319176.05765387,1983039.665653349
2688740.4646339556,1219700.138093167,5870709.447130316,3577793.896494508,1990246.9069252561
1943648.8922296655,2152588.7819762276,4901941.248470708,3017202.1890395354,3354739.2566252425
2302821.0882760417,1350716.3693600344,3844939.340837732,3059992.828507348,2618458.329872758
5751476.734064808,3438363.847764781,2082443.1047109903,5961217.564342283,3879029.703685957
1770409.6169810735,1403915.064935835,6498333.905847287,5992925.681459336,3308382.561488445
4006845.0526568294,2031755.0434567537,6448042.205325661,2950791.989458043,2404847.747829168
6789999.146829159,4473015.829230838,5524234.770924518,4048940.174531911,2942747.7765435646
5973920.035927342,4511230.451674223,3156517.819636493,5215289.007781286,4180804.739246444
11349861.554816589,5431378.493302298,6300479.264913139,6046554.003821381,4021139.5794956414
7349203.834979964,3009225.982974078,4731384.198790135,4253181.399754556,6803330.653810712
5654720.584666598,5015410.233382234,6349542.0630167,5609422.235695673,5785543.812863055
5695030.922965135,4206010.388612722,10917700.047537144,3747816.69656471,10463487.936693173
4188860.8567929333,2799937.5242776126,13980804.419180665,2107731.542713554,11416765.285710935
5163862.717464389,4597550.006005153,5567234.0111874575,2460539.4414109224,5980348.220235201
3132150.3480946636,3721763.384707797,5679578.698823912,2182894.7379110605,8767311.499429854
4549525.571802566,5300810.103582393,3396499.1488975016,3128651.522685396,4184888.781809979
3894996.4917888986,4014411.8551759324,5139645.456450628,1201051.011648561,7381521.0223863665
7167260.27671575,4397958.633439486,4498756.707463652,1677529.0924132413,3595146.405865238
9102891.953275455,5506710.466557641,9576879.940969244,3240605.619159938,5558157.131635965
2484035.93725626,5755354.425037031,5418758.1952237,2713956.2327100495,4104924.05212174
8214239.51371877,6606613.127788417,7577114.592254769,4471537.104781746,3489105.6223554513
7583181.318634225,9444813.176367518,5112131.54165202,3909765.9841107335,6367402.409814352
2400873.12584953,8207780.203082339,6178092.347986812,7066825.831470218,4930587.738227662
6105941.556374565,8639471.06820671,6656268.255912034,12108989.784361638,9147110.658612862
2932301.2215098464,11269947.3678835,17439558.881280083,5246010.224723742,2484810.779265211
2384148.1314742225,2674264.641936526,3078217.3146136752,3169007.592832583,3810954.662884523
10858826.675790649,10323010.144997252,3929413.8700756473,5045043.4265138805,11012633.221712671
6658443.662557098,7104100.763364953,4014206.500679979,2312681.391257638,2678924.886377226
3033900.34134278,7437448.851004405,3397404.0737918364,2373245.4337479984,2815629.906080875
2915688.331094024,13065940.426155135,5266447.315257173,5685949.380717447,5792712.424317833
4603451.086207151,4702032.135999337,3283663.5143127018,8470627.37254415,6170107.59753528
2542359.3498313758,10773796.211205132,5461366.010744512,2131504.9805217143,6968420.019664053
1875197.312354057,6727729.579623448,2258301.372012091,2264637.878907477,2655896.2283478207
2671956.8560363124,10460251.532757793,5458264.779893461,3952394.805481406,12515349.55404384
1051387.079584372,1837365.2763295418,2050223.7940450674,1520717.8006081176,11040231.399695192
9493959.129926968,6078916.818069812,11392694.472096343,6606224.634548515,5188877.925031697
226327.7530381157,2977259.3663656395,1055716.4523061863,9628533.561200883,1990062.1029266338
1422871.1925288155,8983029.518116917,6654391.295593596,4028848.768153252,5231458.671369281
265118.88758292655,2549138.124055072,6671809.281777235,21958115.015563548,2084272.2711609623
1224670.5403730187,3375680.502223793,3115114.9293709784,11659217.88851804,3433402.60330007
3487560.61295268,18050596.35672956,530085.9637373104,12547626.898180999,695439.2103896141
96161.50171467524,1220139.4384235092,475718.4407659528,6469099.212042107,5397827.724475971
1408324.8770358383,895850.4538442048,160593.66921572806,2351681.1339157713,1749484.398142166
32328.466372989988,5771240.946632098,2051862.3355659076,36821.80616723848,1077848.3624358503
54909.399707920005,9615894.49907384,176629.0548742787,240858.15654832777,12314057.271373369
40075.76303284098,5425968.645576328,4557054.508199409,30363.715606549493,5364381.606508668
47322.31614977532,1863559.3365160334,7779961.815573716,59255.889417854225,3932757.9347110894
40794.633601292866,4033892.436464308,393264.2175416737,39154.69564703797,9084756.84566471
151495.37628923546,465944.5943493267,1754324.4635274834,1086666.086839856,2862006.9889723137
109241.7482654021,1504539.4041352447,501899.85970362445,4515793.712906238,9463661.84181827
3958386.9803186636,847912.6739626871,140120.72960148167,120744.84307152839,6412914.3187190145
42598.45334809034,3229030.7705930416,7475973.401359625,1315739.5494936034,4890466.5618012445
1081915.5076628458,1212811.7880433737,6306334.140787199,130564.8808991042,20702205.28943117
159693.8944455168,490990.6979629519,794213.4306683148,961089.4475349091,5082241.140552214
307711.258327319,696241.2636638248,58936.42863332532,41738.7162584055,2757330.9985797703
98384.79169630658,3117490.427689336,35527.2323842348,364639.2051685682,8230386.91223312
2159317.9355106484,222308.28177444587,54180.169471855465,59207.869332193535,2768049.0863712183
447633.2558820784,1390549.9339271646,438399.3458026584,6196406.840177999,2573119.1178827304
499166.83336949337,726672.6461738545,64579.190115288795,1754563.0154219985,2208279.997176354
4181586.0641340325,388783.3351967363,13610965.242284764,14757649.546243683,1193069.6091846188
327560.25242988,1372834.9180167562,1973987.5513359644,27326315.30698355,1033596.8798239856
30539.848685160337,222254.95425393333,41529.72810035435,4311620.272748483,1768304.8385773604
878421.3362799649,1193163.8068405786,11510716.220427241,127462.78420720052,2903734.6484713294
