rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[  82.58295345   92.0193623    59.68751979  176.68052086  212.03453675
  155.21596507  -94.31753232   32.88487097  155.21596507  304.08031049
   82.58295345   92.0193623   269.42600846  212.03453675  -94.31753232
   32.88487097  304.08031049 -135.20770647   82.58295345]","[ 134.06493919  125.20688611  193.41978538   27.66583842   80.90241193
  232.76850618   64.60748412  193.41978538  120.53559477  170.31567534
   27.66583842  170.57651243  -14.26900659  170.31567534  174.02731725
  177.19875162  -37.13676935   64.60748412  193.41978538]","[ 372.68844004  469.53764641  565.36455759   89.61353179  401.82417478
  413.02618488  145.3299952   435.10312042  209.31184452  276.19787023
  170.54090335  155.47074742  464.04597527  190.64128226  228.75342613
  385.68230178  463.83810296  200.22809843  557.34395955]","[-126.58710654 -129.0670274   238.02060386   55.94288293  315.91656961
   23.43461464  315.91656961   23.43461464  135.91194176  131.26631812
  177.80226136  254.60077201 -129.0670274   181.16777923  -56.59978968
  161.63919885  136.94129878  140.63508144  280.26797236]","[  85.17744691  157.61531981  183.21052159 -475.7327011  -305.62664105
  164.28374376   39.19767439 -475.7327011    81.24935434  138.62752702
   64.55482426  157.61531981 -121.11230911 -121.11230911  371.65871576
  126.63203034  189.39568894   64.55482426   56.52865628]","[  20.89382768  179.97616544    6.86854878  153.33495272  357.76801271
    6.86854878  148.25265248  141.58056684   99.86380898   23.30835228
   86.10851026  167.12518206  167.12518206  299.83227404  -72.63047337
  333.79914368   73.36028212  220.67195676  196.32814077]","[ 330.14982584  389.52548263   45.64086175  281.31195603  389.52548263
  218.58697861  108.08111194  -85.28450576  101.60170667  152.61392861
 -108.23199128   26.68867611 -235.75890366   45.5123191   -52.43232774
  110.14403324   99.46444556  -62.95237093  237.42705573]"
"[  93.62160685   46.3994843   109.3017315    30.657523    223.79490931
  195.29004     344.71668308   93.62160685   90.72325423  344.71668308
  165.75737689  223.79490931  -72.17707842   36.41155817  109.3017315
   30.657523    223.79490931   93.62160685   46.3994843 ]","[  30.00838128  106.21844634   74.07058293   99.43863646  101.79523449
  183.99242544  194.39258716   73.24670744  -57.58810288   62.85295247
  -50.45295009  206.20738202  194.39258716  201.76543929  206.20738202
  201.76543929  206.20738202   84.91476567  259.49876171]","[ 183.69755668  176.93493667   -3.19680577  449.77495482  326.10670142
  636.85773699  257.62177362  140.08552092  704.54471208  347.96054884
  406.62568598   -8.68514821  -16.63537919  533.17631472  317.92023031
   98.40979675   56.23235871  327.31639029  507.45025437]","[  90.75927089  125.73502622  254.97597338  231.41327291   67.99958121
  218.1560723   108.77016052  353.23451181  353.23451181  -62.37159034
   67.99958121  218.1560723    73.2932834   151.37296355  -28.91944971
 -165.2767639    56.80779129  -91.48669867   77.70391615]","[ -89.18255234  120.58548585   28.90282179  345.04205538   22.56487991
  -97.64976113 -127.13846179  292.66258115  207.18654553  318.80666345
  292.17943335  195.11681195  345.04205538  207.18654553  176.61415382
  292.17943335  292.66258115   -9.91070948  -85.13686787]","[ 120.85341939  -28.20804592  150.71012827  154.06443592  204.04256331
  212.30672179  154.56018518   69.8379386   155.36705797  213.80974706
  212.30672179  157.26573055  116.77710114  112.72561766   96.68249925
   94.7980832    23.99886304  175.89444096  154.06443592]","[ 120.03373632  -17.50892721  103.61415433  321.27853009   85.31639574
  452.87403655  -74.91553486   52.2243371   120.03373632  280.36474248
  237.70974695  -92.11132356 -260.78142155  200.48017864   44.91909629
  155.87057087   30.46994004  247.65877802  -92.11132356]"
"[ 211.48906044  230.18633157   21.35193739   45.31625548   96.80641451
   21.35193739   45.31625548  137.34267499   45.31625548  137.34267499
  230.18633157  240.93594584   41.79733169  237.55358      41.79733169
  237.55358     211.48906044  103.32301143  195.45752951]","[  64.01799003  -99.23334579  -61.00726486   64.01799003  122.45667
  -17.0613858   253.16381109    4.88143      46.46946155  217.04719303
  228.50254205    4.88143      46.46946155  293.16431489  150.92557726
   46.46946155  -61.00726486   19.15311375  137.49868231]","[ 605.68647412   80.8663094   192.32208384  -65.4988282   566.89612604
  517.41506743  200.65973638  440.50523245  218.68038629  511.62021166
  372.91351978  355.70017139  461.17195634  -16.45611321  203.53480708
  609.91126227  515.0172604   569.27545426  258.54915844]","[  34.47300602  137.84749912  269.18804109   18.28234551  216.68047255
  112.9681297   -11.6290554    34.05911147   81.96675807   34.47300602
  137.84749912  -37.114608    212.17712408  220.53519193   25.05054605
  233.88926797   -4.6886916   116.22853789   84.40660659]","[ -48.72847669   -7.4820572  -167.7337676   -10.24095691   46.03121429
   31.25251479  495.39212306   78.23173002  151.9617204    80.85937675
  299.95298072  495.39212306   78.23173002  153.67333389   13.75734916
  214.20629795 -116.68766876  142.84686879   46.03121429]","[ 219.70283792   53.70198289  219.70283792   53.70198289 -158.56712021
  140.16338001   85.9418738    96.53086675  193.35172263   20.27478184
    1.30818148  280.69526328  169.69031272  142.22587748   96.53086675
   77.43512402  203.30968218   39.51379192  215.0059669 ]","[ -20.11146493  246.00369635   56.42808835  249.39450868  268.53412635
   74.24246874  116.70023748   42.34021836 -159.58355805  109.42293106
  109.42293106  328.97408407  308.2605229    72.34973329  273.18806067
  307.98132259   42.34021836  555.54986536  286.21119185]"
"[  67.41872382  107.5966844    60.50141846   51.75097177  107.5966844
  409.88847397    9.80525875  209.36713209  220.45259104   60.50141846
  409.88847397  288.26775504   60.50141846   51.75097177   12.91928797
  191.22834335  164.73331857  220.45259104   12.91928797]","[ 108.85247315  272.50154641  261.12812067  181.71331006 -197.15727228
  -11.75914188  225.17413425  196.2165718   284.03559034   64.97844891
  -48.47926992  168.03085034   48.80719568  108.85247315  -11.75914188
   48.80719568 -197.15727228  272.50154641  168.87480496]","[  5.18232026e+02   2.21724589e+02   3.93635452e+02   1.61707090e+02
   4.25812763e+02   5.77714580e+02   5.45798523e+02   2.78413030e+02
   2.49717230e+02   5.95662172e+02  -3.97490185e-01   1.75452056e+02
   3.16447724e+02   5.68927548e+00   1.73234443e+02   6.04669616e+02
   7.71859695e+02   7.13339767e+01   5.18232026e+02]","[-310.05228701  174.92767877   93.62197435   36.58807091  148.93386645
  246.61023851  327.34435469  163.56840409  310.82032778  -20.85491768
  133.42595765   54.31005428  132.96332284   44.00233963  164.69910425
   80.9277191    47.64259468   44.00233963  164.69910425]","[  -9.1095195  -265.33483495   22.38770259  181.49668728 -400.99151936
 -113.30104452  425.63764589  274.62784923  151.8682447    53.05442832
  129.08298358   70.17203052  181.49668728  419.50918969   22.38770259
  -11.62998858  184.76860643  -71.78941762  425.63764589]","[ 113.51630055  233.03823531   92.94132762   31.0893939   243.21913424
   15.13446246   95.65611898   35.61795201  243.21913424   15.13446246
  149.86462385   77.40457534  113.51630055   63.08531804  128.08268905
  292.32208321   90.35099507  201.00710437  129.82134194]","[   4.76874271  543.08509493  178.48785652  236.51304095   53.93100644
  375.48408651  207.07177836   36.3372934   150.59144417  -76.08298233
  -85.38296365  417.77748511  136.84547012  207.07177836  143.23394315
  375.48408651 -130.42957362  217.6385503   234.52892963]"
"[   5.00868774   -8.45879576  242.2896673   176.13334636  176.13334636
  -32.10113757  244.95398388  145.51937318   55.97738718    5.00868774
  185.98296518  242.2896673    -8.45879576  100.74135499  122.33448003
  244.95398388  145.51937318  145.51937318  218.5636749 ]","[ 105.15901482 -197.89803047  152.42710735   26.28942504  104.79256891
   16.33567966  137.45784851  -52.96449635  203.96503248  -22.91982264
  -67.00397223  295.90478506   61.92097335  220.44233018  185.73257174
  104.79256891  295.90478506  185.73257174   26.28942504]","[ 269.47509342    6.84673885  576.36768488  482.9920828   536.84291242
  283.89838928  210.85494847  324.07800642  206.91080517  426.69516024
  269.47509342   85.55808824  500.98149875  -90.11395421  374.23675633
  673.82167641  -90.11395421  157.91163297  134.03705328]","[ 113.69987246   48.9510547   354.53533382    9.92567762  226.40774747
   20.35994286  231.46195344  169.05754893   -2.22590065  -12.92758467
  -60.0632595   230.79223333 -106.64630126  204.56056678  167.35696472
  -28.55506896  206.74543942  -36.31333236  226.40774747]","[ 108.33774645  282.44254217  168.05857631  184.72260369  261.71306579
 -387.385158    327.35857798  176.20533952  191.88989049   31.58660549
   22.70625586  258.00416184 -156.59720205  262.43447404  108.33774645
  108.33774645  282.44254217  153.02244042  191.88989049]","[ 114.31193694   72.02666029   62.07310063  117.82976602  164.7639582
  123.33316859   77.10543827  197.74911814  219.91233657  229.3531631
  164.7639582   123.33316859  229.3531631   160.8165017   -32.01646284
   71.03715386  -78.32823841  142.76565965   44.23746536]","[ 145.20564809  232.42952816  143.56968418  105.82964791  105.82964791
   24.7955311   262.71397636   92.50606216  253.09537273  487.66784558
  179.85591883  107.79357932  187.68014879   19.9425531   251.0839501
  364.90750525   63.08969022   33.41244217  253.09537273]"
"[ 117.20794249  317.7288887     5.26723857    4.63772793    5.26723857
    4.63772793  117.72161459  324.55441996  193.36865786   -5.35153339
   19.61603274 -203.60957928   24.56950845   19.61603274  117.72161459
  324.55441996   19.61603274 -203.60957928  141.63173448]","[ 149.93090653  264.90534404  194.03583692  184.27826872  153.34136636
   61.2574224   149.93090653  264.90534404  149.93090653  264.90534404
  -35.82553227   99.77034846  195.65416792  149.93090653  -72.08227407
   85.01312221  204.62680698  144.75817387   94.98657916]","[ 574.30933609  654.57857264  290.93198875  461.79620759  624.29104051
  305.85045072  115.281267   -149.96100522  500.67496287  369.27274297
  617.05980314  523.34385034  115.281267   -149.96100522  471.93432087
  451.42485553  628.09372925  448.24732688  220.54626112]","[ 344.3784192   187.76734635  220.74620901  116.9009982   245.37928843
  -15.4684417   -15.4684417   254.12821984   24.11639004   89.40957111
  121.25947623  -73.98306117  245.2904842   231.60130126  220.74620901
  112.93881118   20.88523503  228.33711784    4.28910975]","[ -12.90339166 -248.59082402    0.77972578   -5.57027304  -41.59434639
  172.47985043  -73.12592424  180.27547839  127.66134234  518.45115246
    0.77972578   -5.57027304  180.27547839  178.87757543   -5.57027304
   81.08509126  233.02723277  322.35002084    1.07952084]","[ 169.35190217  292.38393288  179.59066926  211.52084009   19.66240659
   81.6295049    76.60451324  -39.13453184   25.08785653  116.88849101
  179.59066926  211.52084009  -39.13453184  228.67448191  333.54397153
  110.70168254   70.42671851  134.03604001   31.80545149]","[ 208.36800705  141.64352421  278.69104222  -71.76683532  257.76263809
  218.1194871    -3.58724787  439.74923433   82.60238215 -239.97862863
  164.23984555  287.27325789  -43.51175561   90.07195194   55.91469461
   54.15963652  214.45848352  208.36800705  141.64352421]"
"[ -44.33972138  -49.39350305  -17.35864681  166.36756582    0.42393516
  197.50124402   -9.19784022  160.4759147   297.30429317  -44.33972138
  -81.86498778  297.30429317  -44.33972138  197.50124402   81.85592428
  197.50124402   81.85592428  -17.35864681  166.36756582]","[ 166.78055521  259.27643899  237.90504227  217.64377652  157.21496793
   45.27226502  237.90504227  217.64377652  245.12828338  195.02259934
  234.76125019  237.90504227  199.57512526   22.67399877  237.90504227
  -99.12229761    5.8703821   155.93316881  268.2679051 ]","[ 217.83874123  372.75503331  119.95812823  245.31046835  573.10246131
  354.10292415  707.43921526  232.9976132   305.08029265  641.6558662
  135.20703773  384.57486793  161.02264861  263.14219737  476.92960214
  510.20650985  -62.70836374  -62.70836374  245.86694207]","[ 294.7245564   125.24525726   35.58021441  -13.12531315  115.00042739
   26.91431302  207.53573086   44.15438047  227.67164981  134.4552076
  339.43862119  192.5759987   194.35207884  191.61060968  -13.12531315
  150.19986641  239.36337163  108.27307627  191.61060968]","[-129.52232582  103.0996306   -38.1299387   167.30304883  375.19087159
 -129.52232582   56.52788678  298.31670717  637.68188617 -295.86378216
  359.52300543  375.19087159 -129.52232582  171.1770898   256.42436429
  147.57125097   23.73973439  256.42436429  -23.13468325]","[ 127.54457607  107.71540191   50.76972804  -16.27124521  102.37796645
  237.40598899  297.97138044   49.00490982  297.97138044   49.00490982
  145.64321987  178.96344842  231.15160441  264.7928727   -16.27124521
   87.87778927   35.72320167  317.95203355  302.5670235 ]","[ 442.19390065  268.55104039  118.327274    442.19390065   79.68706603
  144.40148237  415.34919643  188.43968353  147.90382166  363.39296425
  147.90382166  363.39296425  155.57604052  252.5609046    56.6231137
   11.65875066   86.99703058  228.31364972   58.53359151]"
"[ 168.02072823   69.67498702  168.75083936  -67.58359134  188.04339869
   -3.99863086   49.17896918  148.65180765   18.85316257  168.75083936
  168.75083936  -67.58359134  188.04339869   -3.99863086  148.65180765
  289.02733951  258.19990601  168.02072823   49.17896918]","[ 319.28809522   81.22392332   81.22392332  194.19894915   97.94476173
  156.41923959  198.39441449    5.18883262   83.26072003   81.22392332
  194.19894915   15.28616878  190.80248061  319.28809522   81.22392332
  200.34824262  115.04896274  278.49684315  289.40700694]","[ 209.66246991  158.67199394  406.5184773   540.4194196   215.4637776
   50.32823491  562.18381537   13.7276282   273.92028723  118.00430677
  623.47836539  152.37967988  -70.70067293  -71.59451255  366.95301445
  731.1858196    97.23489303  158.67199394  445.82371196]","[ 443.90361569  229.5042667    37.48592512   44.51203735  196.59351947
  202.80159374  298.73085597  162.47290091  125.79450154  -10.62895805
  122.2538177   -51.86977196  240.71163978  443.90361569  229.5042667
  190.63837031  -17.4802756   -51.86977196   29.35446967]","[ 184.07312371   76.73121161   61.95861968 -115.83213024  232.43536972
  -71.0175205   122.67520384  -30.47474842   33.19718397  136.18772186
   99.57210849  -26.52374019  122.67520384  -30.47474842   77.41128963
 -180.43876759 -180.43876759  343.57291473  -30.47474842]","[-286.18489784   75.32183504 -127.97261642  198.80419622  213.96925322
   76.41554103  153.19771787  243.49555243   80.7166734    -5.28835397
  191.09165483  213.96925322  361.32554857   25.15249682  171.71693323
  221.20726571   80.7166734    -5.28835397    8.90458209]","[ 181.85002901  -61.93865811  258.32108816  436.78698178  -73.81328025
   60.46750014  157.31465423   70.68010743  281.45417682    8.59407901
  -73.81328025   60.46750014  104.90748209  417.58781973  157.31465423
  272.29527392 -116.31865526  270.64227843  321.66780948]"
"[ 178.68569943  104.16960126  104.16960126   85.52869678 -134.67860246
  -46.99619401   -4.41596398   59.70588943  171.05155943   43.32731454
   -7.69795292   -4.41596398   43.32731454  183.20137298   85.52869678
  167.09339587 -134.67860246  -46.99619401   43.32731454]","[ 192.02760623  198.46879745  281.16763581  122.86067134  -40.43809088
  102.79549066   24.48365085  281.16763581   -5.54446911  -33.31731083
   71.10360032  182.21725053  169.88032579  107.55207996   87.47051047
  173.8800521    24.48365085  281.16763581  281.16763581]","[ 607.25241316  136.35566334  117.62858529  295.72739249  146.17638699
  193.41454345  388.3493799   537.17717735  -10.68357879  501.94553691
   14.38260549  348.77709864  243.73635236  598.22302648 -191.52120921
   38.45710287  -73.76800434 -191.52120921  -10.73323211]","[ 233.03275116  122.15415346  125.94852637  159.79415803   84.96151403
  150.85000763  263.06355601   27.76596633  220.98086275  178.85244509
  100.74226313  261.49180852  321.32674188 -162.32846163  220.98086275
  178.85244509  261.49180852  124.87886806  136.4254756 ]","[ 108.26413439  199.08953131   61.43207584  159.48483837   55.28945316
  -27.7310413   -17.69651896   77.85037421  119.22434042  104.86635138
  356.93245697   55.28945316  144.02581336 -178.59699806  108.26413439
  199.08953131  266.00995323  108.26413439  199.08953131]","[  87.8147543    28.27526569   74.20531481  248.16037879   10.8308684
   46.74922042   62.06240258  198.65757744  123.83837767  -26.7764862
  119.77698762  -25.98601882   97.81450839  284.34489963   74.20531481
  108.72233119   48.91730399   56.34081292   62.06240258]","[ 252.99873086   16.12047839  311.49715794   20.80742136  -83.28614413
  292.65967692  -83.28614413  292.65967692  348.12576764  189.14631472
  236.79248419  332.15072416  -90.13281314  236.79248419  106.6631395
  116.93865657  172.42196059  241.69051966  341.11797345]"
"[  64.27243762   26.68543807  247.98000015  -33.2341758    15.3376159
  -21.94456762  -33.2341758   247.98000015   79.98217887  107.96360771
  -96.74851271    7.95611361   64.27243762   48.81837266    7.95611361
  107.96360771  -96.74851271  -21.94456762  -33.2341758 ]","[ 312.07878933  210.66681321  312.07878933  210.66681321   51.77447342
  220.08642365  200.60980398  272.57876936  245.51025319  244.62958709
  210.66681321  -29.25145503  191.71306681 -199.92481833   43.52211181
  320.14047721  312.07878933  254.58873238]","[ 144.65802723  463.0274471   588.42440978  690.70441514  448.8334891
  261.89942556  336.92142414  355.57605338  606.42569588  319.07413527
  412.15749535  203.94776146  603.65295689  560.5923951   570.81230442
  -84.05308287  606.42569588  318.63424637  434.98750013]","[ 181.05794289  372.58861194  376.36086978  152.97844194  239.33287855
  156.91346115  -64.30284711  308.10318191  239.33287855  156.91346115
   59.93170642  -13.44365142   92.32595497  -68.00790838   64.1671834
  262.75926229  124.98753334  330.77908997  262.75926229]","[  1.06952185e+02   1.65608148e+01   6.35797743e+01  -1.71429695e+02
  -5.02670545e+02   1.88388826e+02  -7.46248449e+01   1.88388826e+02
  -7.46248449e+01  -1.71429695e+02  -2.60199902e-01   2.09420175e+01
   3.42885568e+02  -2.65870315e+02   2.41589219e+02   1.07360384e+02
   1.92024333e+02   1.88388826e+02  -7.46248449e+01]","[  75.28595563   61.31843705   52.01150364  258.85203038   61.31843705
  165.29888953  234.31145748  231.65549832   53.88214161   88.43448221
   89.53677176  192.06166275  118.77978503   30.61561722   54.48239859
  153.07227104  207.55187902  168.89554106   52.01150364]","[ 306.45585202  328.04440133    4.96032168  -33.52257529  331.21015855
  234.55392329 -259.13805633   34.32173242  224.7101919   103.89118038
   71.19334123  236.82438732  286.24332083  523.97211501   55.43861734
  -28.65309002 -259.13805633  127.76899155   55.43861734]"
"[ 137.630461    112.46345346  137.630461    112.46345346  -27.6831347
 -123.34112974  -27.6831347  -123.34112974  -43.28114121  135.58748361
  135.58748361  178.34397477  127.89097214  179.17121809 -123.34112974
    1.92431325  137.630461    127.89097214  179.17121809]","[ 240.47706628   10.10997375  -56.40660034  129.92647709  129.92647709
   54.2054685    54.2054685   240.47706628  223.62571568 -126.3625973
   38.38723318  136.98245192   -3.6337978   258.14298558  282.60166138
  129.92647709   54.2054685   231.14539171  -95.87021061]","[ 189.05895996 -149.07199952 -228.97305219 -151.43111931  460.86547933
  352.12967801  128.58241181  499.25573674  128.38585393  403.55985124
   54.86652189  493.17021492  539.20188736  289.23584977  616.81324528
  467.10892173  301.72748509  193.69187538  289.23584977]","[ 221.93616354  159.96553929   77.08397851  172.11830353   55.80149772
   83.68622477  -41.97258218   20.10330438  221.93616354  159.96553929
  -41.97258218   20.10330438  327.17025909  132.2877155    99.21310353
   64.18297919   99.81213317  109.87652851   84.1312446 ]","[ -58.23422477  256.59092326  134.47070357  312.24580202  -13.13386851
  -22.30595219   32.56741165  250.65386788   22.54879694  -58.23422477
  384.96461333  443.64871798  -13.13386851  -22.30595219   61.68416011
  127.26623187  -13.13386851  -22.30595219  255.29676001]","[  27.16425094  305.22578077  276.26720005   97.00494909  146.0942033
    6.35041949   97.00494909    3.97311497   66.63620421   50.97787523
  282.09556898  129.83905596  138.00183186  124.45375677  239.97528591
  245.07098879  177.06894108  149.95650263  124.45375677]","[  90.53099302   -6.08975336   -6.08975336  154.40038939   48.73975443
  238.4922417    15.4635672   426.28397348   44.67238582  237.88567701
  255.31734655   78.3720879   237.88567701  349.00327406  225.14527855
   82.49705295 -197.01844715  -69.96830688   73.65793597]"
"[  47.39429788    3.59945726   26.7709463    56.57042854   56.57042854
  -16.45924264  378.5695779   207.53973543  378.5695779   207.53973543
   56.57042854  -16.45924264  108.78371747  235.01618275   47.39429788
  235.01618275  -11.44370379   47.39429788    3.59945726]","[  95.69234111  136.40891389  279.33271589   58.3298177   181.18070632
    2.76725692  181.18070632  278.08426359  245.94975323    2.76725692
  292.5130413   292.5130413   266.77445988  -73.15784164  181.18070632
  473.40588165  132.65388317  349.38458362   -4.85399424]","[  47.23330933  528.65607083  144.75613626  465.2421589   -13.24877072
  279.69527167  753.15549762  495.41551143  -39.05900706  196.33742692
  753.15549762  495.41551143  498.06778696  391.29857087  487.10632531
  141.37169671  311.04682719  657.05345571  382.74004649]","[ 291.31144599   49.51188409   65.99321988  118.35211225  203.83202494
   21.28789511  -65.6615974  -275.33262585  301.36850634   58.99472027
  269.63684537  279.04554034  301.36850634   58.99472027  208.32467614
  208.32467614   99.18793795  108.87695657  167.04049641]","[ 119.7061912   122.67493372   39.58708985 -114.17545652  198.446584
  391.42866192  178.42023937  -78.78535759  -78.78535759   39.58708985
 -114.17545652  136.3671915    13.85150008  156.36188928   27.95076696
   39.58708985 -114.17545652  160.807664    205.82110562]","[ -72.74824134   41.88214881  269.13370752  237.25212313   40.16255011
  228.0901634   113.35949404  266.57384501  257.84353364  138.17851238
  -74.31751349  128.79276821  105.19132508  216.94911124  237.25212313
  218.97669055  228.0901634   276.65993404  111.15565588]","[ 226.82912964  520.1343272   198.18163414  186.03876274  361.19052674
  358.93039684  520.1343272   111.18633644 -194.1220789   358.93039684
 -196.5333022    74.22950209  276.22464613  242.45418122  -36.33631846
   92.34921072   47.7826284  -106.27506419  161.37610709]"
"[  81.44496829   17.94210322   62.04588428   32.74274447    4.32318381
  154.29970619   17.94210322  128.43076811 -112.61961037   95.36811657
   62.04588428   32.74274447  154.29970619  152.97657825  154.29970619
   95.36811657 -140.53765044   17.94210322  128.43076811]","[ 122.26476441  386.4985206    31.17832368  303.6870977   155.89589559
   30.83992177   30.83992177   31.17832368   45.2915658   155.89589559
    1.22935796  263.55980923  422.75696098  171.13825881  252.14821187
   64.74704839  165.75021046   45.2915658   155.89589559]","[ 536.78816064  419.96718187 -164.87034164  176.2616017    70.13739978
  295.96823434  114.10725399  301.08574997   70.13739978  295.96823434
  409.49435226   77.64752341  657.90029322  422.69239058  332.34656109
  142.53163616  723.36200032  595.0728373   536.78816064]","[ 184.17960394  417.70050722  283.58304652  223.89303223   34.57106271
  198.04806305    3.94144111  128.58464006   98.45367554   92.77064397
    1.88403249   55.52076846  129.4934629   260.22294989  417.70050722
  290.2432818     1.88403249   55.52076846  175.37169648]","[ 335.58913146  447.34906497  335.73405712  547.57586958  335.58913146
  447.34906497 -337.29870713  122.95493006  210.79566771 -119.91697847
  335.73405712  547.57586958  428.34327034 -118.54426134  335.30438983
  335.73405712  547.57586958   53.79763572   20.94590787]","[ 210.53428864  133.37867112  247.91742238  105.74022387   -4.87803162
  141.75396929   30.11017977  152.0225095   150.35158513  186.94627029
  207.13337206   12.83418702  105.74022387   39.92776977   23.65022723
  192.43448496  317.13787306  206.80110569   62.6715247 ]","[ 142.86809305  234.54847036  135.5203372   -19.80552133  308.23378533
   55.29895914  329.70536681  -12.30848477  695.47028176  358.42819759
 -120.52099609  -19.80552133  279.60313331   62.44399968  148.20704139
  179.61802896  292.28990451  -12.30848477  234.59424385]"
"[  69.22258816  189.24115136   69.22258816  189.24115136   89.58518237
  424.56181493  418.67260999   75.45527236  -22.33389612   89.58518237
  110.93045085   55.91697978   55.91697978  218.48763002   55.91697978
  218.48763002  418.67260999   75.45527236  189.24115136]","[  20.18174665  -36.99563475  211.53819505   90.03812125   90.03812125
   65.01698924   57.66744165  180.2293057   286.93710125   51.04082162
  292.69371373  211.53819505  146.2918785   233.05059307   84.06689379
 -225.97281292  292.69371373 -225.97281292  292.69371373]","[  42.1255722   266.35995953   71.26515521  404.77361548  177.23965361
  329.655775    113.23080005   71.26515521  404.77361548  585.91910783
  459.04266094  452.21163814  223.25185726  255.1452489   353.96821176
  492.19950088  585.91910783  543.00404043  577.21073711]","[ 137.08354341  -41.71310592  141.23308461  224.24493175   -9.04561907
  213.31733557   33.83756552   72.81273828  416.01724833   -9.04561907
   33.83756552   72.81273828  300.97029301  134.61509124 -159.06570987
  129.96617285  192.12081575  235.70972604  165.70026346]","[ 333.77397495  105.88782009  -18.3451854    16.8177181   325.47454645
  360.12796729  260.08915956   81.91676765  122.65738196  221.93590666
   -0.59047885   14.33998032  -18.3451854    16.8177181   224.11131813
  105.74101882  -18.3451854    16.8177181   224.11131813]","[ 166.24006655   98.12528652  143.72907047  180.60190622  233.73216564
   82.01040575  273.70961159  211.75550678   -7.43653309  -96.93183319
  173.06601025  229.83425853  229.83425853  317.97906355   22.42752906
  263.09677944  278.36510216   37.84143531  121.18994777]","[ 447.06357328   38.93805917  193.07774309  -19.09924105  -28.67770759
  431.75151098 -202.63397708  204.40406107   43.11537697  189.93794475
  165.23407806   33.87305532  290.36408829   92.59911313  -64.48689118
  418.20296907  261.33705015  158.25916741  418.20296907]"
"[ -11.23706053  255.9784987    80.51377031  -31.69717566   65.09051329
    4.09717038   65.09051329    4.09717038   41.23238049   41.23238049
  124.16775756   41.23238049  124.16775756  -31.69717566  232.29903161
  320.32052874   65.09051329  -11.23706053  255.9784987 ]","[ 187.12655421  234.82516678   72.10437494   27.86561266  192.04934739
   61.17101602    7.47944685  -30.83656723 -106.67557505   57.88053592
  202.73569507   24.03820523  161.12378421   90.05855143 -106.67557505
   27.86561266  -59.51137939   90.05855143 -106.67557505]","[ 465.24618654  138.31179167  403.06420596  337.65938509  167.21175091
  447.08391778   98.95858125  688.53622807  286.54463598  390.60000919
  132.92155725  539.62759636  143.32587869  256.89654419  390.60000919
  382.16080102  395.53190251  465.24618654  138.31179167]","[  57.62886659  145.39245102  132.81249965   67.49360436  272.44668437
  156.2046023    60.92101185 -105.47609039  -26.10226605  314.25837283
  -86.62984575  143.27164519  156.2046023    94.58603629  149.46033485
  195.9154807   -71.44683792   57.31461826  149.46033485]","[  54.10470035  213.25947975  195.72789182  128.11105747  469.93590999
   64.83642028  469.93590999   64.83642028 -138.73902535  132.06005943
 -379.44351663  470.24914775  469.93590999   64.83642028  200.2581859
  202.02318681  213.25947975    7.87642718   63.4332272 ]","[   1.56377126  242.34712479  158.56476724   30.79778542   25.62813928
  214.77046904  127.63928243   83.30522818  126.54471708  305.29232007
   91.37524137   56.5300453   143.50054757  320.40659161  -86.38926798
  209.79254367  332.6506628   158.56476724  280.2404095 ]","[  51.41656075    9.06383736  294.96953999   99.74071347  231.6954596
  158.15697552   53.2622632   174.96449664  202.38832521  173.77050595
  289.57737224   35.43806514  370.67578667  177.56533563  -30.07864815
   55.64123014   23.63159528  321.1803127    69.80341802]"
