varianceSvrg3,varianceSvrg4,varianceSvrg5,varianceSvrg6,varianceSvrg7,varianceSvrg8,varianceSvrg9
750567.1034316814,2176496.261314261,3526298.9314135187,1945718.6051240037,1381913.0219359077,947993.9469479402,1761511.681834581
515207.9326729459,1304288.2355136347,3362483.5760502513,1350737.2218145363,3100571.1140336236,712023.3352361426,1457241.0848618448
742615.8462780777,1357435.5848512861,3395403.2294520866,1199746.332068848,1400763.7892222828,601970.4819122925,1635676.8028966067
714323.0307140315,898367.7250346811,3347156.937007186,971588.4242163913,1941106.3895449128,1042015.5359934526,1344583.2572260522
417937.1754328359,1192124.8698599366,3037620.452606951,916586.0224029843,1165418.632056769,784574.9043375072,1697560.5908881454
1212247.77166719,1486966.031839458,4563165.430399701,540246.9967635307,1776627.5059850202,875457.2637169079,1440509.762831851
600110.5416156653,1300779.3872464686,1957949.245065447,1376672.6246501256,1716062.1675361884,871356.5945442629,1349566.473060818
582126.4730488841,1559424.8752983338,4398763.45555919,955525.3279372357,1098706.3401407213,928191.770940708,1923155.4456072366
873561.5746577595,1675129.9306333927,2752718.3845159253,1236866.3224308568,2742316.143174642,1036182.9192358378,1457741.5172800797
781595.7963593053,1302921.5090300108,3668446.3087237473,521436.7150134077,1563623.0473898351,683531.0453595666,1381665.4460649416
593079.4818437614,1448953.857155596,3238988.394888544,1030474.1431988532,1932967.016097664,1117030.1797843315,1289017.342243473
554497.8326278725,2278538.751396938,3010271.1183859752,832577.3294260402,2193902.550354263,1053578.693688013,1291621.9589883755
459179.7047273353,1337541.888271377,3795835.7807725635,1419637.6766309657,1303140.7406978183,709682.6310509448,1277314.6025738185
547289.1654734351,1151172.5637434893,2196363.075411034,945018.5442419299,1139302.167575302,817206.9525733027,2110589.51537739
453467.547895675,679589.9268381046,2913379.598185336,824210.0037728858,1447301.3804120542,1332677.05805105,1433773.4994600017
703865.8258766223,1540801.474247966,3678473.4076588843,761394.4581505426,1693070.6454128744,691752.6114966081,902095.2596086136
-144121.52117636282,638819.9002906734,2930416.255173713,1403977.154995193,1677284.8751185434,963418.4041296793,1025120.6871562462
679572.4218064214,1472220.5378287993,3182395.27481959,687551.2499539624,1163762.7461644143,595388.8762151179,1556996.3631568798
559564.1278985678,1635104.6727281436,3600588.5388333984,929284.0468999536,2011230.151819805,836500.4529537593,1515195.696897667
695486.8136079711,1162834.229433892,3676866.619835511,834097.029011897,1315149.7072323584,590901.0008370681,1224298.1741302288
685081.5241518063,1790511.1762939508,3356519.7906829347,1068101.1986548451,1675713.7524940297,769830.8197978502,1045791.5379803483
542004.6834018008,1432229.3198226667,4700013.448147927,886480.4750757013,2579952.224285419,774694.5509693596,1806203.0234792589
613783.470609823,1679546.1641173402,4030261.252051174,1051598.5484115272,1522235.7066437386,746051.7813804045,1263476.70071543
557392.9836735368,1787297.5832514404,3567168.148694281,1355631.618112532,2178639.721947804,660760.8917840673,1430629.0756168212
366844.57054145285,1075680.9703108657,3008920.6113053747,1193499.617628907,1630492.4230001192,791872.850107545,1578600.6345234117
215356.77792822436,1717891.7241841834,3551470.7463536896,1361839.8697862055,2819008.5641823383,386503.5316557464,1535956.112242247
800146.5666695078,1492062.500656399,4212353.568347342,983930.8253342216,2068899.5989360318,844234.9651076766,1568597.577578391
464429.79480748146,1553852.5535343508,4771720.543001729,860998.3794987698,2130958.2717731,552221.7301514118,1335329.0871681473
477439.63697459915,1229912.30807446,2891734.9429873535,1358173.3183920002,1538983.7859224752,910249.4119404948,1835801.4273626045
1094522.828247342,1619006.7506075916,3348524.45756351,1177785.28988943,2321927.964854369,1179684.2177452645,1897593.4284831043
