rewardsSnapshot3,rewardsSnapshot4,rewardsSnapshot5,rewardsSnapshot6,rewardsSnapshot7,rewardsSnapshot8,rewardsSnapshot9
"[  62.66555746  152.58400499  322.40449806  240.32474269  451.08169543
  408.95801534   42.70472715  408.95801534   42.70472715  258.84749822
  251.90086353  601.81957029   62.66555746   62.66555746  152.58400499
 -148.47988678  601.81957029  274.73905751  296.97819056]","[ 166.91558857    8.08627279  354.94803236  193.82293423  113.54441141
  -10.39937852  385.56219659    1.2754999  -159.46546457   -3.18569993
   18.62921559  -12.57929783  111.22471669  105.59922621   28.93890785
   31.56223525  163.77084722   25.48047746  158.82066004]","[ -95.91195642  222.95425546   69.06195291   89.07201029  166.86184832
  113.86874615  120.04386495  117.89496209   71.74288025   61.54952362
  172.42371889  109.55886513  151.94215886  319.95262535   27.16032044
  153.06811026  109.55886513  124.63197967  286.53048745]","[ 171.71003739 -123.54327819  352.85096316  655.3441885   409.33541491
 -132.34560342  119.99001433  488.66157241   32.53331764  197.24034198
   66.47980185  339.46727006  326.36372264  245.83021339  646.30505689
  -26.25978628  258.59557163   86.8779758    50.55121204]","[ 135.28920157  244.2773511   302.39040971  204.88559004    2.35111683
  462.36380977  248.70975362  251.04108039  319.11680219  252.07186574
  276.65927838  135.28920157  271.12782784  153.61428268  181.66171847
  346.57800046  -10.29103945  228.00393446  152.99078498]","[ 279.73919904    5.87368325  305.89197599   69.76316607 -108.38085007
  243.14177297   47.15868014   34.29330799   94.78188931  131.21195177
  120.25112202  204.28751272  182.84049899  253.97446977  332.60767746
  127.93428478  148.50461824  278.36784712  175.94148627]","[ 308.87341683  231.97063205  300.98089218   30.66436845  118.5712322
  372.22097545  -14.89623645  421.6959496   317.00580288  274.75597444
  286.31450745   30.66436845  118.5712322    72.60203377   11.43526348
  282.6051771   105.4143156   174.15785302 -130.77828378]"
"[ 411.57485614  -11.43609358  472.51443577  -95.61359257  280.71783757
  301.66360509  277.94880381  472.51443577   15.11648746  411.57485614
  651.05141014  397.33767975  -95.61359257  162.08794837  -95.61359257
  162.08794837  459.64627944   15.11648746  411.57485614]","[ 108.34016136  311.40392254  211.52799431  244.3807421   103.88585457
  147.30733722   99.29805604   98.75220926   72.39544503  -27.02429347
 -142.54594622  117.69242087  371.97500046   20.02075066  207.84160087
  183.25413593  167.8891758   157.55348647  280.23673028]","[ 268.17771702  267.56868533  268.17771702  267.56868533  293.02636894
  157.80339478  201.39987009  186.84141658   -2.71864365  -71.90122035
   64.09988058  104.53327416   53.82244268   80.05909194  342.69625029
  282.97807072   77.34410217  133.29350451   98.84457948]","[-177.22320652  230.71055731  229.49140779   40.61242975  231.10420959
   52.75945438  127.2619835   -65.07593336  211.72692321  450.49666385
  186.30313915  213.95130593  198.73079553  230.66824466  114.51182912
   24.97080356  589.12300769   38.65208208  -84.44576564]","[ 140.55911644  424.87723696  352.90366105  -16.58081985  365.05919457
  423.97453158  187.73961768   97.44328529  -12.35081157  147.18131608
   95.76824716  193.93778886  379.57557864  275.25411443  125.38890973
  145.85076138  226.89577884  125.38890973  241.28618881]","[ 166.0148347   368.09048802 -129.83954527   17.32779573  164.75531041
  200.86628372  357.18083379  -33.63060839  286.06338965  230.94323298
  253.50645806  179.83983027  249.19176432   21.8513324   -76.29159288
   58.33154697  432.1470774   132.14243687  -31.30436505]","[ 235.11378159  377.02550326  116.11298946  104.73244012   82.56709699
  397.45316394  163.50354787    3.25180184  317.60356629   94.7151028
  257.25220589   95.18508857   53.35126408  118.26895092  341.15877947
  134.14797797  365.92897932  163.50354787    3.25180184]"
"[  -0.68034335  142.9627978   369.10552737   27.03515904  456.30274867
  281.40191306  281.40191306  147.95941559  456.30274867  281.40191306
  527.43593911  496.80226008  369.10552737   27.03515904  -24.76792775
  369.10552737  140.63978065   64.5308861   208.36530577]","[ 242.63795922  124.04221949   59.20097299   68.11619928  282.17461017
  187.25774874   86.25067457  244.04798154   64.27818484   31.30241098
  243.40376312  220.55258735  166.8443191   353.36184609   18.85588326
  -31.41613827  173.87265868   97.37925022  394.52131567]","[  85.89150389  278.50045768  201.9366558    60.18332248  106.33820259
   39.28508474  229.03847437  163.8161797   165.18408028  157.34687877
  106.33820259   39.28508474   21.67493441  -21.41396585  135.66059087
  -36.25017542  115.85808939  -24.24161286  200.31237298]","[ 166.55580467  367.10436378   27.43093058  200.63690512   58.33937654
  177.27441363   21.15083617  519.38144046  531.26372739  157.49704415
  353.17513115   83.26112122  349.3358425    80.84207842  387.09280182
  322.80884956  -66.16672487  254.90328149  414.07604078]","[ 293.70674262  392.28565114  194.74877651  141.5417938   640.55585343
  123.63207616  340.26173883  640.55585343  198.27903986  -20.20855223
  228.38918677   81.39195763  412.96129349  188.74251939  323.36156737
  398.174791    333.69005759  239.81928016    7.16122944]","[ 180.77480201  108.97736279  224.46620228  238.01149643  371.34719157
   85.37776065 -136.8097263   108.57408378   83.92013353   57.31055638
  291.42717895   87.87960937  237.36212772   79.03815784  363.22314041
  191.01985879  114.33089481  249.39213034   16.06791304]","[ 284.17897167  224.63430419  180.27988065  301.82117907  195.16586306
  328.30206252  188.48061065  244.33340688  305.36326513  248.85568099
   -5.51998742  131.47439297  148.12003276  314.30701113  300.42042025
  242.22932586  234.25217295  158.04683797   -5.51998742]"
"[-240.25833022   85.65108289  482.02238213  428.65940185   24.88536582
   85.47581797  603.94543112  380.16958068  343.33592112  482.02238213
  365.67937544  365.67937544   58.58157873  482.02238213  428.65940185
   58.58157873 -240.25833022 -204.5317421    52.80134151]","[ 163.56037965  185.39820296  350.7551728   220.36118884   26.34746635
  255.03933212   83.99330072   58.48847059  148.44122749   -2.17932805
   69.76386187  169.20690947 -102.66826067  148.06077751   70.36861739
  262.73093608  355.22155424  -32.45178018  227.5503254 ]","[  25.75838456  149.46533174   90.54725331   54.81494447  218.9826804
   53.62673167   70.32363062   -6.71847797  181.72763506   91.24198743
  285.07044809   68.14745247  -86.85974583   90.54725331   54.81494447
  -33.21943899  156.68926483  188.83141982   50.66480323]","[-150.76261973  461.89539212  -74.06848792  359.07295485   82.1252077
  619.03698309   -5.66772686  233.18639006  498.72708671  218.76347565
  313.69006485  434.31276704  209.34829076  154.70121118  569.55713504
  264.03467897  107.46636142  156.82031478]","[  -5.41153297   65.06871985  306.5186203   -31.03554917  421.38623143
  380.58276466  164.36585894  227.89729951  318.94002571   87.50203684
  193.67035852  291.66140911  104.46174816  505.32689567  124.93102006
   63.32570528  340.47495881   46.55484865  347.14690296]","[  54.47100855   40.70540796   84.00456573  142.25802469  230.77174456
  107.25070359  213.09826497  413.49775898  201.56191567   50.4529242
   94.65068363  -57.84227745  156.06229051  192.43382678  328.59710016
  115.25306937   50.05348271  272.38736709  204.51260393]","[ -10.26192275  123.4902005    78.75734038  131.39397868  270.0986959
  104.73424738   91.06752119  137.14887352  253.64768816   89.25463169
  209.26676131  258.57197083  254.10953786  350.46742946   53.26689362
   73.98803917  157.88954626  131.28735442  315.95791197]"
"[ 131.19570163  324.1159945   212.12099817  269.36247954  -73.62277728
  122.81011259   84.20624939  500.84970644  350.75990482  373.07871236
  131.19570163  331.35512071   94.32260906  131.19570163  324.1159945
  350.75990482  212.12099817  269.36247954  -73.62277728]","[ 295.29640999  165.6074201   163.44773906  183.88386686  106.88321203
  182.87003409   79.16389674  101.79438122  175.60107263  406.54503848
  375.12613355   39.06840316  -19.76022599   60.97372569  -25.70062486
  172.65796183   32.05091297  -20.0959587   132.23958838]","[ 244.3139374     1.38999709  -61.57457388   -1.14020535  134.69538034
  256.57270138  298.94135363    8.60839305  -70.717854    164.39293606
  271.45175448  119.5447815   298.94135363    8.60839305  298.06680692
   46.76410706  -41.9543441   306.33483468  259.41621029]","[  43.27053006  235.9458061   217.89210704   66.93040227  379.56474881
  346.47971638  197.56220305  211.5371673    83.00178554  279.97990538
  503.0760304   -93.68739934  -42.60828555  157.18353195   -9.0726882
  369.52172918  438.8596786   -15.12284169  238.52006641]","[  82.7681105   328.778282     39.18609099  235.85298781  297.82281729
  138.24296166  120.18729592  249.70192659    9.39793916  164.88902251
   60.82666505  557.34688862  488.30445861  188.93402516  127.34596118
  353.62771126  167.53201117    9.15295602  240.62486924]","[  77.55749586  183.83614314  235.91804759   14.62240634  169.26196142
  240.46817184   49.57449355  349.23095746  213.62040655  204.80125358
  440.70471684 -110.54048538  -75.77452934  169.12583758  179.20187337
  149.79968291  376.98333885  133.4859303   199.60704995]","[  50.90287199  339.49250574   89.38980764  164.12506589  244.73405516
  142.53438214  291.48350201  385.30330941  283.28073251  183.68085262
  203.86581914  159.34466209  172.9388139    57.85093063   74.11339497
  337.72875547  -31.59579966    8.61185626  364.46373324]"
"[  73.95183729   85.13236149  643.94914818  510.80787027  171.48798211
  135.47131755  135.47131755 -124.8400641   333.28885788   19.0510046
  210.12649451  333.28885788   19.0510046   210.12649451  643.94914818
  431.98623756  176.45428938  135.47131755  378.92960374]","[  95.11460816   18.53792501   12.7349564    11.76881244  136.19032158
  152.89184096  -12.98598431  202.19017844   90.53319956   52.47123643
  191.07801387   80.56999993  165.87003276  232.6929741     6.76452736
  122.14784327    6.1231343   289.87974743 -143.65128232]","[  27.28837718  173.02600982  163.36886037 -107.32507052   42.95679989
   66.12323888  -82.76799619  294.53459756  103.40930633   -3.94446498
  217.12133251   -6.17716891  -35.56700375 -110.54082712   42.95679989
   66.12323888  -85.73517457  211.51934447  146.91803278]","[ 591.29127931  227.08215891  556.03503914  482.45236672   44.69773311
 -148.60135193  262.54442249  -91.88574878  -96.25326159 -102.31013001
  493.97962233 -160.9838029   100.72192244  186.46648403  503.87200053
 -156.13690341  763.09436097 -223.71717832   32.6951745 ]","[ 250.65009653   80.66589653  221.93726052  467.32865152   91.51890331
  275.40571645  410.78299932  489.00785938  370.46398351   40.85630822
  -39.76539975  349.97425686  309.03852728  174.26819495  103.47775502
  347.40378125  444.7835592   163.02119915   75.56501414]","[  89.54759462  122.71122338  110.98486843  228.81676255  218.9833434
  212.20618101  -44.21250675  141.08840102   48.43677909   66.55025288
  434.28818395  310.80520566   66.37402181  141.57962706  197.81742822
   -8.60377341  -42.6298694   136.44838072  262.31394003]","[  -5.98039361  -92.04146209   -5.66493878   74.37547398  174.96556062
   90.19588502  224.05164192   26.13893859 -288.29179758  -27.67029326
  135.61093019  105.34821058  329.66644723  132.72688531  140.12448986
  109.62271516  278.47199202  -12.27090347  542.53469817]"
"[ 318.67529355 -168.82330487  115.81920283  668.39522087   13.3693954
  109.7577152   668.39522087  236.29780462  109.7577152   115.81920283
  271.2806257   242.52525745 -168.82330487  267.70340874  318.67529355
 -168.82330487  436.45876078  504.35627152  236.29780462]","[ 319.43810977  178.92314299  325.41347246  139.44431733  147.89509121
  136.5745812  -137.73589299  291.89347463  132.59761767   28.21245879
  262.80976345  186.5281497   312.59717507  239.95298741  169.05655902
   91.58972871   -8.13429162  114.88238792 -242.9658098 ]","[  2.59041799e+02   2.42978800e+02   1.83032947e+02   4.54598455e+01
  -6.03400621e+00   3.26451460e-01   2.10334225e+01   2.94616904e+02
   2.86220544e+02   2.59041799e+02  -6.92481203e+01   2.40859301e+02
   1.92640953e+01   3.35128900e+02   1.81859617e+02   5.32385991e-01
   2.10334225e+01   2.94616904e+02   2.72195862e+02]","[ 244.46043089  -64.00992667  153.18294874  204.93782203   85.54947899
   76.36162135  145.28766401  308.59217472  200.88524129  334.6255776
   58.71335205   81.72761139   25.04415525 -180.33310511  383.01589534
  139.94779905  187.36073314  -21.71376386  773.54891054]","[ 199.13326026  263.76063873  223.02169043  332.3178655   151.5996897
   13.97627428  462.47846288  328.25906641  247.57857674    9.51583035
   10.08235442  236.17996695  380.70566035  150.449678    452.13590308
  150.46758632  330.01961166  251.26879402  385.49204793]","[ -31.17110905   95.03074787  274.10444399  103.87343548   67.93382577
   49.30336329  154.26340204  193.2708935   -25.06441196  161.31304596
  344.48247807  144.7339035   149.23894918  356.75324078  101.41274371
  161.80069437  266.31648655  246.42905327  259.50172932]","[ 132.48161917   36.88679441  110.0944344   486.07145074  416.62466972
  -48.80881732  175.05743208  243.24865782 -152.60628356  189.31957505
  270.52305782   55.67130485   25.55297822  159.25639568  -68.94085473
  235.18575199  325.5999309   106.2402414   244.56975773]"
"[ 269.85155672  213.53281994  237.18667539  275.51916787  351.86137786
  149.94018259  269.85155672  213.53281994  149.94018259  240.29614154
   21.82148382  334.84928989 -169.73152987  159.64265596  554.85126524
 -169.73152987   21.82148382  240.29614154  269.85155672]","[ 127.61421929  354.96088319  236.1949196   242.18849296   69.92228888
  248.88503707  188.50777721   20.2155605   171.25530034  266.26411941
  151.41637953  109.37697572  172.12599704  192.22949209   87.85313354
   84.23167481  307.98892159  129.53747317  353.1853299 ]","[ 119.76085976   17.97458993  132.31160889  -74.79624661  323.84109029
  192.61403885   12.51626711  182.78894898   79.43178038   73.39026092
  -55.15418847  126.85636677  171.02929693   52.65885151   37.44953969
  138.59895822  132.31160889  -19.63866844  323.84109029]","[ 292.72952965   68.40124771  600.78554908  151.50531373  369.85214984
  199.695202    598.67225379  535.90371829  384.52556209  -21.35560529
  397.0988169   399.49543509  109.90523335  479.44547586   25.24095165
  174.58135287 -100.74687325  -48.36687232  -18.24912498]","[ 236.12459356  351.4249979   294.75500328  425.92052417  207.06106834
  308.08923994  293.64199518  471.77980002  138.35252839  279.69550926
  374.82108745  285.19160044 -120.93368095  220.09961738  214.91518011
  310.99361381  -44.43992257  136.65876131   92.11780755]","[ 404.91910911  311.66119243  377.79337091  102.80829483   41.5869778
  323.35314874  -91.45996229  199.70637092 -162.45533799   73.38618159
  125.13531286  292.01789128  397.84351193   47.15881758  205.09305898
  396.58062952   -0.65144661  290.1730736    92.60502654]","[ 108.47771127  -49.83898515  111.54611515  305.79105849  319.60626882
  276.86454195  -28.48533026  321.16885366  275.72645261  127.05963975
  171.27133824  104.39476511  111.37933989  111.50005609  107.05399864
  373.435097    147.00824957  222.1837554   146.34956933]"
"[ 388.94091294  140.20230519   63.73779719  453.54987447  438.05446539
  140.20230519  514.61294239  315.17733615   63.73779719  265.5423971
  475.66624046   63.73779719  453.54987447  407.41738222  438.05446539
  -92.18871303  116.10241395  514.61294239  189.83056784]","[  32.6287584   161.05891905  -23.4590159    58.8568575   324.7147708
  219.37402488  103.49786388   36.15836312  445.69762871  264.43028513
  270.38806336   86.78442734   41.83670063  180.3734095   -86.57114725
   36.65001621   78.79131011  175.51454416   92.91235049]","[  1.91482947e+02  -1.59670551e+01   4.52201703e+01  -3.29038954e-01
  -1.59670551e+01   1.29561949e+02   3.96446271e+02   2.24231458e+02
   9.74982969e+01   2.99733648e+02   3.52014720e+02   1.71844618e+02
  -7.18149387e+01  -7.49841232e+00   3.11184332e+02  -1.69090264e+01
   2.18724181e+02  -5.85143508e+01   2.96934004e+02]","[  18.5873778   540.70981757  446.31147545  111.31805403  454.7877907
  221.16581887  319.86616777  483.61959525   94.88733143   61.54539227
   73.10650261    0.67247512  643.40799486  -89.92792339  369.63788015
   83.97435157  129.85264073  601.88356494  527.52171993]","[ 440.68001101  269.19201336  507.31520779  410.06310625   94.77820565
  399.49529138   18.52773124  210.80426339  310.7227164   479.42366408
  284.48598875  347.35026184  481.74902299  210.99341117  266.65981818
  116.79505799  318.17081975  193.70384638   89.71223959]","[ 222.71547889  261.56053734   83.18687473  -14.22545278  286.95967108
  158.39175478  239.63323596  311.5071878   227.38700518  388.65197761
  403.17278965  260.63483206  488.46533007  301.64263837    0.64685314
  212.77189115   92.7519427    95.66038216  277.65876732]","[ 288.57923456  566.72222335 -160.03719413  234.75619079  326.97986208
   82.8298316   268.30626773  162.18195898  -21.92319637   50.6286764
  263.91669169  362.17749127  390.24376919  -27.3568065   411.6815197
    3.82764574  331.804582    166.91697479  348.5308929 ]"
"[ 156.84782373   37.20973421  177.38446459  -27.02038967  406.40917275
  -51.56915178  -51.56915178  156.84782373   37.20973421  498.74874849
   36.26290659  -27.02038967  257.2385621   491.2153514   188.98394234
  -27.02038967  257.2385621   111.01931134  218.21626441]","[ 186.67147409  188.28708255  209.29504638   55.93234097  139.72537354
  209.29517831  -34.78043342  125.93900344   67.47603476  130.43613006
   63.72904692 -108.71611735  166.16512924  168.00933622  -80.14008692
  491.13286648   -5.00744149  -35.95175635   24.20861898]","[ 269.69242837   -4.73614619   95.14845747  -40.82277379  145.6773448
  381.26998202  132.77975067   95.04694578  381.26998202  361.14921922
  -62.06821774  -20.03576422   58.08464859  132.1079218   219.10807544
   92.77364402  343.94737994  288.66754696  133.78612861]","[-136.32549029  437.81725997  -60.28750072  338.50098869  320.87806591
  416.35755847  201.49847679  623.19433873  361.55144376   27.5078682
  382.39757378   25.33524081  407.46601593  258.01989399   90.25691047
 -189.56024068  578.99954533  654.65302664  293.09213365]","[  43.61302947  300.58495638  243.75071519  401.48993653 -174.0876343
  276.10823196  397.57502192  144.56412973  409.40441039  -22.60009771
  156.67555542  217.56259504  178.0723064   124.85321972  347.65231925
  196.83975898   69.53221467  283.01867796  -85.08040188]","[  90.45719186  224.93603585  406.49982884  212.64809646  318.0952704
  428.28712595  269.44535647   42.7136674   196.19362829  207.15526037
  -60.96410825  215.98035627  103.11247735  309.36498367  266.31938193
   70.41287389  172.45299251  250.98429828  219.46973517]","[ 129.39546374   69.50582239  472.51730842  388.21437059  120.49914378
  318.92475214    9.53482707  113.72128458  131.22614425  204.99372549
  125.61918363   72.02537588  -26.39278538  444.5584681   435.30190334
  267.00095225  177.43485845  316.61990801   84.01077406]"
"[ 239.29602045  488.30372393  239.29602045  488.30372393  195.97238668
  508.45135862  295.78083037  303.94687456   41.68942626  121.53780758
  326.63525387   -0.71999249  326.63525387   -0.71999249  195.97238668
  508.45135862  -26.50116954  326.63525387  148.73689537]","[  1.00950947e+02   1.23601325e+02   1.28885815e+01   1.19818332e+02
  -3.53680111e+01  -6.68341361e+01   1.52451279e+02   4.31335965e+02
   2.64808551e+02   1.76202604e+02   1.84047935e+02   9.69435570e+01
  -2.95188046e-01   4.05873436e+02   1.46275261e+02   2.26483359e+02
   2.87468437e+02   2.08024161e+02   2.02324244e+02]","[  93.19740924  194.5964332    72.95240024  117.47950346  336.11958736
  123.13114176  222.86778823  232.64549548  111.17268536  223.4789573
  457.94135267  -34.89666429   72.47624045  -67.53230218   93.19740924
   33.08533291   39.5554476    27.23070496   79.22594958]","[ 173.94908839  194.19484082  468.2936299   539.1993612    53.75711822
    9.75664708  529.45327215  307.34456012  266.12516245  109.61323179
  -37.04818197  -27.81457002  504.46752619  110.90727203  631.63358763
  277.97906147  178.07866896  708.99106953  239.71352262]","[ 295.11949851  256.00827152  -48.68732611  -17.74737173  -28.64008934
  321.69196314  342.24910549  378.11990752  115.39315367  188.03634384
  251.57300486  106.73082031  -72.10363534   31.46826448   89.99540786
  178.75931225  -26.76131808  378.44265998  338.84519494]","[ 187.10888298  124.97166872  395.96477615  308.01464916   44.24766813
   47.33856192  120.22315878  108.295685    -62.58682055  267.1235225
  342.60622887   77.40351529  219.1656527    94.48471162  285.47472567
  287.93207617  224.77919025  328.64862069  233.54433711]","[  94.79773008  331.88522613  231.60943016  295.80188153  414.09189225
  375.46842951   87.37530325  157.75536475  311.23966942  180.60195749
   42.89448122   20.96829106  168.6608644    82.81487088  216.03898012
  281.59204142  424.52041623  456.29120258  155.32859273]"
"[ 220.28878121  652.67613026  -65.93125089  585.42743378  192.57442997
  220.28878121 -110.63631024   -2.38404     -65.93125089  585.42743378
   -2.38404     273.98300948  -39.79169529  121.97774313  659.59740949
   -2.38404     273.98300948  659.59740949  378.68707741]","[  50.34387112  218.23148029  171.38499067  277.53743883   -2.89814237
  209.51875859   99.59277461   85.49340134  132.08367512   60.29709167
   -1.9122699   209.74919632  -31.18419165   91.87135685   82.3841983
  119.04791426   76.74098524   29.62759511   88.56631149]","[ 393.96845947   56.98090929   96.75897425  -44.47609629   50.61620749
  421.39690103  283.79573866  -28.6511686   349.66572423  146.51127368
  -44.47609629  155.05710697  330.46282589   -8.37435311  115.53699462
  -33.95311745  -52.72189012  184.83931392  315.34590896]","[ 246.93447279  418.15814889  148.7042967   240.1572184   175.15693952
 -150.74887872  -72.83035469  289.21512646  536.33450388  257.47722807
   66.71489236  789.72109587  -10.33255747  303.01570079  309.27558874
  413.74143227  129.79413502  103.51214835  -39.19242615]","[ 257.90386339  210.8379214   100.47769525  522.35938966  220.84999285
  257.91360475  152.07369716   96.07955129  235.21077641  238.41062696
   62.86433829  353.49042739  262.49271788  158.4012136   -66.88601083
   35.49318012   10.08462787  194.62709101  320.5494559 ]","[ 171.72069081  276.51364032  275.12371916  166.30843535  300.96165874
  161.0595556    82.11370246   81.17498974  189.54643284  177.79155979
   76.9225297   173.16337772  127.13060593  218.1135396   332.69806672
  310.41406596  384.35124476   70.13368708  154.96634199]","[ 341.25404525  219.24252317  338.1201869   356.12258675  333.99523838
  110.39665888  181.1766375   272.68821964  208.18314886   66.78450138
  331.17340258  295.93644153   90.89301283  -22.42393144  264.54301711
  158.65256705 -123.71943418    3.01852475  393.64815838]"
"[  64.72345065  329.54459736   64.72345065  585.71629808  245.29915912
  585.71629808  245.29915912  281.16011957  277.34529379 -208.94939566
  384.40854296   -7.01370366  331.24833421  385.8615746   329.54459736
  451.86761509  281.16011957  329.54459736   64.72345065]","[  13.00331734  150.21579259  378.12544936  174.77055776   80.51389871
   98.77958886  101.69493016  156.77795221  186.6382598   196.40283698
  237.77335749  156.2593897   174.83382673  155.29978457   -4.03685165
  -79.13849056  218.68541788  118.81433736   60.65375356]","[ 305.63088588   59.68535995  161.49119007   21.99415745   52.67577655
  -66.98290484  140.88079607  161.49119007 -112.48196925  269.37743244
    8.56082252  178.00203037  -69.841025     41.32084353  215.50752683
  243.15906416  203.92528109  286.90707517 -108.6723328 ]","[ -60.70019675  502.86571476    7.25280559  314.45956421  759.46653467
  610.34047827  -48.07495472  394.41894216  645.15799333  -60.70019675
  257.95291698  580.26210839  210.14240517  226.89890008  384.7856006
  177.49279567  -37.89306664  519.65691523  353.30483911]","[ 233.96564554  266.87930554  179.26098522  369.74257055   89.88854454
   -7.89219326   63.24356433  -41.00465769  252.11168729  203.42239727
   11.14948815  272.08455231  118.42798644  405.93579985  206.67318227
  314.0334629   237.41264233  234.02698969  336.15073609]","[ 274.74168483  192.8871679    48.90995471  193.88006776  323.6670549
  137.61195932  222.28689098   75.86401     203.13771597  224.75856293
  278.50308619  181.75145161  233.56296589  222.17619893  219.8119576
  131.60906851  165.43512135  323.22251689   91.55495338]","[  92.5689783    39.32931744  126.15501667   84.49975743    1.53006693
  265.73824654   30.23373523  220.1260296   296.43332006   54.46296362
  603.82444697   46.8411372   254.65500589  264.89243332  148.77279001
  214.0051398   112.623859    173.7002613    90.13829973]"
"[ -50.42965586   70.62453362  -50.42965586   70.62453362 -107.3772676
  -50.42965586  -50.42965586   70.62453362  598.56088951  453.06218883
 -138.20737089  303.5168874   305.60752923  107.11094865  330.0922131
  437.50659168  117.96681525  598.56088951  453.06218883]","[ 248.38495576  295.5762292   169.49153503  225.70172813  198.46094695
   63.54328365  125.49253859   18.36723472   20.34258591   54.17554308
 -151.96008556  -43.97661376  125.16343714  197.63178162  153.27519672
  192.58847104  263.66284629  -80.14096912  263.81518989]","[ 103.85904798  124.55564856  161.29280575  -66.87526349  250.00848371
  158.8612962   255.06521071  291.44796353  124.55564856  -42.05397508
 -122.35365582  235.76808623  174.59772702  173.65299999  179.40378698
  100.50055117  212.3383056   280.31291978   61.17734225]","[ 295.16397124  286.2597022    17.76756047   36.78269545  609.201994
   95.47400581  717.70368729   31.43488466  435.85981256  594.96666651
  -10.6661786   173.36332051  481.30118489  236.18715302  227.02325097
  656.29275903  103.83159958   17.76756047  424.76890823]","[ 227.52134669  116.02932436  169.78484707  -46.11669246   67.82987515
  259.50735027   53.64685741   87.01647749  -67.3091898   328.4765942
  403.7332586   161.53027503  193.64399228  229.37272769  270.58223478
  409.08681381  256.34880597   49.54892811  334.98208601]","[ 114.46563596  187.07299269  247.19164709  315.94842359   99.99377234
  234.17738925  -63.26372385  236.20805389   53.34382916  365.12185934
  -19.16320038  123.83504588   35.64921133  145.28579161  333.46882675
  166.27459369   42.89616749  278.44295155  345.05257612]","[ 142.76414981  105.21810296  273.47176532   13.67601211   38.25868635
  -67.08403646  349.77452419   91.29979717 -244.29534434  -94.15804211
  334.98357922  413.29720003  184.21812694  255.54902575  175.44131789
  431.24837986   96.89415188   22.91869322  140.68273227]"
"[ 424.9336841   657.69132783  469.41644583  387.51486532 -126.93913698
  313.88006398  383.64576364  145.78741524  469.41644583  387.51486532
  469.41644583  413.86415859  148.76218483  413.86415859  148.76218483
  223.95388641  469.41644583  503.38448854  322.56282907]","[ 157.17390061  109.12676943  125.29596909  -14.69261575  237.26486395
    5.00035426  123.57795502  101.76786135   77.43654108   52.23518345
  188.73553576  224.00992972  152.89761786  315.68011772  180.35229435
  -88.48027424  168.70405607   43.19775793  289.0534304 ]","[ 176.01457547  148.32530789  159.43479755  252.13872445  270.08902552
  112.59574499  101.42144254   72.89626657  252.13872445  416.36983446
  187.03871544  348.00389529  247.82736923  273.94044658  281.4009437
  249.44778472   93.23752453    5.11782385  106.04654053]","[  49.31905096  -93.72026084  584.67752566  122.72802719  428.89334638
  771.21524075  -39.98276042  157.32366618  171.76385757  634.10684385
  366.50033914   20.91997465  163.79769373   90.27896987  529.31560151
   36.0498336   663.62073927  144.16913791   81.16824563]","[ 333.21080821  115.14121147  465.93508185 -126.023264     13.2866043
   65.18232372  415.08799867  281.20202745  205.13708884  304.19671855
   17.2764861   206.25771657  413.92294192  432.99255837  507.5561875
  254.10382725  380.8095565   373.3031381   -32.45026121]","[  2.48633720e+02   3.26022665e+02   2.47427990e+02   1.97122063e+02
   1.97743001e+02   8.22092298e+01   3.86225539e+02  -2.07605768e+01
   2.14983109e+02  -5.96489938e+01   2.61871076e+02  -3.48183998e-01
   5.24758748e+02   5.82756434e+01   2.59680666e+02   4.33826889e+02
   6.80426226e+01   2.10687476e+02   4.63039752e+02]","[ -49.53104171   58.04133068  119.82786725   42.41698013   98.59045451
  239.53663079   66.28340635  301.53516368  241.58244586  327.63658848
  363.96546238  266.40793944  239.73153473  185.87001655  181.84358325
  333.92285089  340.09581563    6.87029106  321.9187665 ]"
