variancceSgd0,variancceSgd1,variancceSgd2
86389.77236438864,643946.5698397347,230486.5287975055
109926.00933946509,766981.9011694936,226146.73552078303
93131.6567267966,784215.1844315536,315888.6930427541
88861.1021592705,706304.5895525527,241901.2063189008
108957.57432102493,668834.1781011535,390553.62193921587
73077.27758002195,657642.1258479797,232348.18816460174
73619.94656459648,734470.9871336886,256312.84004400927
66448.56655967124,756394.1862148253,233714.18892274366
103206.92084124559,864381.7825434662,205036.2237576322
131120.45701502837,647705.9081275387,303872.4806021588
114209.06182922496,594393.5818885113,277879.3014751323
82603.17088184447,658717.0993775793,297929.914021395
101974.46785522511,694797.720687652,278400.75498625194
84533.04555060464,733740.4557151704,253054.5125641704
69715.63913494594,626443.1818079592,138218.39438868078
117529.8209198417,579450.2449449502,245709.5485827026
109240.39135894203,633326.2704116085,216945.12430438382
56603.91894005262,567634.7835355473,244277.13465705136
68969.88906366908,622491.9151646069,309137.3112106884
74126.09529739071,781763.9588394031,185456.2995042764
70431.88743522528,686369.2022667953,249030.10747196202
89744.15446118888,586686.895235167,297995.64618007484
60425.50658697339,497093.88668082183,281939.4856444338
75192.22939408824,523066.59093002987,276099.43548285635
102049.4541200898,617544.0921428589,361246.5590677158
85964.23285535154,569798.6214679168,408913.3823084649
65368.512939222484,654185.5131308513,427855.5094862661
90764.17417194028,608640.1394260791,377898.6916811076
66573.8674919581,646196.5453473806,295713.3532353501
79144.69420709676,583075.9827810577,353716.7007172238
84767.09672723545,592429.7221963386,357891.54187161947
81233.21418544426,634925.6362919551,395966.79212679085
87742.59645252577,790598.2783098947,392502.1938617188
104491.42575214962,674557.568719593,398726.10564266343
89692.93668894586,439037.9533194166,433491.07047442545
84937.1128129119,597816.2887857892,274217.38687060983
92277.8551472922,722107.2900642824,488874.766470678
82648.88769439793,563273.824996144,599315.8693731455
68377.15829228629,834874.5597081824,463958.3324173814
110345.52289089674,579980.9867928862,384451.0116552153
119889.82861113927,781752.895011357,400434.721566688
160386.4680452051,780762.7827337602,373724.7746454654
112976.84099995845,820072.2901610304,413065.725404168
115507.90700837786,678771.5175032546,452574.33695062395
113123.80292588503,840632.7257306394,410876.296526753
99312.74534551505,1043171.7076989992,518102.67929784977
127042.47516139015,770858.2464166514,451725.02621352434
134776.55776513106,908632.0836425453,450756.4175410165
114517.74585023796,777641.0186898308,454509.1994293007
84826.43890041742,851977.4116039727,593336.0687269308
78271.18521029974,822007.7729415616,361902.11863799155
93107.48835887767,687141.072929844,514223.05492114805
82957.45673798065,851316.1959831441,401600.0487586965
93450.56770828528,683488.4154121827,435655.076188926
150298.93419429718,705305.2452666806,586617.859675584
126291.1407205936,927274.708745537,598146.5126664591
168799.37926854318,1014914.2683343645,490628.02069148584
146806.94722719467,869187.486196775,465448.81157270167
104722.22499186701,916961.559021536,638175.7634352597
106698.185331807,761361.3549703397,591010.0607394003
166871.93518975275,910137.3701019419,590264.7058986726
172746.9607899369,952151.1032456077,513054.3436680781
149859.37239878267,734191.8800347459,565435.0741683149
89222.43539148837,965699.4454007284,488414.1182277987
119082.25412729564,1061066.9267995185,564371.8345857149
184776.51912726735,760726.2923443702,548573.8842582135
157174.63904850266,732798.8808601532,603588.4704162093
169443.28295487448,584458.4515712231,599622.1898890627
136776.73346307396,577828.0689319654,571273.548216632
144180.56402762746,640925.0052233546,512688.30219133187
295918.99663553433,626119.4602152776,591122.1397551005
209732.0319602954,704679.5581582992,606385.8904128408
263162.8829990098,644667.6519522785,526801.79639417
226761.2900452172,648782.7907677118,671386.7409523671
138062.88341152132,646757.8568960875,645465.8143840944
119714.57497707449,533209.6948150354,945955.2509905281
119294.72013334083,613911.4343494453,700662.4489247273
98535.4683498448,503572.50608847686,615061.0628896824
119864.8150633207,465339.20819854713,523538.9465087615
146761.9413711081,569860.7752407285,452002.71614893107
181221.72432327855,462552.97488526534,576380.396179839
172851.318326014,532266.1792030619,676441.1861970454
167531.59087687818,402476.1529986148,539610.1345539769
128100.6436799716,576778.1891334497,652816.0726180247
167055.05046061243,448038.737893104,633586.5539838369
166027.9822623848,363162.1939624407,455192.43029190204
195279.45833412046,594537.0374260985,404808.58843659156
122748.918639142,457579.55457828095,794343.057607813
141262.99687250465,492279.02747558465,598324.9992367373
192613.19471338968,373065.9107120503,547144.4717820479
133930.77273449744,494105.5309138452,547208.7199985606
209837.38666909808,334786.28050106205,545383.8970189753
183235.82488236116,357531.2972129511,779505.7336080815
124260.87042162799,440072.88760609576,595824.6384981677
177058.29111508268,455515.65122594195,464898.478431421
112085.84792046493,438416.25234767917,386042.6513738791
90403.66803083816,381689.733965208,565094.1315065004
93267.49853906735,291786.5916407006,552691.6381920625
73095.09353158028,407383.4568587572,510545.59390244295
78742.24138612652,304997.32863062544,428618.53242577694
121389.11826374978,322106.69982789666,390029.3733302425
126096.1998781632,338916.50296162954,632114.3745239377
148145.13971329172,341672.5138346425,560948.7097028788
111765.66620761424,340784.3265454987,541047.0394506549
124784.8537098723,358252.3902407902,415407.93746761204
109982.22234733085,287883.0527258961,487593.7323429442
77682.5425787138,364344.33309824986,384518.7818028759
63522.11323916165,497411.4792146115,383384.2230164592
77751.24443414887,276503.0802621644,431154.78615547775
75574.58766494377,437942.55835262116,382851.8811455254
85526.60055740474,354822.7400613385,459063.7293767333
72504.9138455917,431743.10086939775,484349.3508584204
70092.5823833448,400978.0934695685,364508.34037481446
41615.890121276054,456972.2283643211,445643.3653488266
42157.68557725017,460783.84798701364,454246.77275700023
46235.29686410293,478512.8284166219,352776.5966429536
38457.379549363686,572776.1809738654,403815.0993140754
53921.38636806055,472856.4585360344,368909.2393041953
