,diffLr0
140,-3.410651442425092e-06
141,-2.2378912865313947e-06
142,6.59131396541034e-07
143,-3.0061090933217935e-06
144,-1.0405024931626956e-06
145,-6.428732584850474e-06
146,-4.737642281880115e-07
147,-4.3984868453309704e-06
148,-6.468855933628602e-06
149,-6.498337687362764e-07
150,9.89710016564948e-07
151,-7.380894193049298e-07
152,-1.0011375989134436e-06
153,-1.4732136184180537e-06
154,-1.6541417938036838e-06
155,-2.2418719060760128e-06
156,-2.365949667765327e-06
157,-3.7170780568305814e-06
158,-2.6791000960276046e-06
159,-1.4357497649558879e-06
160,-1.7363414985272274e-06
161,2.029950935023698e-06
162,-1.9780815426186804e-06
163,1.343420554726786e-07
164,-4.935316865551822e-06
165,-1.4666617983110436e-06
166,-3.118659596239162e-08
167,-6.975301144813928e-07
168,-3.656075705439893e-06
169,-3.76226945029079e-06
170,-2.034716233840511e-06
171,1.7888757082095978e-06
172,-3.187938935246239e-06
173,-4.495193527147885e-06
174,-3.3627113461297945e-06
175,-1.0146684449010754e-06
176,-2.027546070324312e-06
177,-4.627192407395623e-06
178,-2.6872473121091834e-06
179,-5.6121687448657925e-06
180,-4.609903673090652e-07
181,2.495224217277042e-06
182,-1.1813630514136792e-06
183,5.1685870727239257e-08
184,2.1637428164800852e-07
185,-4.243080737335285e-06
186,-3.784208806035749e-06
187,-7.5997453993342785e-06
188,2.4610741444274893e-06
189,-3.8054156573006124e-06
190,-4.344007488452002e-06
191,-1.077711872582434e-06
192,-2.0224376245224427e-06
193,-2.157852948465793e-06
194,-2.4096430758210725e-06
195,-4.682872167743175e-06
196,-1.13347466247361e-06
197,-7.34824725183203e-06
198,-2.953708436562184e-07
199,2.7615218754348544e-07
200,-2.9762690612785545e-06
201,-3.7636938066108326e-06
202,-7.744704769628918e-07
203,-2.6141123325922627e-06
204,-3.596595732090612e-06
205,-4.083233351350296e-06
206,-4.316669254850208e-06
207,-3.293574578960132e-06
208,-1.2182008656717637e-06
209,1.6661575878044753e-06
210,-1.3640729577759206e-06
211,-5.564099365447386e-06
212,-2.814025437322436e-06
213,-6.0907167182404005e-06
214,1.356711053690549e-06
215,6.932501522645947e-07
216,6.02933917828055e-07
217,1.3377389036415412e-07
218,2.4648284271920863e-06
219,3.740175890769058e-07
220,-5.732831731554364e-07
221,-2.4267597580423086e-06
222,-2.4213899105837356e-06
223,2.9593652486071635e-06
224,-7.790592920581361e-07
225,-4.3351597697482025e-06
226,-2.0258863037189763e-06
227,-1.4320829574489267e-06
228,-4.462179769301518e-06
