,diffLr0,diffLr1,diffLr2
51,5.94781575653354e-06,1.5455109615317725e-05,1.1385602948638426e-05
52,1.7417317669166006e-06,1.0680622163380415e-05,8.03948099299552e-06
53,2.0157168834488135e-06,1.7273761592133256e-05,6.750570080963949e-06
54,4.364456718601946e-06,1.3010373742626297e-05,1.3629714626591282e-05
55,6.053815822383583e-06,2.165471329698658e-05,5.705318033954372e-06
56,7.448506374903604e-06,9.38758963201825e-06,1.4631568532688141e-05
57,4.985062642990689e-07,3.836491253109871e-06,5.923661711535974e-07
58,3.237767576914765e-06,1.1517659751573457e-05,-1.378300689248236e-08
59,4.207794413757237e-06,9.316466435672269e-06,7.141303082103013e-06
60,1.0830456729692582e-06,1.2339611282552637e-05,1.3288546275290159e-05
61,1.99937686983539e-06,2.1921796999685313e-05,2.2355634941967507e-06
62,8.067403985370075e-07,5.1190146321699e-06,3.1225081588632302e-06
63,8.536622603013488e-06,9.640619970263132e-06,6.728210239359896e-06
64,2.3212251405728654e-07,3.8895892955155566e-06,1.1566548893311219e-05
65,1.226900901268416e-06,2.3294665593226567e-06,1.9207423522382945e-06
66,7.382231880811727e-06,4.158296829850693e-06,1.962629622213807e-06
67,-1.3040522767182933e-07,8.653427265067483e-06,2.070340886892388e-06
68,2.0936029042574863e-06,9.672942014912347e-07,1.0621989504609755e-05
69,4.850768064797594e-06,1.8037384495746164e-06,7.2003060797224615e-06
70,3.6684208229257636e-06,2.4200227354616928e-06,1.5141196226295252e-05
71,1.0446834791223552e-05,2.5464944899393417e-06,1.2224698657634357e-05
72,3.513120302576779e-06,5.187517683848445e-06,4.870939405037676e-06
73,6.213716889732725e-06,1.0570066319972011e-05,4.902307783271623e-06
74,4.461665345769961e-06,9.1109419611189e-06,1.7059103683183772e-06
75,6.0150652207433255e-06,1.0260695784757883e-05,7.078890568687193e-06
76,4.005271350027334e-06,9.422312776487135e-06,6.694509581044672e-06
77,9.290872337909333e-06,6.071311176427111e-06,-3.7720153277141875e-07
78,5.769552773021402e-06,6.9490935827661336e-06,1.8724269451256177e-05
79,6.184691705120784e-06,4.05203980386705e-06,2.637702815861565e-05
80,6.6990622616375805e-06,4.45002139151187e-06,9.095991909289755e-06
81,4.066057485016966e-06,7.973640796620183e-06,1.5353713009708387e-05
82,7.357001635335355e-06,3.244999188560786e-06,8.715969013216832e-06
83,7.090105725201919e-06,6.832460343445551e-06,8.216809547773253e-06
84,7.2608519485572215e-06,4.70404387582303e-06,1.0023912218883261e-05
85,7.838542016968602e-06,8.358182482774785e-06,1.3697792862131331e-05
86,4.360103465848267e-06,8.905267445796202e-06,4.421795244488443e-06
87,3.619600723938095e-06,9.460736071898912e-06,4.992979661049584e-06
88,2.8165063597539567e-07,6.0898815573553945e-06,3.6108977457080105e-06
89,7.410325485886933e-06,1.2108279340157745e-05,7.768107583457152e-06
90,5.055243944180676e-06,1.567690052614318e-05,6.792020718659025e-06
91,2.885319340729949e-06,7.930362260587535e-06,7.380003792667982e-06
92,1.5312439759737184e-06,8.85536164759753e-06,4.166302090583234e-06
93,1.7243174865073506e-06,7.936086211512938e-06,6.8519627073385795e-06
94,1.8557295687160084e-06,6.807090804297266e-06,1.7447430266594642e-05
95,9.609290966099114e-06,5.31969353414725e-06,1.1934920016195837e-05
96,8.654017048635367e-06,1.7780730710647225e-05,1.0443365721062021e-05
97,4.3046617015497315e-06,4.757698437019863e-06,3.326524306056748e-06
98,1.930644021956181e-06,4.388174474919577e-06,8.701938107179935e-06
99,1.1179404231203624e-05,5.518453514239058e-06,5.825451103159666e-06
100,4.021429866034993e-06,6.096745440578151e-06,4.967107091511979e-06
101,1.2113880106641461e-06,7.879041087309367e-06,6.346868799967757e-06
102,1.860568555468998e-06,7.551614447254773e-06,-1.303640930925135e-07
103,4.306345601132859e-06,4.094577446730275e-06,2.635959782342517e-06
104,4.2413751705566015e-06,5.386115419832493e-06,6.641618340999323e-06
105,3.4912657187302088e-06,9.507459917775856e-06,6.486960242826042e-06
106,1.0026746290348972e-05,9.81179654268955e-06,9.487798724202039e-06
107,3.430538538045475e-06,5.718965755840822e-06,7.992024908591287e-06
108,3.440221341118405e-06,1.621452591118423e-06,7.886839153477207e-06
109,4.905225609399731e-06,5.759539883737633e-06,6.758037237584469e-06
110,3.740364468746641e-06,1.0624289371803614e-05,9.435606183543608e-06
111,2.2809074928916344e-06,9.159219871124052e-06,7.2110010504726125e-06
112,2.1134056624308843e-06,7.778491392366348e-06,4.071850981654155e-06
113,5.883519405207227e-07,9.897339687235595e-06,1.4394464857167799e-05
