policyParams0,policyParams1,policyParams2,policyParams3,policyParams4,policyParams5,policyParams6,policyParams7,policyParams8,policyParams9
"[-0.0847057  -0.29717828  0.17968071 ...,  0.019       0.028      -0.008     ]","[ 0.09689483  0.02256087 -0.07331221 ..., -0.004       0.01       -0.00199999]","[ 0.28108647  0.17253727  0.04407441 ..., -0.001      -0.011       0.003     ]","[ 0.34797113  0.00903683 -0.3470927  ...,  0.007      -0.014       0.00799999]","[-0.10851154 -0.26745643 -0.01303532 ...,  0.0085     -0.0235      0.0075    ]","[ 0.04650436 -0.3240792  -0.10250982 ..., -0.0035      0.0025     -0.0035    ]","[ -6.84684622e-02   1.00358226e-02   3.50606672e-01 ...,  -2.99999919e-03
  -3.20910551e-10  -1.39999995e-02]","[ 0.13582032  0.34271597  0.24818846 ..., -0.0055     -0.0035      0.0065    ]","[-0.24804401  0.30931439  0.05456371 ...,  0.003       0.002      -0.001     ]","[ 0.10516243  0.11304296  0.09898947 ..., -0.004      -0.008      -0.007     ]"
"[-0.0867057  -0.30017828  0.18368071 ...,  0.021       0.032      -0.007     ]","[ 0.09839483  0.02206087 -0.07081221 ..., -0.0045      0.0095     -0.00249999]","[ 0.27958647  0.17003727  0.04357441 ..., -0.0005     -0.0115      0.0055    ]","[ 0.34697114  0.00803684 -0.3480927  ...,  0.006      -0.015       0.00699999]","[-0.10601154 -0.26495644 -0.01653531 ...,  0.008      -0.026       0.007     ]","[ 0.04600436 -0.3235792  -0.10200982 ..., -0.003       0.002      -0.003     ]","[-0.06846846  0.01103582  0.35160667 ..., -0.005       0.001      -0.012     ]","[ 0.13732032  0.34121597  0.24668846 ..., -0.003      -0.004       0.005     ]","[-0.25004401  0.31031439  0.05256371 ...,  0.005       0.002       0.001     ]","[ 0.10116243  0.11504296  0.09598947 ..., -0.006      -0.01       -0.00499999]"
"[-0.0907057  -0.30217828  0.18868071 ...,  0.025       0.036      -0.005     ]","[ 0.09889484  0.0225609  -0.0713122  ..., -0.007       0.009      -0.00399999]","[ 0.27958646  0.17003727  0.04457439 ..., -0.0025     -0.0125      0.0075    ]","[ 0.34647114  0.00753684 -0.3475927  ...,  0.0055     -0.0155      0.00649999]","[-0.10501154 -0.26495643 -0.01753531 ...,  0.009      -0.026       0.005     ]","[ 0.04450436 -0.3220792  -0.10050982 ..., -0.0025      0.0005     -0.0045    ]","[-0.07046846  0.01103582  0.35260666 ..., -0.006       0.001      -0.013     ]","[ 0.13882032  0.34271597  0.24518846 ..., -0.0025     -0.0035      0.0065    ]","[-0.25204401  0.31131439  0.05156371 ...,  0.005       0.004      -0.001     ]","[ 0.10216243  0.11504296  0.09698947 ..., -0.007      -0.01       -0.00399999]"
"[-0.0902057  -0.30067828  0.18918071 ...,  0.0255      0.0375     -0.0065    ]","[ 0.09639484  0.02106091 -0.07381221 ..., -0.0095      0.0055     -0.00249999]","[ 0.28008646  0.16953727  0.04507438 ..., -0.002      -0.014       0.009     ]","[ 0.34897114  0.01003684 -0.3500927  ...,  0.003      -0.02        0.00699999]","[-0.10701153 -0.26495644 -0.01653532 ...,  0.009      -0.025       0.004     ]","[ 0.04550436 -0.3230792  -0.09950982 ..., -0.00150004 -0.0005     -0.0035    ]","[-0.07096846  0.01153582  0.35310666 ..., -0.0045      0.0015     -0.0135    ]","[ 0.13932032  0.34121598  0.24568846 ..., -0.002      -0.003       0.009     ]","[-0.25304401  0.31131439  0.05156371 ...,  0.005       0.004      -0.001     ]","[ 0.10216243  0.11604296  0.09598947 ..., -0.009      -0.011      -0.00499999]"
"[-0.0897057  -0.29917828  0.18468071 ...,  0.024       0.04       -0.009     ]","[ 0.09689484  0.02256091 -0.07331221 ..., -0.008       0.006      -0.00299999]","[ 0.28158646  0.16803727  0.04657438 ..., -0.0005     -0.0135      0.0105    ]","[ 0.35097114  0.01403684 -0.35409269 ...,  0.001      -0.022       0.00999999]","[-0.11201153 -0.26495644 -0.01353532 ...,  0.009      -0.023       0.006     ]","[  4.60043564e-02  -3.23579203e-01  -9.80098197e-02 ...,  -4.21664010e-08
  -9.99998614e-04  -4.00000150e-03]","[-0.07396845  0.00953609  0.35210665 ..., -0.0065      0.0035     -0.0145    ]","[ 0.13832032  0.34021598  0.24668846 ..., -0.003      -0.004       0.01      ]","[-0.25304347  0.30831439  0.05556371 ...,  0.006       0.003      -0.001     ]","[ 0.10216243  0.11704296  0.09398947 ..., -0.01       -0.013      -0.00499999]"
"[-0.0897057  -0.29717828  0.18268071 ...,  0.023       0.042      -0.011     ]","[ 0.09489484  0.02156091 -0.07331221 ..., -0.008       0.01       -0.00199999]","[ 0.28108646  0.16653727  0.04607438 ...,  0.001      -0.013       0.009     ]","[  3.49971146e-01   1.30371951e-02  -3.53092722e-01 ...,   1.17754170e-09
  -2.09999990e-02   1.09999935e-02]","[-0.11251153 -0.26445644 -0.01303532 ...,  0.0095     -0.0235      0.0065    ]","[  4.70043564e-02  -3.24579203e-01  -9.80098197e-02 ...,   9.99957833e-04
   1.37271262e-09  -4.00000150e-03]","[-0.07546845  0.0080361   0.35060666 ..., -0.005       0.003      -0.016     ]","[ 0.13832032  0.34021598  0.24768846 ..., -0.003      -0.004       0.011     ]","[ -2.52043471e-01   3.07314395e-01   5.75637091e-02 ...,   6.00000055e-03
   5.00000163e-03   1.36086739e-09]","[ 0.10116254  0.11604296  0.09298947 ..., -0.011      -0.012      -0.00399999]"
"[-0.0937057  -0.29617825  0.18668071 ...,  0.024       0.042      -0.015     ]","[ 0.09639484  0.02406089 -0.07181221 ..., -0.0065      0.0085     -0.00149999]","[ 0.28158646  0.16603727  0.04757438 ...,  0.0015     -0.0115      0.0075    ]","[ 0.34797115  0.0130372  -0.35209272 ..., -0.002      -0.021       0.01399999]","[-0.11501152 -0.26595621 -0.01153533 ...,  0.009      -0.022       0.006     ]","[ 0.04750436 -0.3250792  -0.09750982 ..., -0.00050004 -0.0015     -0.0045    ]","[-0.07346845  0.0080361   0.35160666 ..., -0.005       0.003      -0.015     ]","[  1.35320320e-01   3.37215981e-01   2.49688460e-01 ...,   3.06447448e-09
  -9.99999137e-04   1.20000003e-02]","[-0.25304347  0.3043144   0.06056371 ...,  0.009       0.006       0.003     ]","[ 0.10216254  0.11604296  0.09298947 ..., -0.012      -0.012      -0.00199999]"
"[-0.0977057  -0.29917825  0.19168071 ...,  0.024       0.037      -0.02      ]","[  9.58948450e-02   2.35608943e-02  -7.43122009e-02 ...,  -5.00000432e-03
   6.99999747e-03   1.00322742e-08]","[ 0.28308646  0.16553727  0.04807439 ...,  0.002      -0.011       0.005     ]","[ 0.34547115  0.0105372  -0.34959272 ..., -0.0035     -0.0175      0.01549999]","[-0.11301153 -0.26495621 -0.01353532 ...,  0.009      -0.022       0.007     ]","[ 0.04600436 -0.3275792  -0.09700982 ..., -0.00100004 -0.002      -0.003     ]","[-0.07296848  0.0065361   0.35010667 ..., -0.0035      0.0015     -0.0165    ]","[ 0.13682032  0.336716    0.24818846 ..., -0.0015     -0.0005      0.0125    ]","[-0.25304347  0.3043144   0.06056371 ...,  0.009       0.006       0.004     ]","[ 0.10066254  0.11754296  0.09248947 ..., -0.0125     -0.0115     -0.00249999]"
"[-0.0982057  -0.29767825  0.19218071 ...,  0.0235      0.0355     -0.0215    ]","[ 0.09489485  0.02256091 -0.07231221 ..., -0.004       0.007       0.00100001]","[ 0.28308646  0.16653727  0.04807439 ...,  0.001      -0.009       0.005     ]","[ 0.34597115  0.01103719 -0.35009272 ..., -0.003      -0.018       0.01699999]","[-0.11401151 -0.26395621 -0.01253533 ...,  0.007      -0.023       0.00799999]","[ 0.04600436 -0.3285792  -0.09700982 ..., -0.00100004 -0.001      -0.002     ]","[ -7.44684828e-02   5.03609852e-03   3.48606669e-01 ...,  -1.99999923e-03
  -2.77991416e-10  -1.69999991e-02]","[ 0.13432032  0.33621598  0.24968846 ...,  0.001      -0.003       0.012     ]","[-0.25304336  0.30431439  0.06156361 ...,  0.011       0.007       0.005     ]","[ 0.10316254  0.11504296  0.09498947 ..., -0.01       -0.014      -0.00099999]"
"[-0.0952057  -0.29867825  0.19018071 ...,  0.0225      0.0335     -0.0235    ]","[ 0.08989485  0.01956091 -0.07531221 ..., -0.003       0.005       0.00100001]","[  2.82086460e-01   1.65537273e-01   4.70743867e-02 ...,   2.90880499e-09
  -7.99999916e-03   6.00000078e-03]","[ 0.34597115  0.01103719 -0.34909272 ..., -0.002      -0.017       0.01799999]","[-0.11351151 -0.26445621 -0.01303533 ...,  0.0075     -0.0205      0.00849999]","[  4.60043566e-02  -3.28579200e-01  -9.70098200e-02 ...,  -2.00004208e-03
   1.44541229e-09  -2.00000144e-03]","[-0.07496848  0.0035361   0.34610667 ..., -0.0005      0.0015     -0.0175    ]","[ 0.13482032  0.33471598  0.25018846 ...,  0.0025     -0.0015      0.0105    ]","[-0.25554336  0.30581439  0.05906361 ...,  0.0115      0.0065      0.0055    ]","[ 0.10316254  0.11404296  0.09398947 ..., -0.01       -0.016      -0.00199999]"
"[-0.09470572 -0.29717825  0.18968071 ...,  0.023       0.032      -0.023     ]","[ 0.08939485  0.01906091 -0.07581221 ..., -0.0025      0.0055      0.00150001]","[ 0.28158646  0.16603727  0.04657439 ..., -0.0005     -0.0065      0.0055    ]","[ 0.34697115  0.01203719 -0.35009272 ..., -0.001      -0.018       0.01699999]","[-0.11401151 -0.26495627 -0.01253533 ...,  0.01       -0.023       0.00599999]","[ 0.04500436 -0.3315792  -0.09400981 ..., -0.00100004 -0.004      -0.005     ]","[-0.07696848  0.0015361   0.34410667 ..., -0.0005      0.0005     -0.0195    ]","[ 0.13632031  0.33421598  0.25168846 ...,  0.003      -0.001       0.01      ]","[-0.25754336  0.30681439  0.05806362 ...,  0.0095      0.0065      0.0075    ]","[ 0.10266254  0.11354296  0.09248947 ..., -0.0115     -0.0175     -0.00349999]"
