policyParams0,policyParams1,policyParams2,policyParams3,policyParams4,policyParams5,policyParams6,policyParams7,policyParams8,policyParams9
"[ 0.25368341  0.24559146  0.13488181 ..., -0.10066533  0.00755807
  0.02547058]","[ 0.3197841   0.23916747 -0.16044348 ..., -0.03288328 -0.04872358
  0.03555548]","[ 0.16998231 -0.01676269  0.31812872 ..., -0.00810166  0.00502487
 -0.00826291]","[ 0.25161903  0.28118224  0.13480567 ..., -0.03004445  0.00178416
 -0.03937933]","[-0.51072726  0.21485208 -0.29046612 ...,  0.01696539  0.05890061
  0.04576042]","[ 0.14135022  0.2364223   0.1638123  ..., -0.03393874 -0.07338453
 -0.04997562]","[ 0.32094594 -0.27022389  0.09188386 ..., -0.07323044  0.01180635
 -0.0395727 ]","[-0.21257289 -0.08322783 -0.02456249 ..., -0.07862166  0.03020553
 -0.03220351]","[ 0.04001595  0.22828873 -0.19056676 ..., -0.02578942 -0.07213789
 -0.06395738]","[ 0.12901473 -0.13641988  0.24097117 ..., -0.05560201  0.01149247
 -0.00409517]"
"[ 0.24969486  0.25052542  0.13438401 ..., -0.11043048  0.00637786
  0.02053075]","[ 0.31643381  0.23612338 -0.16204793 ..., -0.03263985 -0.05066165
  0.03948086]","[ 0.16787305 -0.0195555   0.31841123 ..., -0.00913011  0.00530712
 -0.00807851]","[ 0.251785    0.28044547  0.13362266 ..., -0.03022659  0.00095169
 -0.03782715]","[-0.51330125  0.21645333 -0.29620324 ...,  0.02081748  0.06153807
  0.0464723 ]","[ 0.13997132  0.23551096  0.16361341 ..., -0.03630036 -0.07499808
 -0.0529268 ]","[ 0.32041301 -0.26988783  0.09001518 ..., -0.07664051  0.00596234
 -0.0369363 ]","[-0.21206718 -0.08246147 -0.02578373 ..., -0.08096406  0.03451497
 -0.03406425]","[ 0.04126919  0.22925017 -0.18842062 ..., -0.02557252 -0.07379665
 -0.0605201 ]","[  1.29757335e-01  -1.35868616e-01   2.46622198e-01 ...,  -5.58103767e-02
   1.03382954e-02   1.08909452e-04]"
"[ 0.24533081  0.2585709   0.13178759 ..., -0.1133269   0.00544957
  0.02002404]","[ 0.31462384  0.23447452 -0.1631905  ..., -0.03387375 -0.05242665
  0.03816703]","[ 0.1676434  -0.02218415  0.31895896 ..., -0.01038097  0.00549318
 -0.00791468]","[ 0.25234393  0.2803832   0.13327853 ..., -0.03104784  0.0028023
 -0.03712009]","[-0.51775283  0.21764934 -0.3016166  ...,  0.02491022  0.06430908
  0.04907582]","[ 0.13848206  0.23520606  0.16499981 ..., -0.03936117 -0.07827148
 -0.05717978]","[ 0.3172279  -0.27047176  0.08891321 ..., -0.07691448  0.00155091
 -0.03924963]","[-0.21178578 -0.08001735 -0.02861912 ..., -0.08169026  0.03463507
 -0.03395507]","[ 0.03988454  0.23017798 -0.18916113 ..., -0.026621   -0.07370504
 -0.06041075]","[ 0.12946986 -0.13665335  0.25092687 ..., -0.05502285  0.00917362
  0.00162775]"
"[ 0.23901575  0.27006461  0.13076257 ..., -0.11347288  0.00210639
  0.02068036]","[ 0.31352604  0.23655253 -0.16365517 ..., -0.0356335  -0.05289375
  0.03809877]","[ 0.16642913 -0.02734938  0.31905972 ..., -0.01074858  0.00627822
 -0.00934374]","[ 0.25257802  0.28054815  0.1326113  ..., -0.03106718  0.00460011
 -0.03762708]","[-0.52386791  0.21681033 -0.30863266 ...,  0.02888135  0.06946448
  0.05310064]","[ 0.13642441  0.23558536  0.1664386  ..., -0.04489372 -0.08116527
 -0.06078384]","[ 0.31429254 -0.27208046  0.08728277 ..., -0.0779741  -0.00298623
 -0.03969525]","[-0.21194561 -0.079696   -0.03119136 ..., -0.08231556  0.0345493
 -0.03591829]","[ 0.03990026  0.22917429 -0.18884539 ..., -0.03047518 -0.0691725
 -0.06516396]","[ 0.12694871 -0.13577181  0.25192359 ..., -0.05559591  0.00754755
  0.00384605]"
"[ 0.23735765  0.27627897  0.13138379 ..., -0.1108253   0.00092593
  0.02361944]","[ 0.31170652  0.23131321 -0.16739681 ..., -0.03628727 -0.05433494
  0.03923115]","[ 0.16569552 -0.03039349  0.31831592 ..., -0.01101641  0.00583037
 -0.00948355]","[ 0.25270401  0.28133364  0.13269237 ..., -0.02986733  0.00542931
 -0.03909793]","[-0.53021343  0.21630581 -0.31601914 ...,  0.03322917  0.07591686
  0.05505497]","[ 0.13170213  0.2377512   0.16747724 ..., -0.05290858 -0.08653282
 -0.06466114]","[ 0.3129836  -0.27420656  0.08775715 ..., -0.0825244  -0.0041172
 -0.04001251]","[-0.21191207 -0.07971409 -0.03242408 ..., -0.08279536  0.03814112
 -0.03636389]","[ 0.04148235  0.22825833 -0.18848691 ..., -0.03165755 -0.06850393
 -0.07035141]","[ 0.12665813 -0.13679274  0.25313917 ..., -0.05580936  0.00692253
  0.00381897]"
"[ 0.23861218  0.27920932  0.12761151 ..., -0.10552572 -0.00299575
  0.02509754]","[ 0.31017691  0.22683541 -0.17063324 ..., -0.03464464 -0.05468933
  0.04037438]","[ 0.16763226 -0.03263053  0.31757416 ..., -0.00987808  0.0057934
 -0.00983021]","[ 0.25231177  0.28069257  0.13342554 ..., -0.0285839   0.00564945
 -0.03923621]","[-0.53647044  0.22144969 -0.32111315 ...,  0.03844669  0.08246948
  0.05315179]","[ 0.12907687  0.24070677  0.16980492 ..., -0.06324044 -0.09143252
 -0.06792946]","[ 0.31302493 -0.27378355  0.08884584 ..., -0.0856995  -0.00283555
 -0.04143997]","[-0.21223891 -0.08134863 -0.03015831 ..., -0.08445603  0.04137001
 -0.03475226]","[ 0.04192436  0.22976811 -0.19440109 ..., -0.03516242 -0.07467336
 -0.07626076]","[ 0.1289531  -0.13701844  0.24972437 ..., -0.05449439  0.00808614
  0.00143011]"
"[ 0.24150383  0.2778523   0.12248356 ..., -0.10238214 -0.00589006
  0.02491957]","[ 0.30935433  0.22445007 -0.17415863 ..., -0.03262943 -0.0534897
  0.04196639]","[ 0.169024   -0.03707085  0.31725008 ..., -0.00902216  0.00481438
 -0.01055034]","[ 0.25168686  0.2783857   0.13434672 ..., -0.02699148  0.00516185
 -0.04059812]","[-0.53984629  0.22227905 -0.32366939 ...,  0.04034855  0.08633717
  0.05039243]","[ 0.12713559  0.24215336  0.1689624  ..., -0.06848852 -0.09555741
 -0.07431055]","[ 0.31327715 -0.27307647  0.08925677 ..., -0.09011067 -0.00206644
 -0.04258648]","[-0.21294793 -0.07935893 -0.03084008 ..., -0.08554698  0.0417829
 -0.03280624]","[ 0.04109585  0.23165298 -0.19816107 ..., -0.03711977 -0.07852449
 -0.07909613]","[ 0.13116532 -0.13542837  0.24581986 ..., -0.05680394  0.01024663
  0.00189876]"
"[ 0.23835545  0.28817944  0.11478693 ..., -0.10014323 -0.00683557
  0.02301203]","[ 0.30745514  0.22168164 -0.1775203  ..., -0.03100361 -0.05110565
  0.04377555]","[ 0.16877677 -0.03992395  0.3171581  ..., -0.01064729  0.00446422
 -0.01003745]","[ 0.25060499  0.27769166  0.13535167 ..., -0.02769838  0.00434414
 -0.04297373]","[-0.54185825  0.21950964 -0.32453465 ...,  0.04313889  0.08732836
  0.04982385]","[ 0.12773998  0.24545153  0.16792123 ..., -0.06972866 -0.09667575
 -0.0799947 ]","[ 0.31304606 -0.27207017  0.08842894 ..., -0.09621184 -0.00519263
 -0.04203429]","[-0.21253012 -0.07532623 -0.03366734 ..., -0.08385557  0.041458   -0.03420281]","[ 0.04088586  0.22964105 -0.19908551 ..., -0.03805702 -0.07856601
 -0.08050966]","[ 0.1354312  -0.13398515  0.2426681  ..., -0.05658757  0.01108994
  0.00192683]"
"[ 0.23231602  0.29622476  0.10571214 ..., -0.09776316 -0.00728669
  0.01660261]","[ 0.30681537  0.21718376 -0.18282775 ..., -0.02962916 -0.04437652
  0.04621668]","[ 0.16793397 -0.04115802  0.31728799 ..., -0.01581898  0.00339363
 -0.00727275]","[ 0.25057679  0.27783651  0.1359019  ..., -0.02965631  0.00450776
 -0.04497069]","[-0.55133962  0.22224745 -0.33124435 ...,  0.04338206  0.0890124
  0.04401541]","[ 0.12811101  0.24738543  0.16705388 ..., -0.07047628 -0.09934535
 -0.08285686]","[ 0.31357824 -0.27337609  0.08879473 ..., -0.10691411 -0.00614363
 -0.03727062]","[-0.21243181 -0.07283541 -0.0380553  ..., -0.08301964  0.04026607
 -0.03650589]","[ 0.03606302  0.22561637 -0.19922742 ..., -0.03977199 -0.07644464
 -0.0832365 ]","[ 0.13741206 -0.1323012   0.2476922  ..., -0.05403754  0.00988731
  0.00198289]"
"[ 0.23310267  0.29417084  0.1060122  ..., -0.09768378 -0.00922429
  0.01382415]","[ 0.30543673  0.21171301 -0.18330988 ..., -0.02467113 -0.04164656
  0.05135314]","[ 0.16724457 -0.04159807  0.31758218 ..., -0.02114873  0.0026716
 -0.00414625]","[ 0.25282558  0.27699628  0.13618761 ..., -0.02934487  0.00384828
 -0.04729335]","[-0.56299377  0.2298434  -0.3387679  ...,  0.04357914  0.0947427
  0.04046287]","[ 0.13083384  0.24955843  0.16724158 ..., -0.07210272 -0.10059402
 -0.08620291]","[ 0.3128743  -0.27402283  0.09065734 ..., -0.1139727  -0.0087473
 -0.03380357]","[-0.21321796 -0.07427434 -0.03876838 ..., -0.08297326  0.04061804
 -0.03827939]","[ 0.0357085   0.22079792 -0.20044074 ..., -0.04317522 -0.07477474
 -0.08471611]","[ 0.13822428 -0.13118888  0.25056925 ..., -0.05470584  0.007706    0.00937342]"
"[ 0.23188954  0.29221884  0.11346241 ..., -0.09852828 -0.01406188
  0.01128119]","[ 0.30512923  0.20810663 -0.17982986 ..., -0.01980906 -0.0380162
  0.05395561]","[ 0.16619277 -0.04005711  0.31782342 ..., -0.02374527  0.00130389
  0.00092378]","[ 0.25399079  0.277098    0.13670274 ..., -0.02832202  0.00296478
 -0.05023876]","[-0.57622483  0.24036714 -0.34627105 ...,  0.04399879  0.10188008
  0.03549602]","[ 0.12896901  0.24988946  0.16679857 ..., -0.06959772 -0.10079712
 -0.08697763]","[ 0.31112131 -0.27293707  0.09156327 ..., -0.11965013 -0.0087188
 -0.02815717]","[-0.21412536 -0.07514741 -0.03917533 ..., -0.07901208  0.04443435
 -0.03584018]","[ 0.03038231  0.21798431 -0.20355815 ..., -0.04200987 -0.07588891
 -0.08568544]","[ 0.13777724 -0.13070847  0.25155596 ..., -0.05483886  0.00798786
  0.01298225]"
"[ 0.2325046   0.2851945   0.12076977 ..., -0.09885719 -0.01900551
  0.01003733]","[ 0.30494359  0.20070514 -0.17989672 ..., -0.01236093 -0.03354054
  0.0561072 ]","[ 0.16847238 -0.03733074  0.31726949 ..., -0.02479748  0.00045748
  0.00401582]","[ 0.2541113   0.27846458  0.1371138  ..., -0.0266687   0.00257738
 -0.05146108]","[-0.58134174  0.24644185 -0.34748191 ...,  0.04307109  0.1093413
  0.03144197]","[ 0.12327411  0.25174119  0.16532909 ..., -0.06834553 -0.10123968
 -0.08896442]","[ 0.30701961 -0.27238039  0.08942872 ..., -0.12240169 -0.00768864
 -0.02172428]","[-0.21382956 -0.0751294  -0.03766858 ..., -0.07609684  0.04482415
 -0.03700967]","[ 0.02286444  0.21646318 -0.20857135 ..., -0.03708393 -0.07580086
 -0.08581511]","[ 0.13770352 -0.1301682   0.25048267 ..., -0.05607801  0.00895465
  0.01430998]"
"[ 0.23525577  0.28127216  0.12817406 ..., -0.102265   -0.02483034
  0.00577126]","[ 0.30106524  0.19223969 -0.18248    ..., -0.00683857 -0.02964508
  0.06040894]","[ 0.17045054 -0.03643603  0.31702067 ..., -0.02619268  0.0028491
  0.00593312]","[ 0.25335281  0.27835147  0.13688339 ..., -0.02476217  0.00267075
 -0.05296686]","[-0.58913175  0.25328986 -0.34752552 ...,  0.04254707  0.11560108
  0.02902461]","[ 0.12027294  0.25601768  0.16577966 ..., -0.06867968 -0.1004347
 -0.09236335]","[ 0.30319004 -0.27182684  0.0879975  ..., -0.12020186 -0.00680893
 -0.02008708]","[-0.21388334 -0.07450441 -0.03913009 ..., -0.0763462   0.04601425
 -0.03952369]","[ 0.02136477  0.21355068 -0.20676185 ..., -0.03732305 -0.07688677
 -0.08591913]","[ 0.13617313 -0.12878641  0.25365729 ..., -0.0562385   0.00706649
  0.01498746]"
"[ 0.23753712  0.27677293  0.13148309 ..., -0.10859666 -0.0312615  -0.0040936 ]","[ 0.29414954  0.18590487 -0.18188172 ..., -0.00666907 -0.02678735
  0.06863782]","[ 0.1716905  -0.03785626  0.31594332 ..., -0.02591515  0.00771864
  0.00678288]","[ 0.25350919  0.27829288  0.13790636 ..., -0.02490401  0.00218862
 -0.0539807 ]","[-0.59604994  0.26083616 -0.34663972 ...,  0.04039345  0.12127342
  0.02722212]","[ 0.11990518  0.26232628  0.16625797 ..., -0.07192681 -0.09826684
 -0.09383212]","[ 0.30277858 -0.27207375  0.08846998 ..., -0.12349548 -0.00559561
 -0.02041791]","[-0.21453664 -0.07299918 -0.04074996 ..., -0.07939165  0.04416748
 -0.04027732]","[ 0.02121045  0.21899627 -0.20724012 ..., -0.04126469 -0.0758502
 -0.08794377]","[ 0.13718996 -0.12744869  0.25493917 ..., -0.05441056  0.00552003
  0.01141455]"
"[ 0.23817523  0.2762286   0.13391713 ..., -0.11286198 -0.03309882
 -0.00568526]","[ 0.28970095  0.18360583 -0.1759339  ..., -0.00600874 -0.02907432
  0.08058323]","[ 0.17151206 -0.04250276  0.3154381  ..., -0.02680298  0.01073534
  0.0096937 ]","[ 0.253666    0.27779795  0.13868371 ..., -0.02236311  0.00157276
 -0.05353713]","[-0.60765996  0.26704002 -0.34547082 ...,  0.03752351  0.12656087
  0.02624966]","[ 0.12231073  0.2705404   0.16499829 ..., -0.07571086 -0.09900638
 -0.09426861]","[ 0.30185725 -0.27224496  0.09044006 ..., -0.12818239 -0.00318728
 -0.01823271]","[-0.21549054 -0.07176857 -0.0415591  ..., -0.08278805  0.04332905
 -0.03977781]","[ 0.01791459  0.23187029 -0.21489257 ..., -0.0438078  -0.07425468
 -0.08998808]","[ 0.13570125 -0.12754824  0.25582893 ..., -0.05345074  0.00522119
  0.01036714]"
"[ 0.23847542  0.27648895  0.13550636 ..., -0.11325176 -0.03654307
 -0.00616464]","[ 0.29240388  0.18055767 -0.17403494 ..., -0.00457158 -0.02983432
  0.08982635]","[ 0.17294861 -0.04649955  0.3150392  ..., -0.02739646  0.01385368
  0.01179874]","[ 0.25471456  0.27982821  0.13899531 ..., -0.01958638  0.00148445
 -0.05335073]","[-0.61985065  0.27145695 -0.34807644 ...,  0.03323317  0.12983556
  0.02596265]","[ 0.12763973  0.27790765  0.16247098 ..., -0.07637538 -0.09792021
 -0.09751686]","[ 0.29916764 -0.27147752  0.09178075 ..., -0.1313258   0.0022646
 -0.01650435]","[-0.21642141 -0.07117055 -0.04355447 ..., -0.08413552  0.04291489
 -0.03965019]","[ 0.01719422  0.23535312 -0.21162721 ..., -0.0438742  -0.07583506
 -0.09286623]","[ 0.13489226 -0.1276539   0.25431987 ..., -0.05455079  0.00450551
  0.01106802]"
"[ 0.23895838  0.2768927   0.13925719 ..., -0.11019802 -0.04410472
 -0.01048134]","[ 0.29314577  0.17340168 -0.17265441 ...,  0.00147592 -0.02923006
  0.09610815]","[ 0.17220775 -0.04759826  0.31479396 ..., -0.02909144  0.01492569
  0.01335802]","[ 0.25480631  0.27892049  0.14001874 ..., -0.018124    0.00378449
 -0.05312225]","[-0.62497106  0.27020363 -0.35246812 ...,  0.0297269   0.13492549
  0.02593272]","[ 0.12830139  0.28868266  0.16414879 ..., -0.07294872 -0.09749314
 -0.09850067]","[ 0.29375094 -0.27149034  0.09193701 ..., -0.13426481  0.00413395
 -0.01381617]","[-0.21652249 -0.07054176 -0.04455342 ..., -0.08446562  0.04355626
 -0.04085203]","[ 0.01465169  0.23457545 -0.2091495  ..., -0.04200005 -0.07187035
 -0.0950141 ]","[ 0.13414019 -0.1283194   0.25482199 ..., -0.05535008  0.0053536
  0.00974876]"
"[ 0.24023945  0.27688757  0.14468761 ..., -0.10698045 -0.04516481
 -0.01134066]","[ 0.29267384  0.17365572 -0.17447984 ...,  0.00624408 -0.02528138
  0.09978895]","[ 0.17049805 -0.04620702  0.31438624 ..., -0.03159531  0.01399417
  0.01344415]","[ 0.25347496  0.27748923  0.14085796 ..., -0.01848875  0.00612373
 -0.04824157]","[-0.62286614  0.2686258  -0.34831136 ...,  0.02825792  0.13906323
  0.02557844]","[ 0.12408451  0.29490997  0.16315847 ..., -0.07119289 -0.09490799
 -0.09842363]","[ 0.29093786 -0.27193816  0.08883221 ..., -0.13790698  0.00525918
 -0.01170241]","[-0.21661572 -0.06979831 -0.04393639 ..., -0.08351379  0.04651592
 -0.0406482 ]","[ 0.01497162  0.23384584 -0.2117433  ..., -0.03824958 -0.07208653
 -0.09672116]","[ 0.1333294  -0.12886157  0.25366784 ..., -0.0572491   0.00410893
  0.01051919]"
"[ 0.24184654  0.27937064  0.14642261 ..., -0.10490457 -0.04506438
 -0.0096114 ]","[ 0.28746404  0.17328754 -0.18243004 ...,  0.01061705 -0.02524686
  0.1045713 ]","[ 0.1720115  -0.04390405  0.31374229 ..., -0.03197285  0.01407015
  0.0142924 ]","[ 0.25212364  0.2762664   0.14000678 ..., -0.0176455   0.00436419
 -0.04574881]","[-0.62116666  0.27096097 -0.3471076  ...,  0.02653473  0.14246873
  0.02611564]","[ 0.11922241  0.30581734  0.1628849  ..., -0.06933816 -0.09284279
 -0.09362579]","[ 0.28695649 -0.27339256  0.08470155 ..., -0.14027147  0.00523976
 -0.0082463 ]","[-0.21596529 -0.06973525 -0.04519901 ..., -0.08459038  0.04937727
 -0.03821913]","[ 0.01639953  0.2444643  -0.21124215 ..., -0.03137408 -0.07663012
 -0.09816267]","[ 0.13097929 -0.12855861  0.25341805 ..., -0.05883534  0.00217871
  0.01138464]"
"[ 0.24361335  0.28230835  0.15030507 ..., -0.09897611 -0.05127971
 -0.00882219]","[ 0.28234935  0.16825981 -0.19077623 ...,  0.01165945 -0.02817236
  0.11201003]","[ 0.17354466 -0.04122919  0.31330141 ..., -0.03091679  0.01511072
  0.01392555]","[ 0.2506363   0.27575029  0.13974179 ..., -0.02001239  0.00317847
 -0.04386959]","[-0.61986769  0.27232676 -0.34661618 ...,  0.01993317  0.14475805
  0.02320094]","[ 0.11594125  0.30826855  0.1614979  ..., -0.06645189 -0.08976852
 -0.09278984]","[ 0.28436228 -0.27535563  0.08485026 ..., -0.14392102  0.00633343
 -0.00595291]","[-0.21505132 -0.06979688 -0.04382107 ..., -0.08768318  0.04842958
 -0.0351141 ]","[ 0.02075701  0.26244205 -0.21239499 ..., -0.02659973 -0.07917837
 -0.1010385 ]","[ 0.13370779 -0.12836461  0.25111467 ..., -0.06120917  0.00323692
  0.00953221]"
"[ 0.2444536   0.28705181  0.15239883 ..., -0.0951074  -0.05418534
 -0.01046515]","[ 0.28079545  0.16137789 -0.19690247 ...,  0.01247175 -0.03217067
  0.11860052]","[ 0.17445778 -0.03933954  0.31284795 ..., -0.02952281  0.01844179
  0.01273612]","[ 0.25091885  0.27406126  0.13916615 ..., -0.02102316  0.00072106
 -0.04362334]","[-0.62271979  0.27641071 -0.35157162 ...,  0.01634604  0.14819258
  0.0193663 ]","[ 0.11043202  0.30843808  0.15487448 ..., -0.06790041 -0.09765418
 -0.08816272]","[ 0.28435333 -0.277248    0.08623738 ..., -0.14485809  0.00764221
 -0.0030952 ]","[-0.21418856 -0.06872539 -0.04188847 ..., -0.08874814  0.04753913
 -0.03605128]","[ 0.02348898  0.27786343 -0.22172824 ..., -0.02920444 -0.07825148
 -0.10558183]","[ 0.13602719 -0.1284872   0.25026343 ..., -0.06592978  0.00323598
  0.0067426 ]"
"[ 0.24893903  0.28435813  0.15334278 ..., -0.09547474 -0.05292221
 -0.01220815]","[ 0.2802354   0.15911524 -0.19440707 ...,  0.01530774 -0.03785374
  0.12076952]","[ 0.17470773 -0.03914666  0.31237093 ..., -0.03008669  0.02114112
  0.0146176 ]","[ 0.25153005  0.2735352   0.13881289 ..., -0.02030069 -0.00216751
 -0.04083645]","[-0.62788295  0.28109093 -0.35614813 ...,  0.01334814  0.1523173
  0.01811924]","[ 0.10635434  0.31184663  0.14986045 ..., -0.07032903 -0.10617426 -0.089357  ]","[ 0.28456297 -0.27802361  0.0867093  ..., -0.14424556  0.0091873
  0.00076705]","[-0.21336681 -0.06800874 -0.03975685 ..., -0.09250258  0.04526674
 -0.03601061]","[ 0.02202857  0.28578977 -0.22798472 ..., -0.03144891 -0.07812398
 -0.11294395]","[ 0.13651165 -0.12791638  0.2481208  ..., -0.06716512  0.00375341
  0.00386591]"
"[ 0.25019636  0.27566559  0.15264538 ..., -0.10144567 -0.05427472
 -0.00699281]","[ 0.27883863  0.16042314 -0.1937536  ...,  0.02195062 -0.03988268
  0.12228965]","[ 0.17543698 -0.04343451  0.31241292 ..., -0.03299203  0.02321846
  0.01692308]","[ 0.25263045  0.27085088  0.13987569 ..., -0.01892684 -0.00373259
 -0.04010543]","[-0.63064847  0.28350447 -0.35439126 ...,  0.00995511  0.15693466
  0.0172926 ]","[ 0.10099     0.31575431  0.14749114 ..., -0.07467642 -0.10732788
 -0.09267194]","[ 0.2835395  -0.27868017  0.08950236 ..., -0.14474681  0.00901543
  0.0019253 ]","[-0.21316614 -0.0673261  -0.03595558 ..., -0.09867292  0.04216652
 -0.0347833 ]","[ 0.02093983  0.29221381 -0.22929482 ..., -0.03171078 -0.07778266
 -0.11752195]","[ 0.13553309 -0.12793623  0.24763988 ..., -0.0691522   0.00489665
  0.00225271]"
"[ 0.25315936  0.27020745  0.15100741 ..., -0.10421175 -0.0541175   0.0003968 ]","[ 0.27946682  0.16356693 -0.19414545 ...,  0.02723827 -0.03979209
  0.12584875]","[ 0.17445025 -0.04663072  0.31293111 ..., -0.03729085  0.02381756
  0.01973145]","[ 0.25443652  0.26732051  0.14050267 ..., -0.0171494  -0.00414248
 -0.0432881 ]","[-0.63275379  0.28817011 -0.3534274  ...,  0.00570767  0.15577253
  0.01436111]","[ 0.1012793   0.32390009  0.14727057 ..., -0.07699936 -0.10541563
 -0.09436541]","[ 0.27957211 -0.27952707  0.09085253 ..., -0.14564453  0.01021491
  0.00454819]","[-0.21291492 -0.06590093 -0.03525526 ..., -0.10299814  0.04447663
 -0.03218509]","[ 0.01928058  0.29834828 -0.22542499 ..., -0.02831186 -0.08171098
 -0.1181564 ]","[ 0.13582498 -0.12704939  0.24863164 ..., -0.07128422  0.00658363
  0.00741843]"
"[ 0.25662716  0.27183346  0.15203173 ..., -0.10285554 -0.05193391
  0.00454152]","[ 0.27759771  0.16419911 -0.19470404 ...,  0.02460605 -0.03899322
  0.13368216]","[ 0.17062419 -0.04794579  0.31272605 ..., -0.04218646  0.02425165
  0.02195508]","[ 0.25356193  0.26484692  0.14101436 ..., -0.01321218 -0.00488491
 -0.04418694]","[-0.63706538  0.28836413 -0.35013705 ...,  0.00573593  0.15464106
  0.01448137]","[ 0.10283721  0.32942257  0.1464873  ..., -0.07944799 -0.10249836
 -0.09286065]","[ 0.27754935 -0.28014423  0.08989193 ..., -0.14807865  0.01005402
  0.00703954]","[-0.21157436 -0.06528445 -0.03475264 ..., -0.10724837  0.0443293
 -0.03077132]","[ 0.02061382  0.30274185 -0.2265223  ..., -0.02352784 -0.08422609
 -0.11909929]","[ 0.13560774 -0.12753993  0.25361986 ..., -0.07408876  0.00748201
  0.0095267 ]"
"[ 0.259508    0.27064336  0.15210945 ..., -0.10647352 -0.04969923
  0.00447276]","[ 0.27748146  0.16925574 -0.1966246  ...,  0.01913466 -0.03949944
  0.1375492 ]","[ 0.16865504 -0.05369852  0.31239858 ..., -0.04194386  0.02509046
  0.02244963]","[ 0.25440156  0.26349781  0.14160006 ..., -0.00903604 -0.00825272
 -0.04351281]","[-0.6464211   0.29370127 -0.35302466 ...,  0.00567246  0.15702726
  0.01931601]","[ 0.10471434  0.33405348  0.14589712 ..., -0.08278309 -0.09890216
 -0.09187439]","[ 0.27573968 -0.28102764  0.0880401  ..., -0.14991674  0.01058625
  0.0090612 ]","[-0.21088648 -0.0644816  -0.03449797 ..., -0.10871952  0.04135858
 -0.03148739]","[ 0.02332801  0.30324667 -0.22924219 ..., -0.02626391 -0.08354595
 -0.12096106]","[ 0.13638205 -0.12870287  0.25684455 ..., -0.07837917  0.00648207
  0.01001714]"
"[ 0.26643105  0.26778982  0.15114859 ..., -0.11253803 -0.04707454
  0.00915267]","[ 0.27819619  0.16993686 -0.19501985 ...,  0.02129073 -0.04193929
  0.14423799]","[ 0.16843496 -0.05601112  0.31076137 ..., -0.04149524  0.02673038
  0.0249967 ]","[ 0.25584472  0.26306598  0.14167404 ..., -0.0078878  -0.00954412
 -0.04451433]","[-0.6535784   0.29786359 -0.35732357 ...,  0.0080298   0.15836349
  0.02294665]","[ 0.10420345  0.34029511  0.14304163 ..., -0.085295   -0.10051185
 -0.09106155]","[ 0.27757076 -0.2806898   0.08684827 ..., -0.15153632  0.00982633
  0.01406992]","[-0.21095841 -0.06324474 -0.03385264 ..., -0.11189715  0.03996526
 -0.03143665]","[ 0.02184963  0.29670794 -0.23209676 ..., -0.02539772 -0.08530621
 -0.1195735 ]","[ 0.13406963 -0.13005205  0.25610615 ..., -0.0837943   0.00525165
  0.00987034]"
"[ 0.27395996  0.26980734  0.14918494 ..., -0.11113934 -0.04342267
  0.01627293]","[ 0.27653303  0.17012168 -0.19376521 ...,  0.02577891 -0.03877904
  0.14594306]","[ 0.16923042 -0.0559968   0.3092515  ..., -0.04324114  0.02864024
  0.02884002]","[ 0.25799605  0.26428823  0.14129095 ..., -0.00430726 -0.0106578
 -0.04474677]","[-0.66260763  0.3040162  -0.35693233 ...,  0.00785851  0.15836545
  0.01957527]","[ 0.10618557  0.3516903   0.13670399 ..., -0.08960307 -0.10390328
 -0.09277618]","[ 0.2782463  -0.28116462  0.08770391 ..., -0.15255653  0.00912474
  0.01469326]","[-0.21153818 -0.06191985 -0.03400755 ..., -0.11605437  0.03978477
 -0.0315507 ]","[ 0.01788413  0.29336224 -0.23414566 ..., -0.01960426 -0.08816798
 -0.12084857]","[ 0.13336266 -0.13063162  0.25609845 ..., -0.08570576  0.00457729
  0.00869601]"
"[ 0.27758748  0.26917725  0.15402651 ..., -0.10734025 -0.04233536
  0.02025261]","[ 0.27548485  0.17318658 -0.19324625 ...,  0.02570603 -0.03778041
  0.1433978 ]","[ 0.16814925 -0.05468782  0.30831461 ..., -0.04180475  0.03072526
  0.03373493]","[  2.58906257e-01   2.65306147e-01   1.40636302e-01 ...,   5.19296504e-05
  -1.16906820e-02  -4.49944836e-02]","[-0.66729123  0.31023994 -0.35400301 ...,  0.00731046  0.15556861
  0.01678835]","[ 0.1078706   0.36272437  0.13669591 ..., -0.09566744 -0.10517224
 -0.09684637]","[ 0.27720853 -0.28104305  0.09013652 ..., -0.15582906  0.00942021
  0.01634442]","[-0.21210059 -0.0612255  -0.03537246 ..., -0.11953992  0.03886707
 -0.03119048]","[ 0.01351701  0.29295048 -0.23131095 ..., -0.01595891 -0.09148866
 -0.12280481]","[ 0.13473055 -0.13104592  0.25192746 ..., -0.08941229  0.00929588
  0.00767589]"
