,diffLr0,diffLr1,diffLr2,diffLr3,diffLr4,diffLr5,diffLr6,diffLr7,diffLr8,diffLr9
15,9.138869518802994e-06,1.080895539770693e-05,5.666498910708581e-06,5.105316196559302e-06,1.1473295897336256e-05,1.5772485230476165e-05,2.0165006196247123e-05,8.653377225556833e-06,6.6665116056333165e-06,8.206768305512651e-06
16,9.58597052222391e-06,1.1110723411625044e-05,5.894646994313789e-06,5.9803282710273675e-06,1.0701200605689061e-05,1.51443596240625e-05,8.928616192524509e-06,1.1209825214956195e-05,6.53464457619196e-06,9.1429967595746e-06
17,1.1125444470867791e-05,1.578210022382657e-05,3.683224226291998e-06,6.831059125391099e-06,5.463067613589761e-06,1.202033670214519e-05,1.7066745375222348e-05,1.417480345515075e-05,4.186975368463403e-06,8.922775594649496e-06
18,4.6071681204878004e-06,1.0412692008479685e-05,8.360157295826322e-06,6.458811747608601e-06,9.770366852005048e-06,1.2069241074015411e-05,6.522952216484054e-06,1.538715113478998e-05,5.812375829344802e-06,8.47466355622749e-06
19,9.084518322469985e-06,1.76266723080936e-05,8.072050990560634e-06,5.717052793540586e-06,8.10298566102854e-06,5.208873236589175e-06,1.2974771965919423e-05,1.3239414326635175e-05,4.793045089394387e-06,4.726156918685439e-06
20,1.191490192209488e-05,1.2083496807602697e-05,5.6666292958804824e-06,4.744860031633053e-06,1.1017879344248668e-05,7.975105334563946e-06,1.024452539414742e-05,1.7898133666644997e-05,5.05962430621135e-06,6.299841570153769e-06
21,9.749658146475676e-06,1.1454704971367724e-05,1.1189510407369748e-05,7.1945307207297764e-06,7.130144944180303e-06,7.954513429834754e-06,1.1097545435870737e-05,1.1952732603146435e-05,8.11368582499777e-06,8.946918533905666e-06
22,8.779601782858202e-06,2.0943818973379834e-05,6.151702620314367e-06,6.224132217744193e-06,1.5417644640335715e-05,7.229642893260203e-06,6.086369668025583e-06,1.2927151996436132e-05,7.581728013484527e-06,6.975787862987164e-06
23,8.989036078639689e-06,1.6585685632678072e-05,9.32480603112915e-06,5.850520238192511e-06,7.181360669496626e-06,7.787627575211078e-06,9.640087920903382e-06,1.5927517305060613e-05,7.962364804056185e-06,9.042054345300354e-06
24,1.6869587305081653e-05,1.93005249790377e-05,7.909588952672125e-06,4.560435142735006e-06,5.184442558612305e-06,1.1259793423383414e-05,1.943774813221786e-06,1.6930432459648064e-05,5.895149050832172e-06,9.105354602795456e-06
25,1.6487997031712196e-05,1.4795046642785098e-05,6.468627767644967e-06,9.559910897192059e-06,4.531064065461132e-06,1.5199729568563443e-05,1.6273792950177062e-05,1.1562939109916065e-05,5.792461356942445e-06,6.473261612914749e-06
26,6.449501937951134e-06,1.3179146020358753e-05,1.3558636061951164e-05,4.7692451583159565e-06,8.149926146847116e-06,-2.932353109205653e-06,1.0809248484417278e-05,1.3647558555400425e-05,7.827307586445265e-06,8.227691961065122e-06
27,1.4247451598930603e-05,2.1696587720285318e-05,8.018221672569508e-06,3.507690396568005e-06,7.020216343578357e-06,1.6604187820156765e-05,6.883587779217081e-06,1.222593887506689e-05,6.910570105892202e-06,5.655010956715432e-06
28,1.9294603809709922e-05,1.3627685713928017e-05,7.999099129983897e-06,5.5711170710466585e-06,9.576822003161994e-06,9.424006179797869e-06,1.1928608251587547e-05,1.880748158164112e-05,5.8185085207383695e-06,8.515712809637798e-06
29,1.3206344904972032e-05,2.14639567429106e-05,1.040440291193026e-05,5.182330715355843e-06,1.0234374679547063e-05,1.0968172259625146e-05,1.06477366610245e-05,1.0366302478289183e-05,5.370743134459475e-06,9.947085799631663e-06
30,9.41151532348751e-06,1.4698745342465365e-05,8.003728028540661e-06,7.579883529085888e-06,1.9106127636568544e-05,1.350997029637961e-05,6.413951061255182e-06,1.0145092734361895e-05,7.697503964184258e-06,9.198191942288333e-06
31,1.3225860927397289e-05,2.137443581013851e-05,1.1597865075859641e-05,1.0193035485261907e-05,1.3009466915002512e-05,1.2533259276125413e-05,1.6089271715543147e-05,1.3802518443370294e-05,1.0054732344151406e-05,1.0379029383677217e-05
32,1.0322787121020318e-05,1.8910649238871086e-05,9.615210122315721e-06,8.974701212810386e-06,9.456423383951025e-06,7.108238979957187e-06,1.5016526942077408e-05,1.190669744252041e-05,6.927122966140245e-06,9.419572145811237e-06
33,4.4983526296867404e-06,2.0375943336044005e-05,7.09940281088146e-06,4.53192902570917e-06,1.2975907868675918e-05,5.261925087377687e-06,1.2980291476272549e-05,1.060063414286566e-05,8.429292790828546e-06,1.2806345717509659e-05
34,5.624363932536184e-06,1.5198861471220417e-05,1.206195416699813e-05,8.051887931019402e-06,8.022491660923734e-06,1.393875539288446e-05,1.6965229430573384e-05,1.5332703599028095e-05,6.13033769333197e-06,8.10282259177721e-06
35,8.166195094340562e-06,2.399175408995112e-05,7.059859383945838e-06,5.824647318217717e-06,1.1606387209414408e-05,5.4601530357998564e-06,8.51708057342337e-06,1.0445942190966291e-05,7.594481778383077e-06,7.610347047827397e-06
36,6.162162765646308e-06,1.9676865572791596e-05,6.471677239298529e-06,9.765110501520795e-06,1.5598623647702923e-05,1.135194810145445e-05,8.187818263259611e-06,1.3078058149912497e-05,8.995986453304246e-06,1.2409444776449611e-05
37,9.578061184225211e-06,1.3433675183227853e-05,6.589813760057007e-06,8.595781690491062e-06,5.909703163480405e-06,1.0858229003738602e-05,6.271408386969256e-06,9.312940412142237e-06,5.332782384645258e-06,7.709997462086804e-06
38,9.790668923179508e-06,1.4849755450922689e-05,7.978053489215289e-06,7.714562707898214e-06,1.219814715934553e-05,6.015206144818952e-06,6.237279065222578e-06,8.510477419065335e-06,6.777468869895703e-06,7.71813260908623e-06
39,9.157723256174529e-06,1.5638649962552958e-05,9.879614014375661e-06,7.417875158737297e-06,7.705716869279006e-06,1.0007219125736523e-05,6.099362433200565e-06,1.6392545013473075e-05,4.6965298978206066e-06,9.294110842974916e-06
40,1.0807963815773912e-05,1.0940752953641218e-05,5.370820828147956e-06,6.028303694719064e-06,1.1239904161941708e-05,6.488706261527588e-06,8.845740238303157e-06,8.26053419763897e-06,6.6730143765207685e-06,1.3790573584293079e-05
41,8.475348993668663e-06,1.735997893332544e-05,7.290118760501867e-06,5.8587863486125325e-06,5.586797806903015e-06,1.3859233789722017e-05,8.381664671529699e-06,7.566093972497605e-06,7.88235072472468e-06,8.339532303284632e-06
42,1.1835615459509712e-05,8.121160487890766e-06,5.6072367804118176e-06,4.856535696077333e-06,1.005681105989745e-05,9.688392561139348e-06,9.849809882714267e-06,1.1148945563250161e-05,6.030245166351211e-06,7.899468270388389e-06
43,1.0796605400338306e-05,1.7441515950023494e-05,4.0423207811989826e-06,6.980752661401404e-06,7.224924560750692e-06,6.742990424505863e-06,1.0915626800648826e-05,1.2616985457189239e-05,1.1062037448848493e-05,1.0674870686394915e-05
44,1.2111874223990928e-05,1.8322949382172776e-05,6.002864358269518e-06,5.378850454439826e-06,8.534045760990224e-06,6.893762655868402e-06,9.219342742933049e-06,1.083176716186889e-05,6.638592704091271e-06,8.925736897845263e-06
45,1.2586584838764536e-05,1.1424817609540075e-05,7.84528923225534e-06,7.218688709373212e-06,9.85861684279619e-06,9.257528943660263e-06,8.978603694967996e-06,8.484465633013492e-06,1.0548309388262623e-05,8.497241574200468e-06
46,1.2323376044500413e-05,1.986678735133478e-05,8.167747625292507e-06,8.161424141426684e-06,5.56108640173058e-06,6.03655253481493e-06,6.789266255327155e-06,7.587042154434298e-06,8.817170859300002e-06,9.765799095444455e-06
47,1.1471575415807199e-05,1.6150621600288243e-05,4.595977249019085e-06,4.637196142168169e-06,9.391377306550509e-06,5.293533455702031e-06,1.2517694078665496e-05,9.65582251692293e-06,7.502574927726961e-06,1.0794201136247937e-05
