rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4
"[ 37.96481058  31.16595841  30.06138926  28.05037489  28.89736775
  25.21654576  28.05037489  34.9197251   31.16595841  32.82790122]","[ -8.21226608   4.50639066  -1.79206524  -1.74022719 -11.41229777
  -9.09882304  -3.22538405  -8.12517244  -8.59937195  -9.17313887]","[-4.11504998 -2.03426643 -0.76462926  0.95042117  2.85038664  1.63063985
  1.81746116 -4.99130118 -1.93086289  2.19467542]","[-10.45313551  -1.47738661  -6.87011635   0.25846289  -9.57991128
  -7.33758186  -4.40315401   3.32176529 -10.19823545  -4.08610368]","[ 28.71421162  24.58573571  25.23237307  28.08273916  29.99833737
  28.99133234  26.42499827  30.27637671  19.46678281  29.42667399]"
"[ 36.32092119  28.21901603  36.32092119  28.21901603  39.00186884
  36.32092119  28.21901603  29.39581073  31.51579223  35.6512532 ]","[ -7.68285563  -1.86254596  -4.93464072   7.42958786  -3.88551043
  -5.90973688  -8.51283028  -1.57423768  -1.4169909  -12.08263117]","[-1.42407803 -5.09262854 -1.25532448  0.31720987 -4.00925882 -4.21856595
 -0.35557257  3.10340156 -0.30913031  1.16120241]","[ -8.41086078  -1.7955995  -16.66605425   2.77596633  -2.46360074
  -9.57427181  -2.51188067  -6.54558054  -5.59065692  -0.76949352]","[ 24.89120068  32.42967779  29.35393695  24.11275151  26.58022541
  24.29713775  27.67963836  32.43945701  21.56960652  24.55122958]"
"[ 35.68747254  32.06794658  26.96960443  31.32046403  40.72135625
  35.68747254  29.71482832  32.95682478  31.63248584  31.91838611]","[ -7.57623069  -7.70102285  -3.08331027   1.71757297   1.52893346
   6.56994879 -11.70551447   6.36111136 -12.80906737  -7.33200159]","[ 1.11315317 -3.29768477 -3.55638383 -3.671925    3.45875221  1.04213588
  1.71560093  3.13293726 -4.7669509   3.28950359]","[  4.09863877   1.78200104  -9.61543196 -10.06711455   0.23812618
   3.98472417   0.91729008  -8.01532532 -12.50076557   3.02745665]","[ 26.1346533   22.67216751  25.21105409  24.90921446  26.00300113
  24.92333393  21.79754387  27.12091542  22.97538769  22.57199123]"
"[ 35.48319486  35.11438002  35.48319486  35.11438002  28.15214253
  34.44981502  34.7645321   35.54171532  34.16308728  34.7645321 ]","[ -7.43573855  -0.61120444  -8.5274717   -0.27577599  -1.82835043
   0.57892727 -10.71601725  -7.80073784  -5.91762224 -10.17223932]","[ 4.54682573  4.27427881  2.39785643 -7.07885779 -1.09232417  4.7607222
 -2.15813443  2.15330972  0.20866677 -1.69662249]","[ -3.16129912  -5.15993379  -0.23047246   2.10125495 -11.1395353
  -1.91320058   2.38980428   3.47347415  -1.26918396  -9.40461184]","[ 34.02856467  21.05858422  28.644096    27.4511191   28.05782874
  26.09387227  27.01372462  31.652778    23.65987074  24.44937458]"
"[ 31.78533349  36.18071318  34.64398891  30.32354939  31.78533349
  36.18071318  36.10187308  31.65402983  31.78533349  30.32354939]","[ -5.62429566 -11.08657488  -3.96650773  -8.26211114  -9.7320523
  -8.20307518  -9.8210197   -4.99178447   1.65574749  -1.60314051]","[ 2.97016521  3.30379652 -3.4409704  -6.61376903  1.28716749 -5.49673027
  0.35060123 -1.5138968  -2.71806924 -1.97111749]","[ -0.23304064 -10.4405529   -7.93960697 -10.05282888  -5.02502003
 -15.69719844  -3.48601896   3.50988427  -8.05526594   0.37007595]","[ 30.48375488  23.73006517  28.50672181  31.01920756  33.45543823
  30.86833366  34.59171864  33.98052581  32.8033512   34.73955339]"
"[ 39.1656406   33.5517625   32.07181741  25.37430899  31.58453471
  32.07181741  35.14750968  36.84978346  29.75668646  30.71218962]","[-12.35992019  -1.85716053  -8.0903657  -12.53007205   2.19789693
  -7.76602224  -3.58377953  -5.28492526  -8.52358072  -4.82920371]","[ 5.46946906  6.22476214 -5.83005421  5.78528055 -3.09365286  1.27536389
 -4.04451725 -4.53701683  6.10886224 -5.3387933 ]","[ -6.58124567   4.04219068  -1.15507672   1.2480775   -7.30210142
  -8.28157347  -6.66961721   0.64500022 -10.89956932  -9.0348777 ]","[ 32.96634919  31.77967699  34.45393043  33.32061649  32.70880916
  38.71618332  33.54840487  35.12476376  29.47028431  32.30972984]"
"[ 26.84245469  36.37886462  33.74435854  35.4243942   34.11209326
  30.69203913  27.98156681  34.82401925  29.8158826   44.04964708]","[ -2.82025022   2.93907705  -1.63797678  -3.92181223  -6.65524048
  -7.12727423  -1.86910652  -4.96636467 -17.68989807  -6.35938995]","[ 2.13669225  0.68612978  1.01368419  5.60628921  1.67664945 -0.21288927
  4.20754001 -6.45629602 -1.00656994 -1.5020443 ]","[ -4.96951125  -5.48700547  -5.83264276  -5.24367905   6.06227039
 -12.00550532 -11.25919393   1.3474363  -12.42398792  -6.70622328]","[ 31.24403825  30.75327207  32.80464908  33.06694856  38.7839381
  30.03735074  33.83531563  38.23849686  32.47003959  38.19449626]"
"[ 36.08242145  35.50919046  39.18976138  30.02654125  36.08242145
  35.50919046  39.95337301  37.03348204  35.50919046  33.93264229]","[-7.0138736  -5.73911007 -2.04405238 -7.00183201 -5.00552801 -0.080716
 -2.51935513  4.35180998 -6.41002896  4.62458005]","[-5.8056727   1.49672275 -0.20374106  0.09834438  2.59781752  5.36925518
  0.68485465 -1.21856538 -1.59196133  2.78343498]","[-0.21135344 -4.42854235 -0.28377587 -1.49162149 -3.04012246 -5.28504386
  1.63031137  3.87653364 -3.31298679 -4.73269536]","[ 38.58724742  44.04766137  41.73606654  34.94503908  40.05175371
  33.41331606  35.52649105  38.61125678  43.54120637  31.94046618]"
"[ 39.40184386  40.79593894  38.19393424  29.76840612  37.7465219
  38.22073383  38.19393424  29.76840612  39.40184386  38.11373169]","[-10.45980742  -1.87393498   1.51625169   4.46960875 -14.53215485
 -15.05418469   1.29036615   6.25831664 -13.55839933   2.02031137]","[ -1.581503     1.12573578   8.06555345  -1.41113579   3.36310597
   3.25337508   0.30645541   3.47280486  -7.96325922  12.2881947 ]","[ 3.82923341  6.28968394 -2.46398352 -1.74264086 -0.51277405 -7.33891272
  6.91356539  0.17808338  3.45866894 -6.31163544]","[ 36.58879185  37.22565101  39.42441034  41.86552728  36.54710253
  38.41508661  46.09386204  38.2410588   37.05158339  40.84524478]"
"[ 31.57220779  28.55166682  36.95885703  34.76432013  25.39979693
  31.57220779  29.62307388  36.95885703  32.97846051  35.92051344]","[-11.04929455   1.45744421   7.81543507  -9.03575975  -7.1115686
  -3.65552431   2.16427192  -6.31350713 -11.23357349   5.93088223]","[ 9.6184048   4.65146981 -1.67542727 -2.78375481  2.16645278  8.09411031
 -4.3926163   2.2013264   1.8976256   8.72896445]","[-8.0365452  -7.1822165   2.10664385  5.49241651  0.61314547  1.64163629
 -5.22333525 -6.19377574 -1.95215779  2.30464934]","[ 37.64447847  40.66376323  43.16595531  37.94138565  37.12787377
  34.80245609  36.1473609   37.20927792  40.26873532  45.1425927 ]"
