varianceSvrg0,varianceSvrg1,varianceSvrg2,varianceSvrg3,varianceSvrg4
4329312.425344366,1777318.1405575455,9630441.579280816,3279254.961590228,1435705.962150849
3647614.734052212,1316613.3143200886,9875565.792255811,7460572.227287789,1183520.0595916472
2311201.037532764,1899607.0595478187,9143839.360590512,4127174.8740216163,96164225.98217523
3380463.116541506,2769916.4557904997,81271318.10479161,4658358.644757643,1801727.5871519058
1790626.438016638,1870578.9503682265,8545333.623923806,5384311.0386550445,3270346.797118731
3268665.970511403,1247969.2097933744,6498687.373445594,6483942.165212956,2138365.3361040684
1703332.9255805754,22948573.88738447,189197002.3082309,3792141.2797139874,4893842.785963102
2547999.3229827904,908128374.8809901,5254801.148855031,3120358.682339554,1056182.1082435434
2197664.264792787,2742195.670749619,177127682.70262784,1664915.5740892706,10396518.234498046
354601536.93542296,1630062.3704755602,5805428.428612642,4666424.184141615,1486762.7763788765
1693040.3980189294,2367534.8005159586,7562692.078836511,4483721.117043285,1220689.632133385
860164.9852917211,1391654.7279767352,42832542.93351653,2723022.0294579337,2378838.0422182838
1319948.4103646504,4237238.125622989,3699162.2982787504,35799622.479538955,1917177.0024675254
1166158.6032335977,2204445.945995844,2765241.193439506,2171677.901367765,1298468.0987628237
1367445.3743781215,2402052.0491481116,3116874.75117414,17075338.293531567,1547976.8887480833
1397357.578042986,3320273.1225355924,1196444178.027487,1561328.5934110347,1867034.029577679
1126721.9390940184,2300709.982291119,2916960.6173220226,2670155.5567902513,1656697.2433586807
1389340.755556843,29917105.275225222,6880778.563152163,1479307.190208901,1322325.0692424348
1182039.3197634728,3679010.7894192734,7805331.677153824,1932994.1242348345,2676218.9682056913
1523581.4272942676,1304099.7419698962,3710813.882027379,1971321.798573264,1385146.9009065786
6511731.087544073,2919704.1324317697,3938919.5327114547,1709123.8732164192,229867496.75033855
7656101.549066976,959748.050845977,1886676.9791496885,1287890.7492152,2019916.8804909987
264767652.74896973,1956225.8378965287,3350071.388200219,2313952.343120506,1480187.7256482495
890448.2742259097,1982110.365908481,3052349.5804364677,1779396.878921311,3949182.4774978366
1651251.4847028677,3585536.9166422337,1673897.0520425308,5873768.29261201,3729193.5609164145
1811760.038904567,1413611.113048502,2526424.0288205696,2065589.9719912712,2062802.6128425242
848503.3648407788,2259815.2828735514,1877012.573801312,1727173.5154432054,2876608.5160537492
3595247.765410156,1724377.7779123695,5470319.276063413,1893466.3715059597,2178872.030188607
10889286.4083628,2106909.9810143723,1924399.0682241516,2699994.617284839,3506114.9404777596
2164594.374789438,2277942.920612902,2330724.556938649,1432941.145497688,5237436.762835396
78986154.71748354,1280183.3659895556,2070082.7501220065,1223523.2151414633,1754826.904507845
1877154.8457275275,6655611.111749934,2335905.073714009,691022.8677419865,3812103.610966142
1286921.159311178,151574307.08529255,6982792.964776036,1047065.7055014063,1355726.1843765618
1893905.8397204457,457875774.4204515,3427737.077992039,129328093.6638665,2221453.9114879565
2197738.3023723518,1653888.4484986614,2737392.401396984,1696023.9083390061,1406565.9887954083
2290051.141745352,2596978.433517992,3453071.3041895903,957008.4135595377,4146439.738512556
2411337.056072494,4102598.383371234,9350346.455012465,764346.0127484794,2509634.9716489096
1674304.8005452494,3123457.2162019145,1501557.808034933,7351309.737726891,2438337.8151953416
1143490.0919857875,13348171.031897362,1109832.1765788028,772527.1078357046,2501479.7677633064
1087400.1296902525,8717140.65378374,4415453.605518369,927863.0564411503,3375277366.546973
1276584.9389066366,9465375731.404634,2431731.2211129377,1419055.1503239414,3171097.942689259
1965087.9889530474,2151378.944758349,1826865.5921540472,1660583.7857018472,7242657.830986979
5840719.767958685,1970411.7469416084,1967805.705002783,3350105.9413455157,8385850.175339007
