policyParams0,policyParams1,policyParams2
"[ 0.13515529  0.09837572 -0.06634141 ...,  0.3835149   0.012      -0.089     ]","[-0.19222754  0.20106185 -0.01337637 ..., -0.44617695  0.018      -0.103     ]","[-0.08001779  0.15746959 -0.07049283 ...,  0.40037688 -0.01       -0.11      ]"
"[ 0.13415529  0.09937572 -0.06534141 ...,  0.3835149   0.012      -0.09      ]","[-0.18822754  0.20106185 -0.00837637 ..., -0.44817695  0.019      -0.106     ]","[-0.07501779  0.15246959 -0.07449283 ...,  0.39937687 -0.013      -0.105     ]"
"[ 0.13365529  0.09887572 -0.06484141 ...,  0.3850149   0.0135     -0.0915    ]","[-0.18622754  0.20006185 -0.00437637 ..., -0.45117695  0.018      -0.11      ]","[-0.07501779  0.15246959 -0.07449283 ...,  0.39837687 -0.013      -0.105     ]"
"[ 0.13065529  0.09587572 -0.06184141 ...,  0.3870149   0.0135     -0.0935    ]","[-0.18622754  0.19806185 -0.00137637 ..., -0.45317695  0.019      -0.113     ]","[-0.07451779  0.15196959 -0.07499283 ...,  0.39787687 -0.0125     -0.1065    ]"
"[ 0.12915529  0.09437572 -0.06034141 ...,  0.3885149   0.013      -0.095     ]","[-0.18922754  0.19506185  0.00162363 ..., -0.45517695  0.017      -0.116     ]","[-0.07451779  0.15196959 -0.07499283 ...,  0.39687687 -0.0115     -0.1045    ]"
"[ 0.12815529  0.09337572 -0.05934141 ...,  0.3895149   0.012      -0.096     ]","[-0.19222754  0.19206185  0.00462363 ..., -0.45717695  0.014      -0.117     ]","[-0.07701779  0.15446959 -0.07249283 ...,  0.39537687 -0.01       -0.107     ]"
"[ 0.12565529  0.09087572 -0.05684141 ...,  0.3920149   0.0105     -0.0955    ]","[-0.19422754  0.19006185  0.00662363 ..., -0.45917695  0.012      -0.119     ]","[-0.07751779  0.15396959 -0.07199283 ...,  0.39487687 -0.0105     -0.1065    ]"
"[ 0.12415529  0.08937572 -0.05534141 ...,  0.3935149   0.014      -0.099     ]","[-0.19322754  0.19106185  0.00862363 ..., -0.46117695  0.011      -0.121     ]","[-0.07901779  0.15546959 -0.07049283 ...,  0.39637687 -0.01       -0.105     ]"
"[ 0.12415529  0.08937572 -0.05534141 ...,  0.3935149   0.015      -0.099     ]","[-0.19322754  0.19106185  0.00962363 ..., -0.46117695  0.011      -0.121     ]","[-0.08001779  0.15646959 -0.06949283 ...,  0.39537687 -0.012      -0.106     ]"
"[ 0.12165529  0.08687572 -0.05284141 ...,  0.3950149   0.0135     -0.1005    ]","[-0.19222754  0.19206185  0.00862363 ..., -0.46017695  0.01       -0.12      ]","[-0.08001779  0.15646959 -0.06949283 ...,  0.39537687 -0.01       -0.108     ]"
