policyParams0,policyParams1,policyParams2
"[ 0.08215541  0.06737571 -0.04734149 ...,  0.4015149  -0.007      -0.193     ]","[-0.14022744  0.21506182  0.01362344 ..., -0.42417695 -0.021      -0.19700001]","[-0.08501781  0.12546961 -0.06749278 ...,  0.41837686 -0.004      -0.16      ]"
"[ 0.08315541  0.06837571 -0.04834149 ...,  0.4035149  -0.009      -0.191     ]","[-0.13722744  0.21606181  0.01162344 ..., -0.42117695 -0.018      -0.19600001]","[-0.08351781  0.12396961 -0.06899278 ...,  0.41787686 -0.0055     -0.1585    ]"
"[ 0.08465541  0.06987571 -0.04984149 ...,  0.4050149  -0.0105     -0.1915    ]","[-0.13822744  0.21706181  0.01062345 ..., -0.42217695 -0.019      -0.19700001]","[-0.08201781  0.12146961 -0.07049278 ...,  0.42037686 -0.008      -0.161     ]"
"[ 0.08415541  0.06937571 -0.04934149 ...,  0.4085149  -0.007      -0.194     ]","[-0.13872744  0.21756181  0.01112345 ..., -0.42167695 -0.0195     -0.19650001]","[-0.08251781  0.12296961 -0.06999278 ...,  0.42187686 -0.0105     -0.1585    ]"
"[ 0.08515541  0.07137571 -0.05034149 ...,  0.4105149  -0.005      -0.195     ]","[-0.13322744  0.21206181  0.00662345 ..., -0.42317695 -0.015      -0.19900001]","[-0.08401781  0.12446961 -0.06849278 ...,  0.42337686 -0.012      -0.16      ]"
"[  8.41554138e-02   7.03757098e-02  -4.93414943e-02 ...,   4.14514901e-01
   4.66575150e-09  -1.95999998e-01]","[-0.12822744  0.20706181  0.00162345 ..., -0.42817695 -0.01       -0.20200001]","[-0.08501781  0.12546961 -0.06749278 ...,  0.42437685 -0.011      -0.159     ]"
"[ 0.08115541  0.06737571 -0.04634149 ...,  0.4195149   0.004      -0.198     ]","[-0.12522744  0.20406181 -0.00137655 ..., -0.42717695 -0.008      -0.20300001]","[-0.08801781  0.12846961 -0.06449278 ...,  0.42837685 -0.014      -0.16      ]"
"[ 0.08115541  0.06737571 -0.04634149 ...,  0.4215149   0.009      -0.197     ]","[-0.12722744  0.20506181  0.00162344 ..., -0.42517695 -0.009      -0.20100001]","[-0.09001781  0.13046961 -0.06249278 ...,  0.42637685 -0.016      -0.162     ]"
"[ 0.08015542  0.06737571 -0.04534149 ...,  0.4215149   0.011      -0.197     ]","[-0.12822744  0.20506181  0.00262344 ..., -0.42417695 -0.007      -0.20000001]","[-0.09351781  0.13296961 -0.05899279 ...,  0.42287686 -0.0195     -0.1655    ]"
"[ 0.07865542  0.06587571 -0.04384149 ...,  0.4220149   0.0125     -0.1965    ]","[-0.12722744  0.20406181  0.00262345 ..., -0.42617695 -0.009      -0.20200001]","[-0.09301781  0.13146961 -0.05949279 ...,  0.42137686 -0.022      -0.165     ]"
"[ 0.07815542  0.06537571 -0.04334149 ...,  0.4225149   0.012      -0.198     ]","[-0.12322744  0.20006181  0.00162346 ..., -0.43117695 -0.011      -0.20700001]","[-0.09401781  0.13246961 -0.05849279 ...,  0.42237686 -0.023      -0.166     ]"
"[ 0.08015542  0.06737571 -0.04534149 ...,  0.4245149   0.01       -0.2       ]","[-0.12222744  0.19906181  0.00062346 ..., -0.43017695 -0.01       -0.20800001]","[-0.09251781  0.13496961 -0.05999279 ...,  0.42587686 -0.0265     -0.1695    ]"
"[ 0.08165541  0.06887571 -0.04684149 ...,  0.4240149   0.0105     -0.2015    ]","[-0.11922744  0.1950618   0.00062346 ..., -0.42717695 -0.007      -0.21100001]","[-0.09201781  0.13346961 -0.06049279 ...,  0.42337686 -0.028      -0.169     ]"
"[ 0.08315541  0.07037571 -0.04834149 ...,  0.4255149   0.009      -0.202     ]","[-0.11422744  0.1900618   0.00162346 ..., -0.42717695 -0.003      -0.21500001]","[-0.09301781  0.13346961 -0.05949279 ...,  0.42337686 -0.03       -0.169     ]"
"[ 0.08315541  0.07037571 -0.04834149 ...,  0.4265149   0.008      -0.202     ]","[ -1.10227439e-01   1.89061800e-01  -3.76536024e-04 ...,  -4.25176954e-01
   9.99999769e-04  -2.13000010e-01]","[-0.09401781  0.13346961 -0.05849279 ...,  0.42237686 -0.027      -0.173     ]"
"[ 0.08415542  0.07037571 -0.04934149 ...,  0.4285149   0.013      -0.206     ]","[-0.11122744  0.1880618  -0.00137654 ..., -0.42417695  0.002      -0.21200001]","[-0.09601781  0.13446961 -0.05649279 ...,  0.42237685 -0.023      -0.176     ]"
"[ 0.08415542  0.07037571 -0.04934149 ...,  0.4295149   0.015      -0.207     ]","[-0.11622744  0.1870618  -0.00337653 ..., -0.42017695  0.005      -0.20800001]","[-0.09751781  0.13396961 -0.05499279 ...,  0.42187685 -0.0205     -0.1765    ]"
"[ 0.08415542  0.07137571 -0.0493415  ...,  0.4325149   0.019      -0.205     ]","[-0.11822744  0.1880618  -0.00537653 ..., -0.41817695  0.005      -0.20500001]","[-0.09451781  0.13096961 -0.05799279 ...,  0.42287685 -0.0205     -0.1735    ]"
"[ 0.08365542  0.07087571 -0.0488415  ...,  0.4330149   0.0195     -0.2045    ]","[-0.12022744  0.18506182 -0.00537653 ..., -0.42017695  0.008      -0.20800001]","[-0.09501781  0.13146961 -0.05749279 ...,  0.42237685 -0.019      -0.173     ]"
"[ 0.08215542  0.06837571 -0.0473415  ...,  0.4285149   0.021      -0.203     ]","[-0.11972744  0.18456182 -0.00487653 ..., -0.42067695  0.0075     -0.20850001]","[-0.09501781  0.13146961 -0.05749279 ...,  0.42337685 -0.019      -0.171     ]"
"[ 0.08015542  0.06637571 -0.0453415  ...,  0.4235149   0.024      -0.205     ]","[-0.11972744  0.18456182 -0.00587653 ..., -0.41967695  0.0065     -0.20950001]","[-0.09601781  0.13246961 -0.05649279 ...,  0.42237685 -0.018      -0.17      ]"
"[ 0.07915542  0.06437571 -0.0443415  ...,  0.4205149   0.026      -0.207     ]","[-0.11722744  0.18506181 -0.00537654 ..., -0.41917695  0.008      -0.21100001]","[-0.09751781  0.13396961 -0.05499279 ...,  0.42187685 -0.0175     -0.1685    ]"
"[ 0.07715542  0.05937571 -0.0423415  ...,  0.4155149   0.028      -0.21      ]","[-0.11572744  0.18456181 -0.00587654 ..., -0.41867695  0.0085     -0.21250001]","[-0.09851781  0.13596961 -0.05399279 ...,  0.42287685 -0.0165     -0.1705    ]"
"[ 0.07615542  0.05737571 -0.0413415  ...,  0.4115149   0.03       -0.214     ]","[-0.11222744  0.18106182 -0.00337655 ..., -0.42117695  0.01       -0.20900001]","[-0.09801781  0.13546961 -0.05449279 ...,  0.42437685 -0.018      -0.17      ]"
"[ 0.07515542  0.05637571 -0.0403415  ...,  0.4095149   0.028      -0.216     ]","[-0.11172744  0.18056182 -0.00387655 ..., -0.42167695  0.0095     -0.20950001]","[-0.09301781  0.13046961 -0.05949279 ...,  0.42337685 -0.022      -0.168     ]"
"[ 0.07365542  0.05487571 -0.0388415  ...,  0.4080149   0.0265     -0.2165    ]","[-0.11322744  0.17906183 -0.00537655 ..., -0.42317695  0.011      -0.20800001]","[-0.08901781  0.12646961 -0.06449279 ...,  0.42237685 -0.026      -0.163     ]"
"[ 0.07015542  0.05137571 -0.0353415  ...,  0.4035149   0.03       -0.218     ]","[-0.11422743  0.18006182 -0.00737655 ..., -0.42517695  0.012      -0.21000001]","[-0.08401781  0.12146961 -0.06949279 ...,  0.42037685 -0.031      -0.158     ]"
"[ 0.06765542  0.04987571 -0.03384152 ...,  0.4030149   0.0315     -0.2195    ]","[-0.11322744  0.17706183 -0.00537663 ..., -0.42217695  0.009      -0.21000001]","[-0.07901781  0.11746961 -0.07449279 ...,  0.41937685 -0.036      -0.153     ]"
"[ 0.06515542  0.04737571 -0.03134152 ...,  0.3995149   0.028      -0.222     ]","[-0.11372744  0.17756183 -0.00487663 ..., -0.42267695  0.0085     -0.20950001]","[-0.07601781  0.11546961 -0.07749279 ...,  0.42237685 -0.039      -0.15      ]"
"[ 0.06665542  0.04787571 -0.03284152 ...,  0.3990149   0.0265     -0.2205    ]","[-0.11172744  0.17956183 -0.00687663 ..., -0.42067695  0.0075     -0.21050001]","[-0.07701781  0.11646961 -0.07649278 ...,  0.42237685 -0.038      -0.152     ]"
"[ 0.0651554   0.04537571 -0.03134151 ...,  0.4025149   0.025      -0.222     ]","[-0.11422744  0.18206183 -0.00937663 ..., -0.41917695  0.007      -0.21300001]","[-0.07601781  0.11546961 -0.07749278 ...,  0.42237685 -0.035      -0.153     ]"
"[ 0.0631554   0.04337571 -0.02934151 ...,  0.4005149   0.027      -0.224     ]","[-0.11322743  0.18206183 -0.00737663 ..., -0.42117695  0.005      -0.21300001]","[-0.07551781  0.11496961 -0.07799278 ...,  0.42387685 -0.0365     -0.1545    ]"
"[ 0.0601554   0.04037571 -0.02634151 ...,  0.4005149   0.029      -0.226     ]","[-0.11372743  0.18256183 -0.00687663 ..., -0.42167695  0.0045     -0.21350001]","[-0.07601781  0.11546961 -0.07749278 ...,  0.42437685 -0.039      -0.157     ]"
"[ 0.0591554   0.03937571 -0.02534151 ...,  0.3985149   0.031      -0.228     ]","[-0.11422744  0.18306182 -0.00737663 ..., -0.41917695  0.005      -0.21400001]","[-0.07601781  0.11546961 -0.07749278 ...,  0.42437685 -0.038      -0.158     ]"
"[ 0.0581554   0.03837571 -0.02434151 ...,  0.3965149   0.031      -0.23      ]","[-0.11522743  0.18306182 -0.00837663 ..., -0.41717695  0.004      -0.21600001]","[-0.07701781  0.11646961 -0.07649278 ...,  0.42337685 -0.039      -0.158     ]"
"[ 0.0556554   0.03587571 -0.02184151 ...,  0.3930149   0.0295     -0.2335    ]","[-0.11422743  0.18306182 -0.00937662 ..., -0.41417695  0.006      -0.21600001]","[-0.07551781  0.11496961 -0.07799278 ...,  0.42387685 -0.0375     -0.1565    ]"
"[ 0.0551554   0.03537571 -0.02134151 ...,  0.3935149   0.028      -0.235     ]","[-0.11322743  0.18206182 -0.00837662 ..., -0.41317695  0.005      -0.21500001]","[-0.07801781  0.11746961 -0.07549278 ...,  0.42637685 -0.039      -0.154     ]"
"[ 0.0536554   0.03387571 -0.01984151 ...,  0.3930149   0.0255     -0.2355    ]","[-0.11022744  0.17906182 -0.00537661 ..., -0.41117695  0.002      -0.21300001]","[-0.07901781  0.11846961 -0.07549278 ...,  0.42637685 -0.039      -0.154     ]"
"[ 0.0531554   0.03337571 -0.01934151 ...,  0.3925149   0.023      -0.239     ]","[-0.10972744  0.17956182 -0.00487661 ..., -0.41067695  0.0015     -0.21350001]","[-0.08001781  0.11946961 -0.07449278 ...,  0.42737685 -0.041      -0.158     ]"
"[ 0.0536554   0.03387571 -0.01984151 ...,  0.3910149   0.0215     -0.2395    ]","[ -1.07227440e-01   1.77061820e-01  -3.37663103e-03 ...,  -4.13176952e-01
  -2.14914617e-10  -2.15000010e-01]","[-0.08101781  0.12046961 -0.07349278 ...,  0.42737685 -0.042      -0.158     ]"
"[ 0.0531554   0.03337571 -0.01934151 ...,  0.3875149   0.023      -0.241     ]","[ -1.03227443e-01   1.73061822e-01  -3.76629061e-04 ...,  -4.10176952e-01
  -2.00000019e-03  -2.14000010e-01]","[-0.08101781  0.11946961 -0.07349278 ...,  0.42937685 -0.043      -0.158     ]"
"[ 0.0536554   0.03287571 -0.01884153 ...,  0.3890149   0.0235     -0.2425    ]","[ -1.01727444e-01   1.71561823e-01   1.23370813e-04 ...,  -4.09676952e-01
  -1.50000020e-03  -2.15500010e-01]","[-0.08251781  0.12096961 -0.07199278 ...,  0.42787685 -0.0445     -0.1565    ]"
"[ 0.0531554   0.03237571 -0.01834153 ...,  0.3885149   0.022      -0.243     ]","[-0.10022744  0.17006182  0.00162337 ..., -0.41017695 -0.002      -0.21600001]","[-0.08451781  0.12296961 -0.06999279 ...,  0.42687685 -0.0445     -0.1555    ]"
"[ 0.0531554   0.03237571 -0.01834153 ...,  0.3885149   0.022      -0.245     ]","[ -1.02227444e-01   1.72061824e-01  -3.76629954e-04 ...,  -4.13176952e-01
  -4.00000019e-03  -2.18000010e-01]","[-0.08501781  0.12346961 -0.06949279 ...,  0.42537685 -0.043      -0.156     ]"
"[ 0.0561554   0.03337572 -0.01934153 ...,  0.3875149   0.025      -0.245     ]","[-0.10622744  0.17706182 -0.00537663 ..., -0.41717695 -0.007      -0.22000001]","[-0.08601781  0.12446961 -0.06949278 ...,  0.42437685 -0.041      -0.157     ]"
"[ 0.0601554   0.03537572 -0.02134153 ...,  0.3885149   0.029      -0.245     ]","[-0.10872744  0.18056182 -0.00987663 ..., -0.41967695 -0.0095     -0.22050001]","[-0.08751781  0.12496961 -0.06799278 ...,  0.42287685 -0.0425     -0.1585    ]"
"[ 0.0596554   0.03487572 -0.02084153 ...,  0.3880149   0.0295     -0.2455    ]","[-0.10722744  0.17906182 -0.01137663 ..., -0.41817695 -0.011      -0.22200001]","[-0.08801781  0.12546961 -0.06749279 ...,  0.42237685 -0.042      -0.159     ]"
"[ 0.0641554   0.03637572 -0.02234153 ...,  0.3825149   0.034      -0.241     ]","[-0.10572744  0.17656182 -0.01487663 ..., -0.41567695 -0.0135     -0.22350001]","[-0.08951781  0.12696961 -0.06599279 ...,  0.42187686 -0.0435     -0.1575    ]"
"[ 0.0686554   0.04087571 -0.02684153 ...,  0.3790149   0.0365     -0.2375    ]","[-0.10522745  0.17606184 -0.01537662 ..., -0.41517695 -0.012      -0.22200001]","[-0.09201781  0.12946961 -0.06349279 ...,  0.42437685 -0.04       -0.157     ]"
"[ 0.0681554   0.04037571 -0.02634153 ...,  0.3775149   0.037      -0.236     ]","[-0.10422745  0.17506186 -0.01637663 ..., -0.41417695 -0.011      -0.22000001]","[-0.09401781  0.13146961 -0.06149278 ...,  0.42737685 -0.036      -0.157     ]"
"[ 0.0671554   0.03937571 -0.02534153 ...,  0.3765149   0.036      -0.237     ]","[-0.10472745  0.17556186 -0.01687663 ..., -0.41367696 -0.0105     -0.21950001]","[-0.09351781  0.13096961 -0.06199278 ...,  0.42787685 -0.0365     -0.1575    ]"
"[ 0.0656554   0.03787571 -0.02384153 ...,  0.3740149   0.0355     -0.2375    ]","[-0.10122745  0.17206188 -0.02137662 ..., -0.41017696 -0.006      -0.21700001]","[-0.09551781  0.13296961 -0.05999278 ...,  0.42587686 -0.0385     -0.1585    ]"
"[ 0.06365541  0.03587572 -0.02184153 ...,  0.3760149   0.0345     -0.2355    ]","[-0.10172745  0.17256187 -0.02187662 ..., -0.40967696 -0.0055     -0.21650001]","[-0.09401781  0.13046961 -0.06149278 ...,  0.42337686 -0.041      -0.162     ]"
"[ 0.06215541  0.03437572 -0.02034153 ...,  0.3775149   0.036      -0.234     ]","[-0.09922745  0.17206187 -0.01737663 ..., -0.41417696 -0.01       -0.21700001]","[-0.09101781  0.12646961 -0.06549278 ...,  0.42137686 -0.04       -0.165     ]"
"[ 0.06315541  0.03537572 -0.02134153 ...,  0.3785149   0.035      -0.235     ]","[-0.09922745  0.16906188 -0.01637663 ..., -0.41817695 -0.014      -0.21900001]","[-0.08751781  0.12296961 -0.06899278 ...,  0.42187686 -0.0395     -0.1645    ]"
"[ 0.06315541  0.03537572 -0.02034153 ...,  0.3835149   0.032      -0.237     ]","[-0.09722745  0.16606188 -0.01737663 ..., -0.42017695 -0.018      -0.22000001]","[-0.08801781  0.1234696  -0.06849278 ...,  0.42337686 -0.04       -0.166     ]"
"[ 0.06365541  0.03587572 -0.02084153 ...,  0.3840149   0.0285     -0.2395    ]","[-0.09822745  0.16506187 -0.01737663 ..., -0.42217695 -0.021      -0.22300001]","[-0.09001781  0.1254696  -0.06649279 ...,  0.42737686 -0.041      -0.167     ]"
"[ 0.06515541  0.03737572 -0.02234153 ...,  0.3855149   0.027      -0.241     ]","[-0.09622745  0.16706187 -0.01937663 ..., -0.42017695 -0.02       -0.22300001]","[-0.09101781  0.1264696  -0.06549279 ...,  0.42837686 -0.04       -0.168     ]"
"[ 0.06515541  0.03737572 -0.02234153 ...,  0.3855149   0.027      -0.242     ]","[-0.09572745  0.16756187 -0.01987663 ..., -0.41767695 -0.0185     -0.22250001]","[-0.09501781  0.1304696  -0.06149279 ...,  0.43237685 -0.038      -0.169     ]"
"[ 0.06415541  0.03637572 -0.02134153 ...,  0.3835149   0.023      -0.246     ]","[-0.09472745  0.16856187 -0.02087663 ..., -0.41667696 -0.0195     -0.22150001]","[-0.09901781  0.1324696  -0.05749279 ...,  0.43537685 -0.036      -0.17      ]"
"[ 0.06465541  0.03687572 -0.02184153 ...,  0.3840149   0.0235     -0.2455    ]","[-0.09622745  0.16706187 -0.01937663 ..., -0.41817696 -0.018      -0.22200001]","[-0.09951781  0.1329696  -0.05699279 ...,  0.43487685 -0.0355     -0.1685    ]"
"[ 0.06515541  0.03737572 -0.02234153 ...,  0.3825149   0.024      -0.244     ]","[-0.09522745  0.16806187 -0.02037663 ..., -0.41717696 -0.017      -0.22300001]","[-0.09701781  0.1304696  -0.05949279 ...,  0.43637685 -0.034      -0.171     ]"
"[ 0.06315541  0.03537572 -0.02034153 ...,  0.3815149   0.022      -0.246     ]","[-0.09472745  0.16856187 -0.02087663 ..., -0.41567696 -0.0175     -0.22450001]","[-0.09851781  0.1319696  -0.05799279 ...,  0.43487685 -0.0325     -0.1695    ]"
"[ 0.06715541  0.03937572 -0.02434153 ...,  0.3855149   0.026      -0.248     ]","[-0.09522745  0.16806186 -0.02037663 ..., -0.41617696 -0.013      -0.22900001]","[-0.09701781  0.1304696  -0.05949279 ...,  0.43637685 -0.034      -0.171     ]"
"[ 0.07215541  0.04437572 -0.02934153 ...,  0.3895149   0.03       -0.25      ]","[-0.09722745  0.16706186 -0.01937663 ..., -0.41617696 -0.009      -0.23300001]","[-0.09651781  0.1299696  -0.05999279 ...,  0.43687685 -0.0345     -0.1705    ]"
"[ 0.07715541  0.04937572 -0.03434153 ...,  0.3945149   0.035      -0.251     ]","[-0.09722745  0.16806186 -0.02037663 ..., -0.41817695 -0.008      -0.23700001]","[-0.09651781  0.1299696  -0.05999279 ...,  0.43687685 -0.0355     -0.1685    ]"
"[ 0.08215541  0.05437572 -0.03934153 ...,  0.3985149   0.039      -0.253     ]","[-0.09822745  0.16606186 -0.01937663 ..., -0.42017695 -0.007      -0.23800001]","[-0.09801781  0.1314696  -0.05849279 ...,  0.43737685 -0.038      -0.168     ]"
"[ 0.08615541  0.05937572 -0.04434153 ...,  0.4035149   0.044      -0.253     ]","[-0.09772745  0.16756186 -0.02087663 ..., -0.41967695 -0.0065     -0.23950001]","[-0.10101781  0.1344696  -0.05549279 ...,  0.44237685 -0.04       -0.169     ]"
"[ 0.08765541  0.06087572 -0.04584153 ...,  0.4050149   0.0455     -0.2535    ]","[-0.09622745  0.16906186 -0.02237663 ..., -0.42017695 -0.006      -0.23700001]","[-0.10101781  0.1344696  -0.05549279 ...,  0.44337685 -0.04       -0.168     ]"
"[ 0.08365541  0.05687572 -0.04184153 ...,  0.4070149   0.0475     -0.2505    ]","[-0.09572745  0.16956186 -0.02087663 ..., -0.42067695 -0.0075     -0.23650001]","[-0.09601781  0.1294696  -0.06049279 ...,  0.44037685 -0.042      -0.171     ]"
"[ 0.08215541  0.05537572 -0.04034153 ...,  0.4055149   0.049      -0.249     ]","[-0.09722745  0.16806186 -0.01937663 ..., -0.42017695 -0.009      -0.23500001]","[-0.09201781  0.1244696  -0.06449279 ...,  0.43837685 -0.044      -0.176     ]"
"[ 0.07715541  0.05137572 -0.03634153 ...,  0.4015149   0.053      -0.248     ]","[-0.09672745  0.16856186 -0.01987663 ..., -0.41867695 -0.0085     -0.23650001]","[-0.08801781  0.1204696  -0.06749279 ...,  0.43537685 -0.048      -0.175     ]"
"[ 0.07465541  0.04887572 -0.03484153 ...,  0.4010149   0.0535     -0.2465    ]","[-0.09522746  0.17006186 -0.02137663 ..., -0.41717695 -0.007      -0.23700001]","[-0.09001781  0.1224696  -0.06549279 ...,  0.43537685 -0.05       -0.175     ]"
"[ 0.07815541  0.05237571 -0.03734153 ...,  0.4035149   0.051      -0.247     ]","[-0.09522746  0.17106195 -0.02337663 ..., -0.41317695 -0.006      -0.23900001]","[-0.09001781  0.1224696  -0.06549279 ...,  0.43637685 -0.053      -0.174     ]"
"[ 0.08215541  0.05737571 -0.04234153 ...,  0.4085149   0.05       -0.247     ]","[-0.09422746  0.17306195 -0.02537663 ..., -0.41417695 -0.007      -0.24000001]","[-0.08851781  0.1229696  -0.06499279 ...,  0.43787685 -0.0535     -0.1735    ]"
"[ 0.08515541  0.06237571 -0.04734153 ...,  0.4125149   0.049      -0.246     ]","[-0.09372746  0.17356195 -0.02587663 ..., -0.41367695 -0.0065     -0.23950001]","[-0.08851781  0.12496958 -0.06499279 ...,  0.43587685 -0.0535     -0.1715    ]"
"[ 0.09015541  0.06737571 -0.05234153 ...,  0.4175149   0.045      -0.245     ]","[-0.09222747  0.17606193 -0.02837662 ..., -0.41417695 -0.007      -0.24500001]","[-0.08701781  0.12346958 -0.06649279 ...,  0.43737685 -0.052      -0.17      ]"
"[ 0.09065541  0.06887571 -0.05384153 ...,  0.4190149   0.0435     -0.2445    ]","[-0.09322747  0.17506193 -0.02737662 ..., -0.41317695 -0.008      -0.24600001]","[-0.08701781  0.12346958 -0.06649279 ...,  0.43837685 -0.053      -0.169     ]"
"[ 0.08815541  0.06637571 -0.05134154 ...,  0.4175149   0.039      -0.242     ]","[-0.09272747  0.17556193 -0.02787662 ..., -0.41267695 -0.0085     -0.24750001]","[-0.08651781  0.12296958 -0.06699279 ...,  0.43987685 -0.0515     -0.1705    ]"
"[ 0.09015541  0.06737572 -0.05234154 ...,  0.4135149   0.036      -0.239     ]","[-0.09222747  0.17606193 -0.02837662 ..., -0.41417695 -0.007      -0.24900001]","[-0.08201781  0.11846958 -0.07149279 ...,  0.44437685 -0.047      -0.167     ]"
"[ 0.09015541  0.06837571 -0.05234155 ...,  0.4125149   0.034      -0.239     ]","[-0.09622747  0.17206193 -0.02437662 ..., -0.41817695 -0.004      -0.25200001]","[-0.07801781  0.11446958 -0.07549279 ...,  0.44937685 -0.043      -0.163     ]"
"[ 0.09115541  0.06937571 -0.05234155 ...,  0.4155149   0.037      -0.238     ]","[-0.10122747  0.16706193 -0.01937662 ..., -0.42217695 -0.003      -0.25000001]","[-0.07301781  0.10946958 -0.08049279 ...,  0.45437685 -0.039      -0.158     ]"
"[ 0.09065541  0.06887571 -0.05184155 ...,  0.4160149   0.0375     -0.2385    ]","[-0.10522747  0.16306193 -0.01437662 ..., -0.42517695  0.002      -0.25200001]","[-0.06801781  0.10446958 -0.08549279 ...,  0.45937685 -0.036      -0.156     ]"
"[ 0.08915541  0.06737571 -0.05034155 ...,  0.4155149   0.037      -0.237     ]","[-0.10622747  0.15906193 -0.01037662 ..., -0.42917695  0.003      -0.25400001]","[-0.06301781  0.09946958 -0.09049279 ...,  0.46337685 -0.031      -0.152     ]"
"[ 0.08815541  0.06637571 -0.04934155 ...,  0.4125149   0.035      -0.236     ]","[-0.10422747  0.15406193 -0.00837662 ..., -0.43117695  0.006      -0.25800001]","[-0.06201781  0.09846958 -0.09149279 ...,  0.46437685 -0.03       -0.151     ]"
"[ 0.08815541  0.06637571 -0.04934155 ...,  0.4135149   0.036      -0.238     ]","[-0.10472747  0.15356193 -0.00687662 ..., -0.43167695  0.0065     -0.25850001]","[-0.06451781  0.10096958 -0.08899279 ...,  0.46187685 -0.0295     -0.1515    ]"
"[ 0.08415541  0.06237571 -0.04534156 ...,  0.4165149   0.038      -0.243     ]","[-0.10222747  0.15106193 -0.01037662 ..., -0.43117695  0.003      -0.25800001]","[-0.06401781  0.10146958 -0.09049279 ...,  0.46237685 -0.029      -0.15      ]"
"[ 0.08415541  0.06237571 -0.04534152 ...,  0.4175149   0.04       -0.244     ]","[-0.09722747  0.14706193 -0.01537662 ..., -0.42717695 -0.002      -0.25400001]","[-0.06251781  0.09996958 -0.09199278 ...,  0.46187685 -0.0265     -0.1475    ]"
"[ 0.08365541  0.06187571 -0.04484152 ...,  0.4160149   0.0405     -0.2445    ]","[-0.09222747  0.14306193 -0.02037662 ..., -0.42217695 -0.007      -0.25000001]","[-0.06101781  0.09846958 -0.09349278 ...,  0.46037685 -0.025      -0.146     ]"
"[ 0.08315541  0.06137571 -0.04434152 ...,  0.4145149   0.03900001 -0.243     ]","[-0.09122747  0.14406193 -0.02137662 ..., -0.42217695 -0.007      -0.25100001]","[-0.05851781  0.09596958 -0.09599278 ...,  0.45787685 -0.0265     -0.1435    ]"
"[ 0.08215541  0.05937572 -0.04234153 ...,  0.4185149   0.04000001 -0.239     ]","[-0.08922747  0.14606193 -0.02337662 ..., -0.42517695 -0.006      -0.25400001]","[-0.06001781  0.09746958 -0.09449278 ...,  0.45937685 -0.028      -0.143     ]"
"[ 0.08115541  0.05837572 -0.04134153 ...,  0.4195149   0.03900001 -0.238     ]","[-0.08722747  0.14806193 -0.02537662 ..., -0.42417695 -0.006      -0.25400001]","[-0.05951781  0.09696958 -0.09499278 ...,  0.45987685 -0.0285     -0.1435    ]"
"[ 0.08165541  0.05887572 -0.04184153 ...,  0.4200149   0.03850001 -0.2375    ]","[-0.08722747  0.14806193 -0.02637662 ..., -0.42217695 -0.003      -0.25500001]","[-0.05901781  0.09646958 -0.09549278 ...,  0.45937685 -0.027      -0.145     ]"
"[ 0.07915541  0.05637572 -0.03934153 ...,  0.4225149   0.04000001 -0.241     ]","[-0.08722747  0.14806193 -0.02737662 ..., -0.41717695 -0.003      -0.25600001]","[-0.06101781  0.09846958 -0.09349279 ...,  0.45637685 -0.028      -0.146     ]"
"[ 0.07915541  0.05537572 -0.04034153 ...,  0.4235149   0.04100001 -0.243     ]","[-0.08872747  0.14656193 -0.02687662 ..., -0.41467695 -0.0045     -0.25550001]","[-0.06401781  0.10146958 -0.09049279 ...,  0.45437685 -0.028      -0.144     ]"
"[ 0.07765541  0.05487572 -0.03984153 ...,  0.4250149   0.04150001 -0.2465    ]","[-0.09122747  0.14406193 -0.02437662 ..., -0.41517695 -0.004      -0.25500001]","[-0.06601781  0.10346958 -0.08849279 ...,  0.45337685 -0.026      -0.144     ]"
"[ 0.07615541  0.05337572 -0.03834153 ...,  0.4265149   0.04300001 -0.248     ]","[-0.09272747  0.14256193 -0.02287662 ..., -0.41467695 -0.0045     -0.25350001]","[-0.06751781  0.10496958 -0.08699279 ...,  0.45187685 -0.0275     -0.1455    ]"
"[ 0.07565541  0.05287572 -0.03784153 ...,  0.4260149   0.04350001 -0.2485    ]","[-0.09022747  0.14506193 -0.02537662 ..., -0.41317695 -0.009      -0.25800001]","[-0.06901781  0.10646957 -0.08549279 ...,  0.45137685 -0.027      -0.148     ]"
"[ 0.07615541  0.05337572 -0.03834153 ...,  0.4235149   0.04000001 -0.249     ]","[-0.08922747  0.14606193 -0.02737662 ..., -0.41317695 -0.012      -0.26000001]","[-0.07201781  0.10946957 -0.08249279 ...,  0.45037685 -0.028      -0.15      ]"
"[ 0.07215541  0.04937572 -0.03434153 ...,  0.4205149   0.03900001 -0.251     ]","[-0.08922747  0.14706193 -0.03037662 ..., -0.41217695 -0.013      -0.26000001]","[-0.07301781  0.11046957 -0.08149279 ...,  0.44837685 -0.025      -0.148     ]"
"[ 0.07265541  0.04987572 -0.03484153 ...,  0.4200149   0.03850001 -0.2515    ]","[-0.08772747  0.14856193 -0.03187661 ..., -0.41067695 -0.0145     -0.25850001]","[-0.07401781  0.11146957 -0.08049279 ...,  0.44937685 -0.026      -0.149     ]"
"[ 0.07115541  0.04837572 -0.03334153 ...,  0.4185149   0.04000001 -0.251     ]","[-0.08722747  0.14906195 -0.0343766  ..., -0.40917695 -0.012      -0.25800001]","[-0.07501781  0.11246957 -0.07949279 ...,  0.44937685 -0.026      -0.149     ]"
