rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4
"[ 119.97601023   59.96887954   69.92248013  329.90610571  219.84293223
  199.85520243  109.95061977   89.96040577  139.88312902  199.95878022
   59.97042537   79.92921555  259.91489647]","[  89.93581607  159.86063979  239.86180104   89.94337808   79.91600633
  149.82497763   59.95820756   89.91252742   89.93802357  179.90246301
    9.9829777   299.82900357]","[  49.95954735  479.68442103   69.89859108  559.74503691  329.9112649
  319.8374594    79.92234284   69.97166843   79.90856543   99.85974846
    9.98085796   69.93470404  249.94325317]","[ 319.863224     59.94095782  139.84339197  139.8981844   139.92654533
  249.92728495   19.97210505  129.9543793   319.79463038   19.96022631
  309.78300995  369.79827026]","[ 149.79172521  489.7650044   349.79732466  229.78104679   19.97417366
   79.93013389   89.89499111    9.98429953   99.89281763  159.83792837
  329.8964598   649.71648189]"
"[ 219.88381151   99.96191822   19.97242417  199.85056076  129.9221551
   99.93320042   59.97428379   69.95167321   69.95187478  229.92387867
  179.9689879   109.95590668]","[  49.96861874  299.80381426    9.98032158  109.88471738   69.94544503
   99.90137207   59.92684351  109.95425632  119.87134379   49.9644432
  139.91422793  269.77534588  299.8749673 ]","[ 289.89453013  199.8999206   169.9515854    29.97398532   59.94209032
   29.95932322    0.          259.84557959  249.83050999   39.97653228
  179.90672196  269.86365869   79.95271706]","[ 609.59957965  119.85969018    0.          699.58467322  219.90374002
   39.94394608  479.86854804  129.88599942  199.91763953  209.88658971
  939.73563541   49.96804153  649.60646511]","[ 229.71269462   69.98164344   99.92363367   79.9437144   319.8500919
  789.65860209   59.95429025  229.80397364   79.88362699  289.84213526
  209.75943496  329.87589027   49.93072139]"
"[  99.96600587   19.97307693  209.84862582   59.96744754    9.98187479
   49.93944775   49.959307    259.84698504   19.97681677   69.90879822
  269.80961603   89.94320787  389.84923599]","[ 169.92531434  269.91197097  159.90322633   49.93175314   49.94454993
   29.94977314  139.92794595  209.92339087    9.98159159   89.90836434
  409.79364378  169.85078931  459.84440726]","[  59.94520617   69.92718522  519.79850656  599.79022115  619.80989549
   79.95051853  319.84036207   89.91182607    9.98423773  209.91371167
  389.84043321  449.76597819  389.75324552]","[ 189.87325567  159.86715937  269.91417219   69.96737544  499.84706021
  149.88095112   89.91097856  419.86992815  379.84552368  199.8967826
  449.88816446  389.72101069  339.77092896]","[  79.98152906   59.9656162    89.93778708   69.97160663  649.7559214
   69.91830247  289.86296223   99.92786801   49.94502136  359.75507714
  539.71458844  299.78686502  129.93379943]"
"[  29.96385198  529.72216383    9.98068553  129.93684424   19.97395373
  599.79271234  149.84557074  109.93617732   89.92776208   69.97394769
   19.96889496  319.76356673   79.93491497]","[  99.89214975   89.94386657  179.74940345  259.90442439  129.83743949
  229.88049138  459.81822875  199.83199878  289.89107428  199.88507324
   69.95948569  269.86474833  119.94969741]","[ 469.82471368   29.96903071  389.77938837    0.           69.89612883
  369.72602731    0.          549.66504336   99.92399993  119.97788831
  149.89635003  149.92171604  219.79452238]","[  249.84124393    69.93476218     0.           349.83034619    89.94565638
    19.97183941     9.98455156   169.94465639   509.79583534   469.78204831
   109.93987365    59.91147049  1099.76506744]","[  79.86842431   19.96523381  529.76610106  319.74474722   49.94849916
  439.7035661    39.9426394    29.96911849  369.76523335  219.80028562
   49.92235263  289.89844522  109.87277244]"
"[  59.9195126   189.8254174   699.62245152  279.92643204  179.9087524
  419.76669664   39.94530034  259.77689546  239.85857198  439.72939707
   39.97192639  439.79750911  239.85857199]","[ 389.82375675  129.83866933  129.93319066   99.92084842  169.82522651
    9.98843683  219.90607419  139.87521912   19.97765373   69.93905917
   89.95957968  139.94821796  159.84665667]","[ 429.83205756   29.96752994  219.80773128   49.9445904    69.91554482
  209.80951616  449.8853035   149.94491172  239.79617727  169.93341622
  339.72504974  159.91276027  349.83965682]","[ 279.8787445   159.8597614   109.92188133  199.81449155  399.7663365
  539.78205976   29.9651805   789.63455678   29.96716205  719.62192824
  149.9036172   259.83463999  619.75768943]","[  39.96088731   79.94215532   59.93520164   49.92311272   29.94286561
    0.          159.94127899  209.91097939   49.95446097   59.94850332
  759.67583736  279.84510364  109.96036535]"
"[   9.98085874  169.91737075  599.81438025   19.97137122   89.9580938
  459.75598178   99.93832778  439.77733934   19.96274529   39.98853321
   19.96274529   39.98853321  419.75058071]","[  39.95683671  159.92982414  259.94384381  249.83057606  119.94703752
  429.83444491  129.8248949     9.97928109  349.85765449  209.84130058
  249.8988296   129.86402346   59.91021542]","[ 649.78242718  239.84087481  559.8041456     9.98184338  239.83652222
  129.89362968  439.76969279  429.61893169  489.91778254   29.95228637
  199.87337299  419.8000257   469.78285715]","[  39.95885997   59.94316437  149.81863827    9.98100666  199.83070081
  699.7408392   719.76550382  469.78023656  129.9120668   359.86358856
  269.92354787  279.80379559  199.8800726 ]","[  29.97634811  139.95363514  649.81855737  139.90020382  379.70435394
  209.92994288  909.64469698   29.97690729   99.88580392   59.90846159
   39.95074935  209.9121875    79.9240146 ]"
"[ 119.94920865    9.98789862  359.87022613  289.82235302  579.79179127
  399.63176077  219.8625669   609.86119173  149.83215311   69.91098942
  239.90294344   59.93084039  109.90506472]","[ 749.79867509  359.7976705    79.91814762  179.77988645  319.82671119
  249.82449567   99.92152703   89.93377305  219.82784553  129.92648726
  269.83842727  189.84794076  369.89086665]","[ 439.86347912   59.93007819   49.96681655  129.87232318   69.92563429
  419.79275426  209.85267653   49.9428408    39.96387958   29.96154796
  499.79637296  319.75447218  899.7428898 ]","[  29.96597061  219.88603222  589.82856538  679.86093078  179.91105286
   19.96463456  259.89579224  949.50313796   49.96174518   59.94277601
   99.92447086  469.80917923  829.56890011]","[ 419.79550858  189.91213171   29.95807986  429.77620574  629.74254849
   29.97017841  829.69336944  529.75159715   49.91815122   49.94121565
  359.89731531    9.97962984  989.47736053]"
"[ 439.78184      19.97232155   89.95696674  399.85178993  489.66042493
  129.94201418   69.94550023    9.97961169  159.85645733   89.89225738
  259.88864339   69.93182752   99.95380982]","[ 329.69758049  109.9096735   179.87871245   59.96233799  179.8861506
  439.85096548    9.98415027  209.92140153  579.72346137    9.98588856
  509.87264137  159.92860071  519.8203913 ]","[ 579.64137572  589.71914557  119.87548246  729.51868513  739.74702544
  739.59346306   59.93625835  809.48858324  409.70919702  669.82801935
  459.74574903]","[  479.83088826    69.90651671   259.88025792   339.81344848    39.93427645
   629.82800808    59.93343914    79.93988648   529.66036018   139.96890934
   659.71365828   709.77003205  1359.56318887]","[   59.9045493     39.93536497   359.74157826    79.94791792  1009.59083051
   189.83924943   569.7288347    159.86379761   309.62905806   179.86913872
   579.66408861   499.75227906   189.82344725]"
"[  379.65639594    89.91320064   579.78099553   109.92829735   439.80388286
   139.95614586  1019.65539654   849.76680878    79.89967444   379.76024844
   179.89754855   149.95276977   109.94620797]","[ 459.71172866   49.96093394  179.92553132  529.87085161  649.72555306
  249.80911492   29.96091438   79.92895508   49.95452402  369.89538999
  389.93052603  349.84374105   69.94134926]","[ 299.81572864    0.           19.97058053  409.76121131  199.79672657
  139.96082225  569.84945916  269.76748932  729.8149537    69.89676
  189.85300161    0.          599.74270098]","[ 259.87245644  869.54980578  489.88296411   39.9609932    29.95390395
  579.76611511  479.81306717  549.64350096  379.79067894  829.74447434
  279.87878646  579.70524396  749.72642901]","[   19.97097124    49.96406089   459.79341896   539.7779351     69.95070858
    29.96784997   429.78359211    89.93183517   399.77995941    49.94684441
    39.95701794   279.88708063  1209.50604318]"
"[ 339.77128874  629.7870043   269.92458182  279.80561891  439.74148164
  209.7882236   179.85797648  369.8112674    69.94066557  559.72870416
  289.72028012  329.84295409  439.74017956]","[ 229.86170535   89.912675    389.88556665  669.75906242  169.94599357
  249.94926447   19.97225038  149.85913236  459.74455736  169.79487994
  259.76628982   49.96243359]","[ 159.8698669   359.81314068  109.9318465   209.83269694   19.9683577
  279.87452745   79.91591279  549.7189254   409.72224563    0.
  629.75604262  459.76280529  319.89508904]","[  19.96454651  139.95318966   39.93645894  429.76165579  309.8330579
  369.68301297  439.7303783   539.58063822  409.85395235  479.67055918
  469.78573148   19.96836841  499.75523835]","[ 869.53999346  549.86810187  619.76833624  319.80741963  249.71412797
  239.83843765    0.          159.91350701  129.91987974  529.82709722
  449.76249883  149.88938966  419.78787067]"
