varianceSvrg0,varianceSvrg1,varianceSvrg2,varianceSvrg3,varianceSvrg4
1080400.214268942,113596.54181700537,325328.97874837037,1122580.2067549224,245124.25232362136
1305591.29070336,76361.41962299167,860135.4622163975,708477.7242938217,433324.8367779968
870180.014689007,178832.1557025974,3526588.97272717,2339522.834817075,203177.71224876115
1019880.9362419657,60409.368238355026,8710852.814085595,779198.3152618037,2155527.210012352
1364826.1932532284,474179.86702591984,2037335.716274333,1751676.525706021,979497.1594852748
1167595.0564467376,668696.0067670597,1057060.5713354636,5967438.70295093,2737069.0159745757
428252.45793024346,1438388.4505784898,1965461.418580986,1828727.678574443,1798155.3072547028
505646.3218153652,2429926.6920476556,1622750.0944252657,4668802.96535465,10634881.70708043
2172215.34438287,2554149.6470518205,4084006.6994836,1663102.5209585074,768643.0806077656
730997.523466021,217016.43023050003,5211157.947030062,7214046.142122364,2172520.0836242945
4095873.2704177974,3754615.9355409895,4173001.77718411,2115617.4066750216,2941123.138426323
2801956.714926879,3038195.277207794,3491428.3482861407,9649007.946076011,33746082.293578446
3100049.4639060153,3191938.853074557,4185539.2621551943,8297666.899949721,776198.6243681593
4675255.919067813,6257359.086028571,3254231.5176593303,5456104.43963166,8970.940508043277
5261244.4385886695,5484798.220932737,5190587.033211593,3730175.0702823037,2940495.87589549
757023.4295083404,2250293.227298852,3003115.191202848,7275544.755713351,371827.893856667
2343256.711794321,3199881.914007823,1174143.2670096026,5790643.1107732225,1440610.331506493
-99447.65426712151,5905681.734618707,10286872.913128678,4848219.900019197,8400381.513920164
9098017.55518046,9620494.30813042,4484352.575622033,6642604.516818739,1829423.9281537675
4322963.893803268,5839025.491753072,4205711.437488968,23235938.577573925,5583568.424371405
11583982.703817617,8213974.827586699,4519574.663368203,6248428.980972131,5196596.71244665
534936.8234462121,17622812.450226888,9333098.10102244,2350152.5243161046,5721697.495996542
2321299.9995351997,12665254.004242513,4844962.014857005,246022246.10987335,5158910.527163708
-2653745.085403487,6810338.258705024,22854906.842506565,25242727.326628044,8587207.904967785
4164105.0615939265,3368517.118178072,19738004.074969072,7368365.808481536,4283434.183431647
2720719.752205329,11201531.323794,8523182.092933655,15380936.97130429,8718630.4030823
6993110.546873033,4719516.936360031,8449048.701110447,7354047.569237225,13498118.38779795
278797732.5634297,23079444.20671725,50115954.8559182,16788394.90256715,6556555.105897691
16064686.341611411,21628465.386852108,15755497.554237187,16492272.609636998,11405110.368347844
6121431.1065919455,150726769.64088568,16034085.906831281,6689719.896222588,11188441.78213051
7945730.2655242635,30108797.57640824,6475392.634782927,380367874.67705053,8441231.347501826
7229875.283138087,21153717.83641135,11573213.091994274,549330155.6865678,5465605.456060227
54974200.36471698,30635731.06090111,13877133.73266253,992932360.4707724,14577907.19870496
264038834.31900287,21124093.378714778,23118531.539542176,11340268.317156646,9922581.140716996
27582612.820698783,39984800.41533289,32306113.83379341,19713277.344116937,14057042.554671584
8541120.519923082,32610459.647806466,22143255.10930955,81489222.96432741,126126272.12317884
9069178.88916927,31222876.452687822,24521015.620022714,67410449.48708515,2983938.2151640602
9485339.623630142,25302282.845177773,29972638.135209132,19126441.54699249,6465959.021824451
9613674.66761804,39829575.89192095,150853910.17130715,4482482.100884094,22663386.105108388
18829879.97186207,57357649.64683727,33703264.70598135,11793768.208858382,28030028.770583738
15249415.75913608,62509390.23470404,15821328.621021247,20049908.366321683,14247327.474413719
7933534.264234176,77275497.0736211,22124841.097698897,64641211.862764746,19867492.995171458
71360345.5472363,95155587.56070171,29067262.709661953,37343658.1235636,18033552.413724683
11603347.582547143,155083452.91267133,10363835.108041584,18403292.59293649,20595022.692475323
74486880.80230984,595888883.9281099,10788059.765901852,32969345.996084925,21562052.00681339
13231561.93864932,4555300508.531899,15893665.193909142,8946523.563012527,27690242.54863767
268051467.59413016,27737943.001534745,13810344.417371672,94838994.27949736,10729072.409140036
22193051.840783514,25356836.876075752,16585618.60220558,61369732.36881276,11558038.163309373
11245859.538483042,38833462.3377848,26581457.84395554,98429246.14472894,51084567.12514424
9507929.031171432,3476744.76713865,21393384.4338241,68218759.94817159,38137625.5073905
11763875.575038305,22910908.915315658,54851533.80778039,48886275.66581482,22028657.44353065
