varianceSvrg0,varianceSvrg1,varianceSvrg2
211545.50870812155,3077811.866372849,1061481.0549101664
445311.82322385855,3609653.370502591,1914627.1137674213
669994.9464405725,2947000.625502757,1393065.9051139643
797269.5868202746,3093143.3255085843,1651347.1022826037
1237203.9004415246,4212404.610779891,1598034.637858905
1055599.3372211966,2806023.6873948984,956763.417709379
732530.0829323935,4187299.699606917,1876248.0161651727
664760.5940016228,2984841.718203283,2018838.2085990233
2386128.511795771,3266225.5798153896,1331669.840326165
1324493.7385507014,3769217.4776626625,2189186.562265748
1186499.9482680617,3358056.283720959,2563607.595693061
1337271.9186486276,2853482.6757172477,2039933.557975362
1104475.1566967648,3567194.070072828,1646158.8165824045
944060.483523289,3075030.8733193194,2074767.1006221287
1556797.5196178323,2459433.9216972655,1315806.0951928296
1904888.9682998434,4184218.595937445,2885318.59110398
1502391.8890580072,2758213.5391582707,3520676.5140681844
1220998.9218221204,4517167.514502745,4151189.642705299
746088.7630371214,3983849.927030153,2894878.1330465837
1003763.8703766597,4495109.92975066,1897380.579803553
646124.7370993736,2182553.283368188,2911014.168917275
908892.8244851383,3198989.7239683913,3266011.2497896957
690804.3696114854,2746172.1043003825,2376598.800324279
1805304.737288099,3621019.347999972,2354869.46505147
645453.4700278284,3519422.702940855,1900266.5054086833
909622.6922529815,2259613.113292915,1770567.0101677147
790107.2641726042,3572473.230271634,2005375.4994875889
1392261.224740734,4281562.478816616,1863366.7277308763
1043833.760250218,2397547.4927118085,3451110.8459230955
980592.2690828356,3244639.3720190106,3082322.460901326
1484314.5445219772,5253743.938438973,2503007.903347
1598587.6450804737,4124406.392744172,1720380.8963578774
1392132.875952161,3958178.3746668063,3488247.4219287396
1648170.1597571776,4784357.471398252,2029448.4492707604
1606354.8742068985,4168550.9306383664,2652451.5933978236
704015.0961571962,2700576.7478124974,2624018.322498304
906620.538670471,7268849.1420254875,1984439.8004728286
982470.4147566597,4851694.99331815,1863844.829979173
676754.5234259246,4445342.261662251,2597424.288843514
511955.8898683451,4110982.2498636153,2517513.2186998753
501370.1575257097,3947318.5085791782,2079403.1801762928
676371.1564611478,5988293.320385987,3860979.6258272766
