varianceSvrg0,varianceSvrg1,varianceSvrg2
1517544.2257846873,656769.5902648547,381831.67923154205
937819.3613877269,1089929.0317054915,580384.3339069281
678661.6685106356,1063085.9271885557,598566.7474379982
884284.3174151069,682916.571924556,367519.0900034036
1139632.1131395348,905966.1967968636,521266.9993864042
725578.2232183109,778940.7947481846,578196.7415817189
933147.7444952,576481.8358497125,618884.0728373836
858686.7471954192,571903.809276947,436348.43339906115
725252.5784828563,749467.5577635772,397957.9682398421
780611.4208790383,830707.2926652315,333410.6172316588
1276892.0264971717,1202906.4089832038,447334.4647890314
1330318.9644465055,714723.4157227073,631768.668437142
879595.3366249758,906036.6982600433,509969.1943522486
1055262.678362567,662480.702843346,573045.7634770173
1661692.6834487265,718559.6234030186,416890.40503322997
1025792.9371267507,681250.2175000331,392064.7530442177
1067220.662253301,846159.8160440233,421155.8792820624
1003482.873104448,628456.2441221336,466034.38484830165
1300069.0508436924,847116.2340922949,344525.8302159051
683730.5792852525,854353.1158694916,387614.5635583169
1198037.1337403567,572523.7085405409,428501.7772043771
1203438.8873781802,1085250.5066088522,463233.9487663133
1033790.7621572099,1226248.5917221769,479228.74279761995
1201626.30024325,1030384.4098550866,363270.8666081964
920835.9786862305,994499.7743899766,709882.7004965632
362868.77954600484,1045049.9774386366,462985.0115382387
916086.9535872127,1037113.4105160442,477685.85060861753
978728.7442791275,916648.3591899636,519051.1398511877
1062933.5040159645,1232110.3070612997,505968.21966570686
1515700.8910418302,1452043.6854413585,554949.4439013512
957395.9926842615,944565.5646604347,606192.7723696372
1436723.4269160815,661525.2647820929,547184.93553265
642484.6280517802,1139221.931679089,608659.0671027855
582034.1986729116,752704.9020703337,678387.2224592983
1064184.786768497,664737.6090515815,501264.68107051245
1095997.0942835854,536270.1009028472,549413.1032884874
826005.5510850351,777796.1222250632,651059.1285506249
1174971.5662153133,700739.0234078555,776972.3008930192
1076809.3026493979,854990.4387536359,648765.3160285924
749074.4021341142,1049158.5665613376,513340.76340465114
794108.9515361825,962505.2606301861,517448.45038242027
800845.3626889313,917426.6261367251,368451.82524441497
785227.719661326,774135.3115987242,379530.53571978793
861664.299528185,799802.6690346412,243069.9069999175
846617.1200691432,569988.1035229043,367687.6481237038
859904.5122131815,1214266.8177393158,374135.2786409353
957021.8089842952,844544.2450427581,435279.830673432
918442.5763224171,1114691.0341036317,799861.3422585685
602274.9880084862,1161467.9977594367,626525.2999461696
467318.17341311986,1094490.6457010105,760974.0073470365
1128204.5647358382,775298.3231232543,701476.5075704249
585897.4880984647,804927.676619702,399644.6743925251
1142872.8990599238,974640.6559903044,490672.0641372718
753711.3143685046,1025997.1497197736,614096.4223408203
957980.6521746757,1058334.149881565,458171.6260148605
1040881.3312146164,1253746.4210723517,517171.4348498746
949131.0114345179,1083417.8184146,639120.52781705
702065.0229216837,849706.124161538,737372.9068701991
663074.8520922642,859348.7416896664,686774.8793103097
1155529.6783086988,673514.0286425014,799072.9520053257
1066147.127266095,984701.8776781912,455843.71646522277
1187224.9293337425,890194.0946824814,509305.6342179661
990337.2586284894,788545.011764619,422922.16488697345
712430.3797251465,767046.2248360612,654981.6260948319
936953.9934269119,622309.6789430554,939379.1091229918
1155480.2746084232,1016230.6707148454,1311550.705787007
585541.3794744695,1245552.0002381392,801126.4835350045
941657.2583947433,923099.4586468318,738281.9234317173
777396.9681053932,908241.9946566282,499866.18825867877
936925.1532052257,1085210.3923458287,631745.7269317243
675431.9459359332,851587.3417502892,589537.8450505836
854519.564474799,598524.2115165363,772749.5901272956
742174.1637008102,536400.5041614661,1011235.8093145578
1304806.8617078788,558010.8308376195,846958.6612527691
1230634.505221047,560451.486549262,538888.34932375
1102887.4735675403,547623.2725899923,492916.77734811354
783845.7138635768,686601.6123675226,423209.8886358157
1152262.2217682137,602359.0641448437,471367.87290395156
930164.2019135628,503025.17135372787,701852.6058317071
771713.4348005592,600563.6446388117,511552.78965937503
947979.203868038,511846.6828814085,809929.8883723423
626020.6276747307,580026.7211473137,1168941.1080729426
794974.3387221359,565558.0816058906,951271.6781692889
542872.8474134065,507724.2321060723,1182772.9353392106
568374.4437303359,565273.7375606128,1060025.8802009216
697691.1086522031,647306.3327604751,1130337.832279732
1095577.0969611127,547089.5476918026,1051955.8205153332
1031074.8154927848,557952.4612598467,880034.8250888032
1313666.2026517463,406823.46900093404,993643.5194653814
1070798.263447878,331849.9714038958,1167252.1097358074
1306284.5238173185,247709.21210501547,1258862.2572141457
1072320.3014301925,273259.3023461822,1073526.0115678436
870994.1124996324,545152.6860306361,780094.4781315308
972211.7252423025,437607.3494409732,772008.420292107
704637.6909191923,308145.0406550073,1051064.522535358
614099.9934292475,353687.1610058335,673974.3728058882
689227.3648296262,503299.4302871181,919948.481821768
1026384.2193728231,763687.1374034276,1255989.3141804521
1287758.5013428107,609702.6419808634,653937.4418260921
760189.1597748785,580723.1268932493,1143430.306682324
1047971.4905921187,494379.94017175713,983084.1886927343
841856.4293508827,535659.6378096272,1124720.2908499269
733565.1849295308,550789.5180308365,697325.1313712953
688725.9885905109,521525.3131038036,900360.6428819015
1017953.4033818569,459888.3580466886,971969.709500805
1100280.6276713943,391636.4002543491,948536.2135605307
547059.289602858,333343.28142555093,1351849.5306339846
788386.5002576767,288765.7949035611,1287500.312780901
909347.2652553732,438263.7549582523,1050564.4577134831
678320.0715902764,301495.0143679624,847797.2241935718
757939.1487480728,300554.43135141756,795520.3947929923
1184625.548637562,384648.0683799828,760144.9429533302
564147.3168780416,244151.24406048714,880321.2281954415
577584.9112970086,225426.65775631572,1243060.4445492188
733731.5359633632,400103.6926188915,987775.7726596579
827834.9005148617,271296.4807153482,1003383.8179130503
683590.8458795305,335595.8580773849,778441.8006796604
633942.2972255565,317649.4062462876,1125973.7198354446
706994.8111808064,299601.18554375117,957650.6085735923
697082.9003625254,260271.66273644613,421908.89722200896
862645.6391637442,282293.5950022608,708547.9515581443
825864.0521243284,286565.5232514397,680739.8512710148
1005542.5230060567,330563.6542183148,2811914.3411646048
1441469.682955358,358664.2952321951,975392.4238938849
767267.8478458007,358098.24435304326,741978.2008212277
622035.202505404,393733.40527257574,677239.1739555285
639523.518620885,274027.0821293829,989615.0585078868
972785.393617471,296774.727140088,1396225.2991742867
1071306.3307570405,244594.99119837472,1129130.9108327364
957740.6302152075,366555.35638089315,1043151.4687258799
650131.1085622194,272244.10671222507,1356647.7777350624
640092.9479247164,216469.88948115706,848465.7562726634
984216.4007706238,247244.22647821758,1041563.426136168
1119148.6596224972,164713.5180522076,1151301.0975508331
767732.2071058562,253656.33924647083,1138579.2833756194
831130.2029337849,260227.67046041755,1185947.8468623739
651894.8433650638,275669.2871754823,1126740.0588024524
1066911.8926629187,252152.5844534912,780198.8040462018
796227.6914530897,227399.00304039702,880310.8348197809
666007.3484839497,214385.68967228732,1256798.761842608
1157669.8312073522,219625.83316313615,915203.0108947244
1369067.7148629026,223121.6386733445,1045590.5845391082
670641.745552796,280674.8270210051,1182888.8928035493
772064.4221826232,400777.03887152026,1335510.4286439926
992058.8720167258,352019.8354281378,1360423.4115095227
802659.9770894416,290817.7419445644,1069410.6039353618
993387.055359238,182268.45297060395,1108373.4149455274
1187382.5548476174,206397.3932019268,1134313.5959716463
518952.515917282,246285.26718694813,1417257.3718117224
590437.6994949968,194652.1458880458,1037346.5004407092
848720.7228071273,319113.85170826485,1290317.011815594
1017128.1013239967,249476.7449017656,1209861.5690528392
959875.7096285416,207277.52960582174,1118354.0008072893
1020739.1219215948,266721.4463812384,1469209.5032717572
1241736.7616933703,211813.88385996543,904651.0949098857
890704.3819371386,214149.41242552677,818630.1122994986
689380.8877021079,209250.79317867238,1250518.2306231977
665901.7854938053,212254.09497739054,1022823.2450868258
1145028.3841492953,324482.57491364167,813905.5519244161
920494.8739795656,281841.71552516706,663556.8711040467
1011495.3059824125,245518.1608910015,624322.6129639089
805206.7959875711,285623.3866230932,1000385.9650978231
877229.3531986941,248932.32496359994,876441.1745146608
744874.3235125093,234158.58652122776,678042.3954132001
768750.8294893983,188844.3439366906,863910.9552847076
1102356.5578714546,218957.44426485675,855051.6417578381
799482.5981139677,213016.62408456986,825524.0332613429
814648.3241458167,231013.9740644003,953704.0139951678
1626508.3426195292,239327.9425854509,746032.0505528979
2615329.6609803895,231573.31293308255,832822.2246693205
1138125.4351849328,189783.17540043552,705287.3427164155
1074021.6000404577,185195.3898052072,543668.5041569618
