rewardsSubIter0,rewardsSubIter1,rewardsSubIter2
"[ 166.29266603  110.53548148  115.2253094   127.851835    137.52030117
  166.29266603  110.53548148  115.2253094   118.88170978  137.52030117
  166.29266603  110.53548148]","[  91.13950843  140.90806787  109.81941492  160.15848248  109.81941492
  160.15848248  110.40546045  142.20861558  110.40546045  142.20861558
  153.28623342  183.37506015]","[  59.51925486   62.76048808   43.12027791  106.01962908   73.84521344
   40.36641499   87.00551082   59.51925486   73.84521344   40.36641499
   87.00551082   59.51925486]"
"[ 172.61557488  138.60126757  144.19957408  152.51717527  116.20138132
  136.03475444  172.61557488  138.60126757  136.03475444  172.61557488
  138.60126757  144.19957408]","[ 134.09642507  180.90098787  158.83491951  170.33155493  180.19621618
  175.4662853   134.09642507  180.90098787  139.76662873  150.03849359
  180.19621618  175.4662853 ]","[ 137.80075817   89.10998141  135.51227286   80.83991695   59.06183315
   44.32666222   68.66052873  137.80075817   59.06183315   44.32666222
   68.66052873  137.80075817]"
"[ 107.3117308   147.73843577  171.00484158  127.21441845  147.73843577
  171.00484158  127.21441845  186.26334401  171.00484158  127.21441845
  186.26334401  126.61525817]","[ 124.38750953  168.76189796  141.02819764  198.35528651  137.29283473
  157.3587477   124.38750953  168.76189796  141.02819764  198.35528651
  118.20806727  183.39621656]","[  37.57632371   35.45611263  111.95700853  101.44312736   82.98508678
  101.55793361   91.33299722   37.57632371   82.98508678  101.55793361
   91.33299722   37.57632371]"
"[ 202.95863134  124.76430388   87.67755888  135.42241979   87.67755888
  135.42241979   43.87253622  153.23091126  124.76430388   87.67755888
  135.42241979   43.87253622]","[ 144.37777861  149.54569448  178.91013138  155.73344707  178.91013138
  155.73344707  159.94865645  159.39141623  137.77517599  173.46410997
  144.37777861  149.54569448]","[  61.81370301   35.43220677  125.33031272   66.74458931   33.79442723
  162.00701252  102.29679766   61.81370301   33.79442723  162.00701252
  102.29679766   61.81370301]"
"[ 164.17935587  135.72004689  134.62679412  119.39464431   92.99974647
  164.17935587  135.72004689  134.62679412  135.72004689  134.62679412
  119.39464431  122.63147347]","[ 141.97692396  154.81680616   93.39610057  154.6088008    93.39610057
  154.6088008   157.01006474  174.23158634  179.39068289  157.95269863
  141.97692396  154.81680616]","[  23.71273834   51.68407962   67.31572446   87.42396149   87.42396149
   65.80864213  151.28132878  132.6757386    23.71273834   51.68407962
   67.31572446   87.42396149]"
"[ 102.75338553  114.46534776  168.5247628    68.85690489  114.46534776
  168.5247628    68.85690489  146.12126131  168.5247628    68.85690489
  146.12126131  179.71777883]","[ 185.88279629  140.34670562  179.71114535  120.07979665  111.79172587
  170.74820458  137.16234347  108.54249988  137.16234347  108.54249988
  185.88279629  140.34670562]","[   4.68126956   63.91378114  167.41609986   98.83562625   74.3885948
  122.14845252  109.97595681    4.68126956   74.3885948   122.14845252
  109.97595681    4.68126956]"
"[ 177.69111683  145.99353872  130.684662    105.15612281  164.44685322
  177.69111683  145.99353872  130.684662    145.99353872  130.684662
  105.15612281  165.56932334]","[ 175.62553175  161.09155091  110.10524016  119.72485827  171.43611348
  170.87107959  190.90274239  145.67325569  190.90274239  145.67325569
  175.62553175  161.09155091]","[ 111.5068564    37.85677013  117.05571866  105.53156101   58.99865759
  173.25049763  145.09597566  111.5068564    58.99865759  173.25049763
  145.09597566  111.5068564 ]"
"[ 203.36954775  123.75310977  180.43445792  140.44555371  157.55833039
  203.36954775  123.75310977  180.43445792  123.75310977  180.43445792
  140.44555371  168.80922949]","[ 178.01225542  121.83370977  112.46957411  154.47504137  112.46957411
  154.47504137  157.83858153  147.99921474  157.83858153  147.99921474
  161.50410869  126.80125649]","[  77.68682323  115.40582663  115.83676199   76.76583039   76.76583039
  100.00876098   84.0781331   152.91153233   77.68682323  115.40582663
  115.83676199   76.76583039]"
"[ 114.41519732  170.54178253  146.57008395   72.88712652  170.54178253
  146.57008395   72.88712652  147.73700466  167.62396261  114.41519732
  170.54178253  146.57008395]","[ 192.61990354  102.59812349  165.27930602  182.65989433  154.08895554
  144.69824608  174.48181894  171.14536671  174.48181894  171.14536671
  192.61990354  102.59812349]","[ 133.9730532   142.69856603  119.25091652   75.06674626  104.94765699
  143.70291705  111.61812385  133.9730532   104.94765699  143.70291705
  111.61812385  133.9730532 ]"
"[  89.4561636   184.10323722  162.06012222  106.94869386  137.13814857
   89.4561636   184.10323722  162.06012222   67.06381258  137.13814857
   89.4561636   184.10323722]","[ 193.16374479  135.75200798  150.21758977  177.07782204  150.21758977
  177.07782204  145.09041537  221.39801773  145.09041537  221.39801773
  156.46904619  193.41238022]","[ 157.24452749   89.33734814   48.92805124  115.72115464  157.24452749
   89.33734814   48.92805124  115.72115464  115.72115464   58.01409263
   88.88393481  137.73571014]"
