rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4
"[ 1550.77364646  1541.57702528  1663.33540122  1753.8388691   1111.07125204
  1699.88088035  1695.63066848  1765.34911631  1593.82068893  1671.0103281 ]","[ 1627.27582     2079.30637621  2109.23491776  2012.04190636  2077.50640529
  1085.6712609   2066.06939377  2049.53347493  2075.76288479  2038.41452651]","[  255.5863352   1330.42363455   244.05480141  1178.30878111   327.81123558
  1237.27570636   454.64963787   669.68339979   636.26729853  1277.53661492]","[ 2137.49763791  2037.90069715  2126.24765571  2121.03462754  2193.16639341
  1974.49512861  1940.42876482  2104.15591317  2113.55558927  2141.29911793]","[ 2139.29562156  2342.70360632  2113.96585653  2128.59744015  2114.73182442
  2165.31929563  1891.104749    1993.14019057  2007.58794726   467.34800478]"
"[ 1724.38800183  1712.20290417  1569.91076172  1555.58576918  1733.39808366
  1676.15217426  1733.80796354  1658.46834876  1713.39849042  1594.6386008 ]","[ 2032.52959855  2099.14991794  1517.24209608  2062.17201507  2104.55959187
  2165.26769436  2114.03873966  1836.7277445   1997.55104476  2092.27976736]","[  482.88632469  1302.08148075   690.01970189   211.03474816   437.65811826
   799.74039166   499.93281401   885.50032875   996.19239343   581.8043877 ]","[ 2104.91074965  1907.26900957  1450.98802627  2107.85585248  2045.4599617
  2048.53210634  2152.39607638  2030.5010393   2179.6708072   2122.2748559 ]","[ 1695.95127537  2203.50577089  2032.00500869  2064.54779508  2116.46872797
  1998.10060108  2163.93728584  2147.49831352  2159.43983015  1986.89966428]"
"[ 1693.65611476  1661.6868684    954.85493911  1797.58434951  1710.74988579
  1758.16297198  1787.05342649  1748.87161183  1547.04435435  1771.18752075]","[ 2031.74772755  2086.49751161  2078.93081261  2127.36526845  2145.6183726
  2007.46676129  2088.48428715  2111.12682969  2262.94573116  2154.45737056]","[  664.65470174  1272.72186686   346.74023202  1285.37153342  1061.21907011
  1122.69739227   369.15603919   537.63239359   678.60544923   -11.67596814]","[ 2094.40511592   876.07441557  2161.24408174   783.94574636  1523.43647124
  2197.71890689  1801.76144403  2147.5360247   2207.47224468  1913.54086283]","[ 2025.28809931  2035.21558691  1951.85348145  2063.01524164  2073.385899
  2092.33990998  2124.19330022  2163.07980804  1995.28886349  2071.13505411]"
"[ 1685.28746026  1753.55554023  1775.54751779  1809.50081459  1729.89693494
  1444.09137374  1647.08779412  1696.50561499  1224.7363357   1591.37563765]","[ 1633.19741727  2128.53902145  2175.51314565  2061.70206829  2097.98365441
  2074.26281424  2133.98695147  1872.95184229  2035.78456331  1671.22138274]","[  565.97178937  1228.01650488   758.44697552   436.72806294  1246.76731475
  1060.48458108  1201.41531481  1207.71683436   944.55031515  1116.67137365]","[ 2136.5728657   2091.27175154  2106.20801554  2189.77363822  2178.62033347
  2203.39880877  2173.08562265  1755.92369334  2268.88470431  2077.42970462]","[ 1728.3140614   2042.21917729  2161.28060378  2083.05677051  2153.23352491
  2166.75824497  1702.40399667  2141.39329809  2009.42530016  2118.60158931]"
"[ 1652.82046291  1658.43944589  1715.9393896   1637.47349997  1687.31081027
  1670.58405349  1772.76998463  1704.29862191  1404.54151894  1560.16840953]","[ 2055.10989748  2128.13146013  2133.23878262  1855.99456452  2087.1174728
  2167.29761009  2112.52953047  2065.33911583  2135.12785491  2211.54001735]","[  842.78156699   743.6511734   1440.28541773   317.08765228  1108.2808557
   938.13022156   834.71347648  1633.19537617   677.211312     -16.44307659]","[ 1766.49111782  2063.46201675  2236.98348182  1933.18079203  2147.28581716
  2181.77031637  2123.99457723  2128.51466524  1785.35053453  1065.67486442]","[ 2156.63945321  2193.51293818  2197.037546    2160.68905829  2264.63111827
  2127.89096467  2130.1470513   2156.18368907  2127.88337755  2103.29381109]"
"[ 1593.24609109  1449.91250847  1579.84347542  1464.91144134  1630.11560003
  1685.6530322   1681.34534934  1607.42925645  1545.9168704   1662.16796605]","[ 2013.15802592  1902.89468428  1808.57590939  2076.26191176  2080.12052484
  1139.06492657  2074.05616908  2054.71988324  2065.4572236   2049.38484989]","[  962.54303323   424.2824326    651.94605798   678.68156102   798.70995847
   976.28395562   108.85130551   693.66889414  1434.36163278   321.5127574 ]","[ 1908.12015886  2092.98441274  2079.57886361  2241.27975158  2178.72239031
  2181.07527522  1376.21635494  1580.41205614  2021.96326839  2158.66352875]","[ 2179.65555372  2145.66030304  2105.85255683  1910.06031651  2074.9995185
  2179.7087279   2154.93944266  2179.5810914   2176.75282686  2089.72182245]"
"[ 1640.47168558  1621.63171446  1581.91520113  1593.64135359  1682.79346586
  1674.94019829  1600.02822987  1620.74006565  1622.32056898  1555.33524633]","[ 2022.19793788  2107.02211031  1968.76844807  2103.46631319  2052.88872055
  2086.91019805  2032.7429203   2035.51068457  1956.09747499  2043.50482657]","[  199.85312367   903.44636413   445.45629162   376.17482201   472.24359474
   551.11968515   398.28603738   286.93513095   205.47754081  1213.14076399]","[ 2058.63620241  2045.11447558  1957.62654387  1982.72570607  2124.66897808
  1884.46176948  1575.28189701  2117.05252371  1231.58739413   239.36122715]","[ 2084.92378341  2177.33031797   918.79672582  1831.55390103  2175.55880801
  2162.9072277   2158.95457703  2145.74347487  2103.35803286  1850.29229356]"
"[ 1650.97300751  1522.43172273  1686.86376528  1638.80657014  1528.75161622
  1583.01343152  1631.03197595  1429.37671731  1740.56159983  1665.32566587]","[ 2016.55932455  2196.2334899   2158.24820941  1492.72368031  1987.99470018
  2024.67167808  2076.22681835  1888.24050189  2092.92265384  2165.31159919]","[   13.76699003   554.18561125  -144.44895501   540.17297991  1304.47361893
   533.62992389  1211.74861293   456.60989281   669.89550196   942.32605288]","[ 2234.61017949   966.27252905  2059.03496622  2120.54515938  2000.15409186
  1604.9846403   2246.18945578  2191.33959525  2068.75950634  2305.87068277]","[ 2267.51358229   703.4287591   2251.48546147  2135.1056757   2320.83893135
  2300.42085486  2290.18621462  1992.12310783  2085.08436155  2211.52317648]"
"[ 1559.26700868  1718.92198472  1578.78940238  1643.51000693  1670.81254728
  1721.68062989  1618.4763196   1613.34794179  1568.3445802   1704.7328307 ]","[ 2069.95214035  2020.1989831   2088.64954159  2082.33081801  2039.45423884
  2081.96654292  2095.96243669  1990.54980229  2135.16827306  2051.23352025]","[  851.28496398   656.55970865   328.74976673   833.17462083  1111.09342532
   879.02771367  1149.70455412    75.01948719   503.31309624   940.72251048]","[  951.57224047  2062.89835382  1618.12207171  1943.3585624   2152.47809437
  2082.7920741   2228.98629262  2032.33348645  2094.72115665  1637.0805936 ]","[ 1447.69291684  2218.95515981  2203.4911389   2169.31961328  2013.14357614
  2119.72209305  1973.73528078  2099.27466589  1994.16249643  2053.8648808 ]"
"[ 1622.59632754  1520.97818084  1563.25121568  1441.62622773  1386.83396197
  1539.26367271  1517.43880514  1456.97652803  1486.30771603  1583.43394426]","[ 2198.89525946  2076.78261652  1986.11646473  2144.83925411  1955.13444803
  2126.36031275  2078.29012958  2186.19458319  2061.45225185  2118.31492351]","[  543.13247475  1240.91843065   410.61581335   976.25820757   794.79641688
    50.93926966   650.47553009    66.90150689   699.23319807   419.47687333]","[ 2132.73016484  1888.26750494  1498.71346024  1796.48492707  2059.37324368
  1904.9933627   2043.5323095   2052.84038189  1966.89896431  2033.03421119]","[ 2140.03783533  2086.95765075  2132.04766917  1954.25690736  2153.37102226
  2004.35715262  2135.79029036  2041.9765281   2155.01133852  2070.2374771 ]"
