rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4
"[ 249.87663215  279.88603954  129.81153968    0.           39.9331731
  169.90449286   19.95979284  449.75951417  179.90914468  559.83301467]","[  99.98087511   89.89059562   79.96531661   89.94361555   49.96445368
  109.94517887   39.95872899   69.91804429   89.89791308   39.96441839]","[  79.95162132  159.89409518   69.95688554   29.95602264   59.90754517
  269.79053947  179.87386361  189.83852542  139.83705803  499.91509397]","[ 89.95255912  29.96959303  59.98367907  29.96384728  39.97712605
  29.97397698   9.98530408  19.98035184   9.98674983  29.98692586]","[ 269.87488068    9.98308906  329.90538717   19.97188182  479.80857771
  149.94585372   19.97166792  479.78163218   59.98034313  309.8237734 ]"
"[  89.87137933  229.89644575   39.98188196    9.98628979  119.85925453
    9.98452148   79.87927324  309.87999844  499.67766749  269.8097853 ]","[ 149.93102611  109.94575155   49.95439442    9.98052336   69.95858965
  219.83905115  169.9336998    99.92877959    9.9827549    19.98157441]","[ 519.82986807  429.88228166   99.96082629  109.9565045    39.9473009
  409.81095833   49.93768636  109.89487289   39.94359676  179.87733917]","[ 19.97531142  19.97134093  29.96937805  89.91802714  49.97931695
  19.98868606  89.93591635  19.96748407  19.97703789  19.97279135]","[ 109.88363936   89.92853194    9.98284108  189.90889642  309.87811071
   39.9669394   289.84051235  149.94635182   29.96094994  179.94680194]"
"[  99.93565308   69.8878759   409.88101704  199.88638233  319.85971401
  219.84468662   39.93437459   19.96123074   99.93565308   69.8878759 ]","[  49.96718282   89.9456715    49.98903301   39.9556787    89.94204548
   69.93357334   29.97482122   69.88906039  259.89249418   29.97382816]","[  49.93350955  139.8512119   559.86536256   19.96097151  259.91933478
  129.89316871  139.89180949   59.9276936   389.86897735  239.81501247]","[ 59.92791248  19.97315479  19.98613587  19.96933497  59.97094526
  89.95513421   9.98391222  99.97339384  39.97042454  29.98942142]","[   0.           29.96166156  149.91376925  139.91559837   59.94834045
  169.92452215  129.88018711  119.92003116   69.89982265  139.89055489]"
"[ 199.88658732  109.8484534    69.92654634  239.82244221   89.93183959
   59.90565857  249.86869446  399.89218176    9.98306     109.84845342]","[   9.98608268   49.9606299    69.91921747   99.90418349   59.94108505
  279.80717177   39.95683656  119.91845579   69.97929473    9.98342174]","[ 229.84046934   99.89209388  209.79793315  149.84738252    9.9821283
   59.91220931  359.70849978  139.91930452  179.80573734   49.93359538]","[  89.97740775   39.97027369   79.9532959     9.9838711    59.96143039
   79.94297671   79.96770287   89.96829597   39.95847157  109.965592  ]","[  19.97051247   69.91395347   39.96211587  299.86493606  489.69535651
   69.98059896  169.8971418    29.97259892   69.9654433   299.83263771]"
"[    9.98436007   379.69801436   119.93950411   419.81370024   349.91136668
    99.88778538    59.95287207   179.94094965  1059.76309252    99.88778538]","[   0.           99.96397773  179.90744627   69.95200887   69.9663424
  129.94506541   59.95683944   99.93722684  309.87310009   39.9589099 ]","[ 399.86206384   39.94661646  289.89257687  189.84470325  249.85378777
    0.           49.91986357   89.87994624  309.79752573  149.81288318]","[   9.98291935   59.96286759    9.98501823   29.97573131   19.97004223
  179.95057418    0.           29.98091998   99.98031656   79.9263642 ]","[ 259.83168012  229.87249534  179.85360812    9.97966209  259.89849276
   49.94680559  129.90209285  319.80157348  149.88085376  239.85588911]"
"[  69.91866785  469.73995899  179.88152956  229.90298727  339.88169561
  449.88286109  399.76445679   69.91866785  469.73995899  179.88152956]","[ 349.91179281  379.7118422   139.87780489   59.97895895  279.86954449
  249.82952634  149.90814326   39.9412053   219.83892584  269.76693493]","[ 129.88740738  189.92905904  129.87104021   99.93789058  199.93159016
  129.87170032   39.93274733  109.92402362   79.91189102  179.9036784 ]","[ 69.95432754  39.97149271  69.95946532  49.97279502   9.98227321
  89.96661964  39.98846516   9.98852162  99.93922057  29.99066557]","[  39.9496822   229.93014401   89.89990506   59.93753482  269.86934462
  139.92404943  169.8794917   109.97244558  109.90878389   59.94442451]"
"[ 759.70541841  729.66056133   59.91780725  489.82716391  699.80388986
  399.71820258  759.70541841  729.66056133   59.91780725   59.92780467]","[ 139.95263445   39.95317776  239.89889832   39.94969156   69.95220097
  409.78879976  149.86028504   99.9548487    59.9497887   379.86625694]","[  79.93526375  229.84786332   79.94044266   49.93184317  139.84921316
   59.93726658  759.76033067   19.9661569    49.92109357  179.82936755]","[  79.9272391    59.96298094   39.98250653   69.92631595  139.91913656
  289.74504418   29.95214684   29.96858107   79.93503526   39.96916238]","[   9.9846496     0.          119.96773684   29.97548767  389.66272098
  189.89397453   19.97503003   19.9689383   229.88857333    9.98300137]"
"[ 339.800822    519.80176445  199.81478758  339.800822    519.80176445
  199.81478758  309.82624513   59.90330921  599.75313668  419.73910125]","[ 179.89790803    9.97939832   19.96541715   79.97011569  209.85887793
   19.97471936  279.84484984    9.9801914    29.96718825  249.91906753]","[ 569.7523526   249.92717263   49.9291827    19.97497675  259.62814763
   29.94611839   89.91360084  249.77475154  389.79214707   49.92700652]","[  29.96826941   39.94905352  129.90606864  149.93230883   49.9251675
   19.97116428   29.98193793   69.95469733   49.95796244   69.94471649]","[  19.97820579  139.78342485  229.8380084   289.72091875   19.97742456
  559.74076865   69.98029891  119.83497555  209.83108641   19.9744303 ]"
"[  319.81148347  1479.44763705   269.83392942  1129.56214759   329.73424931
    29.94614563   179.90912263   909.68703924   509.77392084   179.93646619]","[   9.98455286  299.93898485  229.89231684  159.87469871   19.97650388
   59.97431372   29.96277351   69.93181056  189.80995224   29.98122039]","[  79.89768813  529.70355301   59.96295995   89.9148401     0.
   49.93248924  439.71173686  259.81452112  279.89765745  439.75938201]","[ 159.89176833   59.96249508  229.82815156   99.97791379   29.96653258
   99.89647737   69.96448003   19.98334353   19.9763108    59.9253992 ]","[ 289.93783363   99.93697248  659.73555573  319.75944624  399.68376787
   29.95449847    9.98007853  419.8042264   269.82082866  269.93109228]"
"[ 519.78453621  939.70574984  269.82288668   39.94986476  369.76377271
  739.55930573  159.90577648   39.9526188   819.68266131  379.70226644]","[ 329.78123341  149.84220692  349.83569681  139.94135008    9.97908871
   59.90977975   69.98294226  119.80397203    0.           89.94979978]","[ 289.83983933   79.95082116  119.83430053   39.93179882  119.94165775
  189.91431864  689.81811207  409.62358074  469.74227464    9.97943401]","[ 249.9341887   159.92454096   29.95571995   29.98149339   59.97843329
  189.84391063   19.97588741   59.9591635   129.89892548   79.94670507]","[  19.96599299  169.934394    549.71957716   49.96440547   99.93628465
  339.81340775   69.90218107  249.89811215   59.93520195   79.94319704]"
