varianceSvrg0,varianceSvrg1,varianceSvrg2,varianceSvrg3,varianceSvrg4
2096111.0560813015,5397630.929815521,5263742.306656493,11513476.847069422,13485582.809645688
11154834.110642504,14105333.630448934,1973122.2427850305,11314774.532309454,2362962.2942511593
11817200.267520534,108111737.12842652,30041092.414034676,72724583.95146444,31856851.674519707
3805150.857889142,18133430.7196265,24493388.67807866,3988048.19688134,5390439.617169036
3045098.0256401733,14690163.002712522,214046.96972272455,3802596.500213269,5227450.722650552
2138196.895354744,18162534.945977133,715963.8738297153,13141195.227917353,6546487.101010593
1048452.1262033635,112594898.95678124,388654.7661564278,22267625.20712196,21026033.593333118
675187.6285990677,18500941.702599887,81874.65290759793,4068812.02194672,7969052.20317993
136928.4882696513,530774229.24144745,141481.34885801576,6249640.42704251,6793513.453373735
253652.902248933,14689309.72042796,1058089.1916145047,5978127.395716003,2825634.6561904554
3539993.0517154397,40649217.963676795,300493099.9946805,68474644.39327505,29546193.858579796
29208905.044063233,3624273.0824895687,12928557.463556368,169550066.40224928,2577610.2457245635
5444624.7439667685,9593976.137645468,2785236.4474537056,18771741.485088244,1526032.9480940965
348792.4648690107,4214836.29680747,9646091.71151529,5354028.772479498,1128913.7808828694
416766.8578000738,29224333.228805188,282715.1319195332,918978139.3021327,1263049.7941154146
22886220.120306544,11523511.928906418,204968.8283808886,1844955.4994699094,1811192.6963761759
361885.0624504543,15558977.425830277,566164.4803235992,6095477.15945958,1467885.2495068212
16589646.74359007,10017959.466737363,985569.3035349664,1941069.2286040534,1199314.0311787992
15626310.294971023,5670438.230161421,1896637.7789445901,6570561.065779609,1558783.6065400268
753761.9333561442,8822757.40579211,274638.6996292181,2035954.0609800578,2058048.7289047188
1667008.465062576,6647839.221744431,440491.45240349066,4444545.655010759,722769.4081468695
277376.6338014249,8292723.48263531,231898.61683554243,2507155.7042043065,604334.5023244927
360796.9051076377,4515677.567769595,9975363.059750546,2021510.6749344866,1937732.2958772553
1396120.1669731226,8630752.037323125,6710287.724024343,1028314.0585431177,495572.704548935
3876822560.402239,5139186.084055381,581051.988759895,111934.51214491008,545498.5641121278
128026.7917054918,7842756.007063986,1496489.7090096374,204479.11528804238,5337448.260263301
471290.88212154654,9136911.653604828,10764539.723697077,128701.025713508,1649743.6783780968
192918.25760135945,562764.9997702464,671529.1185452832,134382.41563162327,975665.3754098243
215216.18762709407,894512.2851237009,817004.379699754,1483990.9529870218,7275130.613134082
1907908.7741238582,975912.6961975403,768240.2757298988,261215.49376203894,3019196.0600290266
3132591.627561551,833173.4102466409,813076.3226443564,271463.4227177003,14186270.27331373
29324928.27989331,725741.1427995929,6167299.12154174,539945.5583513374,14260549.29004042
2579689.404919844,5767175.440691884,320159.0364865579,611416.5631420411,21949157.502315864
2537001.9630605653,93993831.45667964,379751.22019057884,473546.8039515313,6696441.837507172
8499153.00742824,87840.0040938862,427338.7646858174,6762898.143178511,2376394.6983058816
2364990.558000479,464843.7806053587,388386.6596463203,1851643.6242592046,490063.09062290564
2806160.5141208665,28790626.61547986,327940.8153535188,1249945.8773224172,718722.1265012118
669405325.6637404,627763.598397247,530812.130421135,5632847.214168812,701269.4660779245
521838.68802927004,141821.30315778032,2778012.822476738,1237835.0224112875,5927365.5376054915
22770462.107954424,245832.2180822774,1221613.0828730406,1630907.1921611668,292074798.99691975
577200.1040090171,24895971.503612895,221260.24655391785,35793641.21477206,5756766.229947238
2390610.791089586,415190.2620999511,2046527.4738478246,3761546.2361986293,1216625.9344197304
807269.4276824382,1274549.548067698,1564771.7345148958,47662701.02320281,1031634.3698343822
327529.16479705006,474468.52964691387,880593.5502395496,297989.3805860677,1419857.112017774
350677.10412206757,93200.94702173698,163541.54736329938,444196.0945719592,1586972.7235710167
10108106.85276506,92432.25959655225,409234.87665901036,351273.1773775421,2679333.4486360205
776241.1894940956,214032.14668747364,6003474.631711727,1017309.9121654977,8500794.940074928
538193.2640776995,4329244.637533924,4264623.015501073,2159019.5334600974,7701241.852596745
806051.5627766897,598071.1938276987,9510697.241886696,22325824.974681783,75510307.33312461
4425757.269353498,866153.8815451589,1517553.1947476016,15782658.751085233,1086633.8178201779
519781.4617535802,133129.23072687583,673380.6761321073,110270.92955207967,1568856.0246195646
392915.09293365077,506852.900607903,142966.31512183952,179101.87922574114,712830.1673952051
